,PseKNC_5_Xc1.AAA,PseKNC_5_Xc1.AAC,PseKNC_5_Xc1.AAG,PseKNC_5_Xc1.AAT,PseKNC_5_Xc1.ACA,PseKNC_5_Xc1.ACC,PseKNC_5_Xc1.ACG,PseKNC_5_Xc1.ACT,PseKNC_5_Xc1.AGA,PseKNC_5_Xc1.AGC,PseKNC_5_Xc1.AGG,PseKNC_5_Xc1.AGT,PseKNC_5_Xc1.ATA,PseKNC_5_Xc1.ATC,PseKNC_5_Xc1.ATG,PseKNC_5_Xc1.ATT,PseKNC_5_Xc1.CAA,PseKNC_5_Xc1.CAC,PseKNC_5_Xc1.CAG,PseKNC_5_Xc1.CAT,PseKNC_5_Xc1.CCA,PseKNC_5_Xc1.CCC,PseKNC_5_Xc1.CCG,PseKNC_5_Xc1.CCT,PseKNC_5_Xc1.CGA,PseKNC_5_Xc1.CGC,PseKNC_5_Xc1.CGG,PseKNC_5_Xc1.CGT,PseKNC_5_Xc1.CTA,PseKNC_5_Xc1.CTC,PseKNC_5_Xc1.CTG,PseKNC_5_Xc1.CTT,PseKNC_5_Xc1.GAA,PseKNC_5_Xc1.GAC,PseKNC_5_Xc1.GAG,PseKNC_5_Xc1.GAT,PseKNC_5_Xc1.GCA,PseKNC_5_Xc1.GCC,PseKNC_5_Xc1.GCG,PseKNC_5_Xc1.GCT,PseKNC_5_Xc1.GGA,PseKNC_5_Xc1.GGC,PseKNC_5_Xc1.GGG,PseKNC_5_Xc1.GGT,PseKNC_5_Xc1.GTA,PseKNC_5_Xc1.GTC,PseKNC_5_Xc1.GTG,PseKNC_5_Xc1.GTT,PseKNC_5_Xc1.TAA,PseKNC_5_Xc1.TAC,PseKNC_5_Xc1.TAG,PseKNC_5_Xc1.TAT,PseKNC_5_Xc1.TCA,PseKNC_5_Xc1.TCC,PseKNC_5_Xc1.TCG,PseKNC_5_Xc1.TCT,PseKNC_5_Xc1.TGA,PseKNC_5_Xc1.TGC,PseKNC_5_Xc1.TGG,PseKNC_5_Xc1.TGT,PseKNC_5_Xc1.TTA,PseKNC_5_Xc1.TTC,PseKNC_5_Xc1.TTG,PseKNC_5_Xc1.TTT,PseKNC_5_Xc2.lambda.1,PseKNC_5_Xc2.lambda.2,PseKNC_5_Xc2.lambda.3,PseKNC_5_Xc2.lambda.4,PseKNC_5_Xc2.lambda.5
DVU0011,0,0.002,0.002,0.002,0.004,0.004,0.003,0.002,0.002,0.003,0.003,0,0,0.002,0.003,0.001,0.003,0.005,0.004,0.003,0.003,0.003,0.006,0.004,0.003,0.007,0.004,0.003,0.001,0.005,0.004,0.002,0.002,0.004,0.002,0.001,0.006,0.006,0.003,0.003,0.003,0.005,0.003,0.003,0.001,0.002,0.004,0.001,0,0.002,0,0,0.003,0.003,0.005,0.002,0.002,0.004,0.003,0.002,0,0.004,0.001,0.001,0.21,0.149,0.151,0.16,0.152
DVU0012,0,0.002,0.003,0.001,0.001,0.003,0.004,0.001,0.003,0.003,0.004,0.001,0,0.001,0.003,0.001,0.002,0.002,0.005,0.003,0.002,0.004,0.006,0.003,0.004,0.007,0.005,0.004,0.001,0.002,0.004,0.002,0.004,0.004,0.003,0.001,0.006,0.005,0.007,0.003,0.003,0.006,0.003,0.003,0.001,0.002,0.005,0.001,0,0.001,0,0.001,0.002,0.003,0.003,0.002,0.002,0.005,0.004,0.002,0,0.003,0.001,0.001,0.21,0.149,0.148,0.167,0.149
DVU0013,0.001,0.002,0.003,0,0.002,0.003,0.003,0.001,0.002,0.002,0.004,0.001,0.001,0.003,0.003,0,0.002,0.002,0.003,0.004,0.004,0.002,0.005,0.002,0.005,0.008,0.004,0.004,0.001,0.003,0.003,0.002,0.003,0.003,0.003,0.001,0.004,0.006,0.007,0.003,0.003,0.006,0.005,0.004,0.001,0.003,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.005,0.003,0.002,0.005,0.004,0.001,0,0.003,0.001,0.001,0.21,0.149,0.152,0.16,0.153
DVU0014,0.001,0.002,0.007,0,0.002,0.002,0.004,0.001,0.002,0.002,0.004,0.002,0,0.002,0.005,0.002,0.005,0.002,0.002,0.004,0.003,0.004,0.004,0.004,0.002,0.004,0.003,0.003,0.002,0.001,0.003,0.001,0.005,0.003,0.002,0.002,0.006,0.006,0.002,0.002,0.002,0.003,0.002,0.004,0.002,0.002,0.004,0.003,0,0.002,0.001,0.002,0.002,0.003,0.002,0.001,0.004,0.006,0.002,0.002,0,0.003,0.002,0.002,0.205,0.147,0.156,0.173,0.145
DVU0015,0,0.002,0.001,0.001,0.001,0.003,0.004,0.001,0.001,0.001,0.001,0,0.001,0.002,0.003,0.001,0.002,0.002,0.002,0.004,0.002,0.004,0.005,0.004,0.001,0.006,0.006,0.003,0.001,0.003,0.006,0.003,0.001,0.003,0.001,0.001,0.004,0.005,0.004,0.005,0.003,0.008,0.006,0.004,0.001,0.003,0.004,0.003,0,0.002,0,0.002,0.003,0.003,0.004,0.003,0.001,0.004,0.006,0.004,0,0.005,0.002,0.003,0.208,0.154,0.15,0.162,0.149
DVU0016,0.014,0.003,0.002,0.002,0.003,0.002,0.003,0,0.002,0.005,0.002,0,0,0,0.007,0,0.002,0.003,0.005,0.003,0.002,0,0,0.003,0.002,0.007,0.002,0.002,0.002,0.003,0.005,0.002,0.005,0,0.002,0,0.005,0.003,0.007,0.009,0,0.005,0.007,0.003,0,0.002,0.007,0.002,0,0.002,0,0,0.003,0,0.002,0,0.005,0.007,0.005,0.005,0,0,0.003,0,0.21,0.136,0.161,0.16,0.157
DVU0017,0.003,0.003,0.004,0,0.003,0.004,0.003,0.002,0.003,0.002,0.004,0,0.003,0.001,0.007,0.002,0.001,0.003,0.003,0.005,0.002,0.004,0.004,0.004,0.001,0.001,0.005,0.003,0,0.001,0.003,0.004,0.006,0.003,0.001,0.006,0.004,0.003,0.001,0.002,0.007,0.005,0.004,0.002,0.001,0.001,0.002,0.002,0,0.003,0.001,0.001,0.003,0.003,0.002,0,0.006,0.002,0.005,0.001,0.001,0.005,0.002,0.002,0.198,0.157,0.15,0.152,0.158
DVU0018,0.001,0.002,0.003,0.001,0.002,0.001,0.003,0.002,0.003,0.004,0.005,0.001,0.001,0.003,0.004,0.002,0.002,0.002,0.005,0.003,0.002,0.001,0.002,0.002,0.004,0.004,0.005,0.003,0.001,0.003,0.003,0.001,0.004,0.003,0.004,0.003,0.005,0.004,0.005,0.003,0.004,0.006,0.004,0.004,0.001,0.004,0.003,0.002,0,0.001,0.001,0.002,0.004,0.001,0.005,0.002,0.003,0.004,0.004,0.002,0,0.002,0.002,0.002,0.205,0.159,0.146,0.156,0.157
DVU0019,0.001,0.003,0.005,0.001,0.004,0.003,0.004,0.001,0.005,0.004,0.004,0.001,0.001,0.004,0.004,0.001,0.004,0.004,0.004,0.004,0.005,0.003,0.005,0.003,0.004,0.004,0.004,0.001,0.002,0.003,0.003,0.003,0.005,0.004,0.004,0.001,0.004,0.007,0.003,0.003,0.003,0.005,0.003,0.001,0.001,0.002,0.002,0.001,0,0.002,0,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0,0.003,0.001,0.001,0.202,0.15,0.149,0.156,0.161
DVU0020,0,0.005,0,0,0.001,0.006,0.005,0,0.002,0,0.001,0.002,0,0.002,0.006,0,0.002,0.004,0.002,0.005,0.002,0.008,0.006,0.005,0.002,0.007,0.006,0.004,0,0,0.005,0.004,0.002,0.002,0.004,0.001,0.007,0.004,0.006,0.002,0.004,0.004,0.002,0.001,0.002,0.005,0.001,0.001,0,0.001,0,0.001,0.002,0.004,0.002,0.001,0.002,0.008,0.001,0.002,0,0.002,0.002,0,0.213,0.139,0.156,0.167,0.153
DVU0021,0,0.003,0.002,0,0.004,0.004,0.004,0.001,0.001,0.002,0.002,0,0.001,0.002,0.004,0,0.001,0.004,0.003,0.004,0.003,0.005,0.005,0.004,0.007,0.007,0.003,0.003,0.002,0.002,0.004,0.004,0.004,0.005,0.001,0.002,0.003,0.006,0.005,0.004,0.002,0.004,0.002,0.001,0.001,0.002,0.003,0.001,0,0.002,0,0.001,0.002,0.002,0.006,0.002,0.002,0.005,0.002,0.002,0,0.005,0.001,0.001,0.213,0.152,0.148,0.168,0.146
DVU0022,0.001,0.002,0.002,0.001,0.002,0.003,0.004,0.001,0.002,0.002,0.003,0.001,0.001,0.003,0.003,0.001,0.003,0.004,0.003,0.004,0.004,0.005,0.004,0.004,0.004,0.007,0.004,0.004,0.001,0.004,0.004,0.003,0.002,0.004,0.002,0.002,0.005,0.006,0.006,0.003,0.002,0.006,0.003,0.002,0.001,0.003,0.003,0.001,0,0.001,0.001,0.001,0.003,0.002,0.005,0.002,0.002,0.005,0.003,0.001,0,0.003,0.001,0.001,0.209,0.15,0.15,0.158,0.157
DVU0023,0.001,0.001,0.005,0.001,0.004,0.001,0.003,0.002,0.002,0.001,0.005,0.002,0,0.005,0.007,0.001,0.005,0.001,0.001,0.006,0.001,0.002,0.001,0.003,0.003,0.004,0.003,0.004,0,0.001,0.003,0.003,0.002,0.006,0.002,0.004,0.004,0.001,0.005,0.001,0.006,0.001,0.007,0.005,0.004,0.004,0.003,0.004,0.001,0.001,0.001,0.002,0.005,0.003,0.005,0.001,0.004,0.005,0.005,0.003,0.001,0.003,0.004,0.002,0.206,0.155,0.145,0.171,0.145
DVU0024,0.003,0.002,0.011,0,0.001,0.001,0.003,0.001,0.002,0.001,0.008,0.002,0,0.002,0.006,0,0.007,0.001,0.002,0.001,0.003,0.004,0.004,0,0.003,0.003,0.006,0.004,0.001,0.004,0,0.001,0.007,0.002,0,0.004,0.006,0.003,0.006,0.002,0.006,0.008,0.002,0.006,0.002,0.003,0.008,0.001,0,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.002,0.004,0.006,0.002,0,0.001,0.001,0,0.196,0.151,0.141,0.164,0.16
DVU0025,0,0.002,0.001,0,0.003,0.004,0.005,0.002,0.002,0.003,0.002,0.001,0,0.003,0.003,0.001,0.001,0.005,0.004,0.005,0.005,0.005,0.005,0.004,0.005,0.006,0.004,0.004,0.001,0.004,0.004,0.002,0.003,0.005,0.002,0.001,0.005,0.006,0.005,0.003,0.003,0.005,0.004,0.001,0,0.003,0.003,0.001,0,0.001,0,0.001,0.003,0.003,0.005,0.002,0.002,0.005,0.003,0.001,0,0.003,0.001,0.001,0.209,0.152,0.146,0.165,0.15
DVU0026,0,0.002,0.001,0,0.001,0.003,0.005,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0,0.004,0.003,0.003,0.001,0.004,0.004,0.003,0.003,0.005,0.006,0.005,0.001,0.002,0.003,0.001,0.002,0.003,0.001,0.001,0.006,0.003,0.006,0.003,0.002,0.007,0.004,0.003,0.001,0.001,0.008,0.003,0,0.002,0.001,0.001,0.002,0.003,0.004,0,0.003,0.005,0.005,0.003,0,0.003,0.003,0.001,0.218,0.141,0.16,0.162,0.152
DVU0027,0,0.002,0.002,0,0.002,0.004,0.002,0.002,0.001,0.002,0.001,0.001,0,0.004,0.003,0,0.002,0.004,0.002,0.006,0.004,0.005,0.006,0.006,0.003,0.007,0.004,0.004,0.001,0.006,0.006,0.004,0.002,0.003,0.001,0,0.003,0.007,0.004,0.005,0.001,0.006,0.002,0.003,0.001,0.003,0.004,0.001,0,0.001,0,0.001,0.004,0.004,0.006,0.004,0.002,0.005,0.005,0.002,0,0.005,0.001,0,0.205,0.159,0.139,0.161,0.156
DVU0028,0,0.003,0.001,0,0,0.001,0.004,0.001,0.001,0.001,0.004,0.001,0.001,0.002,0.003,0.002,0.001,0.001,0.003,0.002,0.002,0.004,0.006,0.002,0.004,0.008,0.005,0.005,0,0.003,0.001,0.001,0.004,0.002,0.002,0.003,0.003,0.005,0.007,0.001,0.004,0.005,0.007,0.007,0.001,0.004,0.007,0.002,0,0.001,0,0.001,0.003,0.004,0.005,0.001,0.002,0.002,0.007,0.002,0,0.005,0.001,0.002,0.206,0.148,0.155,0.157,0.151
DVU0029,0,0.002,0.001,0,0.001,0.002,0.004,0,0.001,0.002,0.002,0.001,0.001,0.002,0.003,0,0.001,0.003,0.002,0.003,0.003,0.004,0.006,0.003,0.004,0.007,0.007,0.004,0,0.002,0.004,0.002,0.001,0.003,0.002,0.002,0.004,0.008,0.007,0.003,0.002,0.008,0.005,0.004,0.001,0.003,0.007,0.001,0,0,0,0.001,0.002,0.001,0.004,0.001,0.001,0.007,0.005,0.002,0,0.001,0.002,0.001,0.214,0.154,0.142,0.165,0.158
DVU4013,0.001,0.003,0.001,0.001,0.002,0.006,0.007,0.001,0.001,0.002,0.003,0.002,0.001,0.002,0.001,0,0.001,0.004,0.004,0.001,0.002,0.004,0.004,0.004,0.004,0.007,0.008,0.005,0.001,0.003,0.004,0.003,0.004,0.005,0.003,0.001,0.003,0.003,0.007,0.003,0.006,0.006,0.007,0.004,0.003,0.004,0.004,0.002,0,0.004,0.001,0.001,0.003,0.001,0.006,0.003,0.002,0.002,0.004,0.001,0.001,0.004,0,0.002,0.209,0.145,0.148,0.173,0.143
DVU0030,0,0.002,0.002,0,0.002,0.004,0.005,0.001,0.001,0.002,0.003,0,0,0.003,0.002,0,0.002,0.005,0.003,0.004,0.004,0.007,0.005,0.003,0.005,0.008,0.005,0.003,0.001,0.003,0.004,0.001,0.003,0.004,0.002,0.001,0.005,0.006,0.007,0.003,0.002,0.007,0.004,0.003,0.001,0.003,0.003,0.001,0,0.002,0,0.001,0.002,0.002,0.004,0.002,0.001,0.005,0.004,0.001,0,0.002,0,0,0.213,0.152,0.146,0.166,0.152
DVU0031,0,0.001,0.001,0,0.001,0.003,0.003,0.001,0.001,0.002,0.003,0.001,0,0.001,0.003,0,0.001,0.003,0.002,0.003,0.002,0.005,0.006,0.003,0.002,0.007,0.008,0.004,0.001,0.003,0.005,0.002,0.001,0.003,0.003,0.001,0.004,0.007,0.008,0.005,0.003,0.009,0.011,0.004,0.001,0.003,0.006,0.002,0,0.001,0,0,0.002,0.002,0.005,0.002,0.003,0.006,0.005,0.003,0,0.003,0.001,0,0.21,0.15,0.148,0.159,0.154
DVU0032,0.001,0.002,0,0.001,0.002,0.004,0.002,0.002,0,0.001,0.001,0.001,0,0.003,0.004,0.001,0.002,0.002,0.002,0.005,0.002,0.006,0.006,0.004,0.002,0.006,0.005,0.005,0.002,0.001,0.01,0.003,0.001,0.004,0,0.001,0.005,0.007,0.007,0.006,0.001,0.008,0.003,0.003,0.001,0.002,0.005,0.002,0,0.001,0.001,0.001,0.002,0.001,0.003,0.004,0.004,0.009,0.006,0.002,0,0.004,0.001,0,0.211,0.161,0.139,0.156,0.164
DVU0033,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.002,0.001,0.001,0.001,0,0.003,0.005,0.001,0.001,0.001,0.002,0.004,0.003,0.006,0.006,0.004,0.003,0.006,0.005,0.005,0.001,0.001,0.006,0.003,0.002,0.004,0.003,0.002,0.002,0.008,0.006,0.004,0.003,0.004,0.006,0.004,0.001,0.005,0.006,0,0,0.001,0.001,0.001,0.002,0.002,0.004,0.001,0.002,0.008,0.005,0.003,0,0.002,0.001,0,0.21,0.154,0.14,0.167,0.156
DVU0034,0,0.002,0.005,0.001,0.003,0.004,0.003,0.003,0.004,0.002,0.006,0.001,0,0.001,0.002,0,0.005,0.003,0.004,0.001,0.003,0.005,0.006,0.004,0.004,0.007,0.001,0.004,0.002,0.003,0.004,0.003,0.003,0.006,0.004,0.001,0.005,0.007,0.005,0.003,0.003,0.006,0.003,0.003,0.001,0.002,0.005,0.001,0,0.002,0.001,0,0.002,0.001,0.004,0.002,0.002,0.006,0.004,0.002,0,0.002,0.002,0,0.205,0.153,0.148,0.157,0.154
DVU0035,0.002,0.001,0.002,0,0.004,0,0.001,0.001,0,0.003,0.003,0.002,0,0.006,0.002,0,0.001,0.002,0.005,0.006,0,0.004,0.005,0.003,0.002,0.01,0.008,0.003,0.001,0.003,0,0.006,0.002,0.002,0,0,0.006,0.004,0.008,0.004,0.002,0.009,0.004,0.003,0.003,0.002,0.001,0.002,0,0.001,0.002,0.001,0.004,0.004,0.009,0.002,0,0,0.003,0,0,0.008,0,0,0.201,0.154,0.136,0.167,0.167
DVU0036,0.001,0.004,0.002,0,0.004,0.004,0.003,0.002,0.005,0.004,0.003,0.001,0.001,0.003,0.003,0,0.002,0.004,0.007,0.003,0.003,0.003,0.006,0.002,0.004,0.006,0.006,0.002,0,0.002,0.004,0.002,0.005,0.005,0.003,0.003,0.006,0.004,0.007,0.002,0.005,0.004,0.002,0.002,0,0.002,0.003,0.002,0,0,0,0,0.003,0.004,0.002,0,0.001,0.006,0.003,0.002,0,0.002,0.001,0,0.208,0.154,0.144,0.159,0.156
DVU0037,0,0.002,0.002,0,0.002,0.001,0.004,0.002,0.001,0.001,0.004,0,0,0.002,0.003,0.001,0.002,0.003,0.002,0.003,0.002,0.005,0.007,0.003,0.005,0.005,0.007,0.006,0,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.007,0.007,0.003,0.002,0.008,0.006,0.003,0,0.008,0.004,0,0,0.001,0,0,0.004,0.003,0.006,0.003,0.001,0.006,0.002,0.002,0,0.003,0.002,0.001,0.207,0.155,0.15,0.157,0.15
DVU0038,0,0.001,0.002,0,0.002,0.004,0.003,0.002,0.001,0.001,0.003,0,0,0.001,0.002,0,0.002,0.004,0.003,0.003,0.003,0.008,0.007,0.005,0.004,0.009,0.005,0.003,0.001,0.004,0.006,0.003,0.001,0.004,0.002,0.001,0.004,0.009,0.006,0.004,0.002,0.007,0.004,0.002,0.001,0.002,0.003,0.001,0,0.002,0,0,0.002,0.003,0.004,0.002,0.001,0.006,0.003,0.002,0,0.004,0.001,0.001,0.208,0.151,0.152,0.161,0.148
DVU0039,0,0.001,0.002,0,0.002,0.003,0.004,0.001,0.003,0.004,0.003,0.001,0,0.002,0.003,0,0,0.002,0.005,0.003,0.003,0.003,0.007,0.006,0.006,0.008,0.004,0.003,0.002,0.004,0.004,0.002,0.003,0.005,0.004,0.001,0.003,0.009,0.008,0.002,0.002,0.006,0.005,0.003,0.001,0.003,0.002,0.002,0,0.002,0.001,0,0.002,0.004,0.003,0.003,0.003,0.004,0.003,0.001,0,0.002,0.002,0.001,0.204,0.155,0.146,0.159,0.153
DVU0040,0,0.001,0.001,0.001,0.002,0.002,0.004,0.002,0.001,0.001,0.003,0.001,0,0.002,0.005,0.001,0.001,0.003,0.001,0.004,0.002,0.005,0.004,0.005,0.003,0.005,0.007,0.003,0.001,0.003,0.005,0.002,0.002,0.004,0.003,0.003,0.003,0.006,0.007,0.003,0.005,0.007,0.008,0.003,0.002,0.003,0.005,0.001,0,0.002,0.001,0,0.002,0.003,0.004,0.001,0.003,0.006,0.006,0.003,0,0.002,0.002,0,0.209,0.149,0.152,0.157,0.156
DVU0041,0.001,0.003,0.003,0.001,0.003,0.004,0.003,0.002,0.002,0.003,0.003,0.001,0.001,0.003,0.002,0,0.004,0.003,0.004,0.003,0.003,0.007,0.008,0.004,0.004,0.009,0.004,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.001,0.005,0.008,0.006,0.003,0.002,0.006,0.002,0.002,0.001,0.003,0.003,0.001,0,0.002,0,0.001,0.002,0.003,0.004,0.002,0.002,0.003,0.003,0.001,0,0.002,0.001,0,0.208,0.154,0.15,0.164,0.148
DVU0042,0,0.002,0.002,0,0.002,0.004,0.005,0,0.001,0.002,0.003,0,0.001,0.001,0.003,0,0.002,0.002,0.002,0.002,0.002,0.005,0.007,0.003,0.005,0.008,0.007,0.004,0.001,0.002,0.004,0.001,0.002,0.005,0.002,0.001,0.003,0.007,0.008,0.004,0.003,0.007,0.005,0.003,0.001,0.002,0.005,0.001,0,0.001,0,0.001,0.002,0.001,0.004,0.001,0.001,0.007,0.004,0.001,0,0.001,0.001,0,0.215,0.152,0.147,0.17,0.147
