,PseKNC_3_Xc1.AAA,PseKNC_3_Xc1.AAC,PseKNC_3_Xc1.AAG,PseKNC_3_Xc1.AAT,PseKNC_3_Xc1.ACA,PseKNC_3_Xc1.ACC,PseKNC_3_Xc1.ACG,PseKNC_3_Xc1.ACT,PseKNC_3_Xc1.AGA,PseKNC_3_Xc1.AGC,PseKNC_3_Xc1.AGG,PseKNC_3_Xc1.AGT,PseKNC_3_Xc1.ATA,PseKNC_3_Xc1.ATC,PseKNC_3_Xc1.ATG,PseKNC_3_Xc1.ATT,PseKNC_3_Xc1.CAA,PseKNC_3_Xc1.CAC,PseKNC_3_Xc1.CAG,PseKNC_3_Xc1.CAT,PseKNC_3_Xc1.CCA,PseKNC_3_Xc1.CCC,PseKNC_3_Xc1.CCG,PseKNC_3_Xc1.CCT,PseKNC_3_Xc1.CGA,PseKNC_3_Xc1.CGC,PseKNC_3_Xc1.CGG,PseKNC_3_Xc1.CGT,PseKNC_3_Xc1.CTA,PseKNC_3_Xc1.CTC,PseKNC_3_Xc1.CTG,PseKNC_3_Xc1.CTT,PseKNC_3_Xc1.GAA,PseKNC_3_Xc1.GAC,PseKNC_3_Xc1.GAG,PseKNC_3_Xc1.GAT,PseKNC_3_Xc1.GCA,PseKNC_3_Xc1.GCC,PseKNC_3_Xc1.GCG,PseKNC_3_Xc1.GCT,PseKNC_3_Xc1.GGA,PseKNC_3_Xc1.GGC,PseKNC_3_Xc1.GGG,PseKNC_3_Xc1.GGT,PseKNC_3_Xc1.GTA,PseKNC_3_Xc1.GTC,PseKNC_3_Xc1.GTG,PseKNC_3_Xc1.GTT,PseKNC_3_Xc1.TAA,PseKNC_3_Xc1.TAC,PseKNC_3_Xc1.TAG,PseKNC_3_Xc1.TAT,PseKNC_3_Xc1.TCA,PseKNC_3_Xc1.TCC,PseKNC_3_Xc1.TCG,PseKNC_3_Xc1.TCT,PseKNC_3_Xc1.TGA,PseKNC_3_Xc1.TGC,PseKNC_3_Xc1.TGG,PseKNC_3_Xc1.TGT,PseKNC_3_Xc1.TTA,PseKNC_3_Xc1.TTC,PseKNC_3_Xc1.TTG,PseKNC_3_Xc1.TTT,PseKNC_3_Xc2.lambda.1,PseKNC_3_Xc2.lambda.2,PseKNC_3_Xc2.lambda.3
DVU0011,0,0.003,0.003,0.002,0.006,0.006,0.005,0.003,0.003,0.004,0.005,0.001,0.001,0.004,0.005,0.001,0.005,0.007,0.006,0.005,0.004,0.005,0.009,0.006,0.005,0.011,0.006,0.005,0.001,0.007,0.006,0.004,0.004,0.006,0.003,0.002,0.008,0.009,0.005,0.005,0.004,0.007,0.005,0.005,0.002,0.003,0.005,0.002,0,0.003,0,0.001,0.004,0.004,0.008,0.004,0.003,0.006,0.005,0.003,0,0.005,0.001,0.001,0.306,0.217,0.22
DVU0012,0,0.003,0.004,0.001,0.002,0.004,0.006,0.002,0.004,0.005,0.006,0.002,0,0.002,0.004,0.001,0.003,0.003,0.008,0.004,0.003,0.006,0.009,0.004,0.005,0.01,0.007,0.006,0.001,0.003,0.006,0.003,0.006,0.006,0.004,0.002,0.009,0.008,0.01,0.005,0.005,0.009,0.004,0.004,0.002,0.003,0.008,0.002,0,0.002,0.001,0.001,0.003,0.004,0.004,0.003,0.003,0.008,0.005,0.003,0,0.005,0.002,0.002,0.307,0.218,0.217
DVU0013,0.001,0.003,0.004,0.001,0.003,0.005,0.005,0.002,0.003,0.004,0.005,0.002,0.001,0.004,0.005,0.001,0.003,0.004,0.004,0.006,0.005,0.003,0.008,0.003,0.007,0.011,0.006,0.006,0.001,0.005,0.004,0.003,0.005,0.005,0.005,0.002,0.005,0.008,0.011,0.005,0.004,0.008,0.007,0.005,0.002,0.005,0.006,0.002,0,0.002,0.001,0.002,0.003,0.003,0.007,0.004,0.003,0.007,0.006,0.002,0,0.004,0.001,0.001,0.306,0.217,0.222
DVU0014,0.001,0.004,0.011,0,0.004,0.004,0.006,0.001,0.004,0.004,0.006,0.004,0,0.004,0.007,0.002,0.007,0.004,0.004,0.006,0.005,0.006,0.006,0.006,0.004,0.006,0.005,0.005,0.004,0.001,0.005,0.001,0.007,0.005,0.002,0.002,0.008,0.008,0.004,0.002,0.004,0.005,0.002,0.006,0.004,0.004,0.006,0.005,0,0.002,0.001,0.004,0.004,0.005,0.004,0.001,0.006,0.008,0.004,0.004,0,0.005,0.004,0.002,0.299,0.217,0.23
DVU0015,0,0.002,0.002,0.001,0.002,0.004,0.005,0.002,0.001,0.002,0.002,0.001,0.001,0.004,0.005,0.002,0.003,0.004,0.002,0.006,0.003,0.006,0.007,0.006,0.002,0.008,0.009,0.004,0.002,0.005,0.008,0.005,0.002,0.005,0.001,0.001,0.006,0.007,0.005,0.007,0.004,0.011,0.009,0.005,0.002,0.004,0.006,0.004,0,0.002,0,0.002,0.005,0.005,0.006,0.004,0.002,0.005,0.009,0.006,0,0.007,0.003,0.004,0.301,0.224,0.219
DVU0016,0.02,0.005,0.002,0.002,0.005,0.002,0.005,0,0.002,0.007,0.002,0,0,0,0.01,0,0.002,0.005,0.007,0.005,0.002,0,0,0.005,0.002,0.01,0.002,0.002,0.002,0.005,0.007,0.002,0.007,0,0.002,0,0.007,0.005,0.01,0.012,0,0.007,0.01,0.005,0,0.002,0.01,0.002,0,0.002,0,0,0.005,0,0.002,0,0.007,0.01,0.007,0.007,0,0,0.005,0,0.31,0.198,0.237
DVU0017,0.005,0.005,0.006,0,0.005,0.006,0.005,0.003,0.005,0.003,0.006,0,0.005,0.002,0.011,0.003,0.002,0.005,0.005,0.008,0.003,0.006,0.006,0.006,0.002,0.002,0.008,0.005,0,0.002,0.005,0.006,0.009,0.005,0.002,0.009,0.006,0.005,0.002,0.003,0.011,0.008,0.006,0.003,0.002,0.002,0.003,0.003,0,0.005,0.002,0.002,0.005,0.005,0.003,0,0.009,0.003,0.008,0.002,0.002,0.008,0.003,0.003,0.288,0.231,0.215
DVU0018,0.002,0.003,0.005,0.002,0.003,0.002,0.004,0.002,0.004,0.005,0.008,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.008,0.005,0.004,0.002,0.003,0.002,0.005,0.005,0.007,0.004,0.002,0.004,0.005,0.002,0.006,0.004,0.005,0.004,0.007,0.005,0.008,0.005,0.006,0.009,0.005,0.006,0.002,0.005,0.005,0.002,0,0.002,0.001,0.003,0.005,0.002,0.007,0.003,0.005,0.005,0.006,0.002,0.001,0.003,0.003,0.002,0.299,0.232,0.212
DVU0019,0.001,0.004,0.007,0.002,0.007,0.005,0.006,0.002,0.007,0.006,0.005,0.002,0.001,0.005,0.005,0.001,0.006,0.006,0.007,0.006,0.008,0.004,0.007,0.004,0.006,0.007,0.006,0.002,0.003,0.004,0.004,0.004,0.007,0.006,0.006,0.001,0.006,0.01,0.004,0.005,0.005,0.007,0.004,0.002,0.002,0.003,0.003,0.002,0,0.003,0,0.003,0.005,0.005,0.003,0.003,0.003,0.005,0.003,0.003,0,0.004,0.002,0.001,0.297,0.221,0.218
DVU0020,0,0.007,0,0,0.002,0.009,0.007,0,0.003,0,0.002,0.003,0,0.003,0.009,0,0.003,0.005,0.003,0.007,0.003,0.012,0.009,0.007,0.003,0.01,0.009,0.005,0,0,0.007,0.005,0.003,0.003,0.005,0.002,0.01,0.005,0.009,0.003,0.005,0.005,0.003,0.002,0.003,0.007,0.002,0.002,0,0.002,0,0.002,0.003,0.005,0.003,0.002,0.003,0.012,0.002,0.003,0,0.003,0.003,0,0.313,0.205,0.23
DVU0021,0.001,0.004,0.003,0.001,0.006,0.007,0.005,0.002,0.001,0.003,0.003,0.001,0.002,0.003,0.005,0,0.002,0.005,0.004,0.005,0.004,0.008,0.008,0.006,0.01,0.01,0.004,0.005,0.002,0.003,0.006,0.006,0.005,0.007,0.002,0.003,0.004,0.009,0.008,0.006,0.003,0.006,0.003,0.002,0.001,0.003,0.004,0.002,0,0.003,0,0.002,0.003,0.003,0.008,0.003,0.003,0.007,0.003,0.003,0,0.007,0.001,0.001,0.31,0.222,0.215
DVU0022,0.001,0.003,0.003,0.001,0.004,0.005,0.006,0.002,0.003,0.003,0.004,0.002,0.001,0.004,0.004,0.001,0.004,0.006,0.005,0.006,0.006,0.007,0.006,0.006,0.007,0.01,0.006,0.005,0.001,0.005,0.005,0.004,0.003,0.006,0.003,0.002,0.007,0.009,0.009,0.004,0.003,0.009,0.005,0.003,0.001,0.005,0.005,0.001,0,0.002,0.001,0.001,0.005,0.003,0.008,0.003,0.002,0.007,0.005,0.001,0,0.005,0.001,0.001,0.306,0.22,0.219
DVU0023,0.001,0.001,0.008,0.001,0.005,0.001,0.004,0.003,0.003,0.001,0.007,0.003,0,0.008,0.011,0.001,0.007,0.001,0.001,0.009,0.001,0.003,0.001,0.004,0.004,0.005,0.004,0.005,0,0.001,0.004,0.004,0.003,0.009,0.003,0.005,0.005,0.001,0.007,0.001,0.009,0.001,0.011,0.008,0.005,0.005,0.004,0.005,0.001,0.001,0.001,0.003,0.007,0.004,0.007,0.001,0.005,0.007,0.008,0.004,0.001,0.004,0.005,0.003,0.302,0.229,0.212
DVU0024,0.005,0.003,0.016,0,0.002,0.002,0.005,0.002,0.003,0.002,0.011,0.003,0,0.003,0.008,0,0.01,0.002,0.003,0.002,0.005,0.006,0.006,0,0.005,0.005,0.008,0.006,0.002,0.006,0,0.002,0.01,0.003,0,0.006,0.008,0.005,0.008,0.003,0.008,0.011,0.003,0.008,0.003,0.005,0.011,0.002,0,0.002,0.002,0.002,0.002,0.005,0.005,0.005,0.003,0.006,0.008,0.003,0,0.002,0.002,0,0.294,0.221,0.213
DVU0025,0,0.003,0.002,0,0.004,0.006,0.007,0.003,0.003,0.004,0.003,0.001,0,0.005,0.005,0.001,0.002,0.008,0.006,0.007,0.007,0.008,0.007,0.005,0.007,0.009,0.006,0.005,0.001,0.005,0.005,0.003,0.004,0.008,0.003,0.002,0.008,0.009,0.007,0.004,0.004,0.008,0.005,0.002,0.001,0.004,0.004,0.001,0,0.001,0,0.001,0.005,0.004,0.007,0.003,0.003,0.007,0.004,0.002,0,0.004,0.001,0.001,0.306,0.223,0.213
DVU0026,0,0.003,0.001,0,0.002,0.005,0.008,0.002,0.001,0.003,0.003,0.001,0.001,0.003,0.003,0.002,0,0.006,0.004,0.005,0.002,0.006,0.006,0.005,0.005,0.007,0.008,0.008,0.002,0.003,0.005,0.002,0.003,0.005,0.002,0.002,0.008,0.005,0.009,0.005,0.003,0.01,0.006,0.005,0.002,0.002,0.011,0.004,0,0.003,0.001,0.001,0.003,0.004,0.006,0,0.004,0.007,0.007,0.005,0,0.005,0.004,0.001,0.317,0.206,0.234
DVU0027,0.001,0.004,0.003,0.001,0.003,0.006,0.003,0.003,0.001,0.003,0.002,0.001,0,0.005,0.004,0.001,0.004,0.006,0.002,0.008,0.006,0.007,0.008,0.009,0.004,0.01,0.006,0.006,0.001,0.008,0.008,0.006,0.004,0.004,0.001,0.001,0.005,0.011,0.006,0.007,0.001,0.009,0.004,0.004,0.002,0.005,0.006,0.001,0,0.002,0.001,0.001,0.006,0.006,0.008,0.005,0.003,0.007,0.007,0.003,0,0.008,0.001,0,0.301,0.233,0.204
DVU0028,0.001,0.005,0.002,0.001,0.001,0.002,0.006,0.002,0.002,0.002,0.006,0.001,0.001,0.003,0.004,0.003,0.002,0.002,0.005,0.003,0.003,0.006,0.009,0.003,0.006,0.011,0.008,0.008,0,0.004,0.002,0.002,0.006,0.003,0.003,0.005,0.004,0.007,0.01,0.002,0.006,0.007,0.01,0.01,0.002,0.006,0.01,0.003,0,0.001,0.001,0.001,0.005,0.006,0.008,0.001,0.003,0.003,0.01,0.003,0,0.007,0.001,0.003,0.3,0.213,0.225
DVU0029,0,0.003,0.001,0,0.002,0.003,0.006,0.001,0.001,0.002,0.003,0.001,0.001,0.003,0.005,0.001,0.002,0.004,0.003,0.005,0.004,0.007,0.009,0.004,0.005,0.01,0.01,0.005,0.001,0.002,0.006,0.003,0.002,0.004,0.003,0.003,0.006,0.012,0.01,0.005,0.003,0.011,0.008,0.006,0.001,0.004,0.01,0.001,0,0.001,0.001,0.001,0.003,0.001,0.005,0.002,0.002,0.01,0.007,0.003,0,0.002,0.002,0.001,0.316,0.227,0.21
DVU4013,0.001,0.004,0.001,0.001,0.003,0.008,0.009,0.001,0.001,0.003,0.004,0.003,0.001,0.003,0.001,0,0.001,0.005,0.005,0.001,0.003,0.005,0.005,0.005,0.005,0.009,0.012,0.007,0.001,0.004,0.005,0.004,0.005,0.007,0.004,0.001,0.004,0.004,0.011,0.004,0.008,0.008,0.011,0.005,0.004,0.005,0.005,0.003,0,0.005,0.001,0.001,0.004,0.001,0.008,0.004,0.003,0.003,0.005,0.001,0.001,0.005,0,0.003,0.305,0.216,0.215
DVU0030,0,0.004,0.003,0,0.003,0.007,0.007,0.002,0.002,0.003,0.004,0.001,0.001,0.004,0.004,0,0.003,0.007,0.005,0.006,0.006,0.01,0.007,0.005,0.007,0.012,0.008,0.005,0.002,0.004,0.006,0.002,0.004,0.006,0.002,0.001,0.008,0.009,0.01,0.005,0.003,0.01,0.006,0.004,0.001,0.004,0.005,0.001,0,0.003,0,0.001,0.003,0.003,0.006,0.003,0.001,0.007,0.005,0.001,0,0.003,0,0,0.312,0.223,0.213
DVU0031,0,0.001,0.002,0,0.001,0.004,0.005,0.001,0.002,0.003,0.004,0.001,0,0.001,0.005,0.001,0.001,0.004,0.003,0.004,0.003,0.008,0.008,0.005,0.003,0.011,0.012,0.006,0.001,0.004,0.008,0.002,0.002,0.004,0.004,0.002,0.006,0.01,0.011,0.007,0.004,0.012,0.016,0.006,0.001,0.004,0.009,0.003,0,0.001,0,0,0.003,0.002,0.007,0.002,0.004,0.008,0.007,0.004,0,0.005,0.001,0.001,0.306,0.219,0.215
DVU0032,0.001,0.002,0,0.001,0.002,0.005,0.003,0.002,0,0.001,0.001,0.001,0,0.004,0.006,0.001,0.002,0.003,0.002,0.007,0.003,0.008,0.008,0.005,0.003,0.009,0.007,0.007,0.002,0.001,0.015,0.004,0.001,0.006,0,0.001,0.007,0.01,0.01,0.009,0.001,0.012,0.004,0.004,0.001,0.003,0.007,0.003,0,0.001,0.001,0.001,0.002,0.001,0.004,0.006,0.005,0.013,0.009,0.002,0,0.006,0.001,0,0.312,0.237,0.205
DVU0033,0.001,0.002,0.001,0.001,0.002,0.004,0.005,0.001,0.003,0.002,0.002,0.002,0,0.004,0.007,0.001,0.002,0.002,0.002,0.006,0.004,0.008,0.009,0.005,0.005,0.01,0.007,0.007,0.001,0.001,0.009,0.004,0.002,0.006,0.004,0.003,0.003,0.011,0.009,0.006,0.005,0.006,0.009,0.005,0.002,0.007,0.008,0,0,0.001,0.001,0.001,0.003,0.003,0.006,0.002,0.003,0.012,0.007,0.004,0,0.003,0.002,0,0.311,0.228,0.207
DVU0034,0.001,0.003,0.007,0.001,0.004,0.006,0.004,0.004,0.006,0.003,0.008,0.001,0,0.002,0.003,0.001,0.007,0.004,0.005,0.002,0.004,0.007,0.008,0.006,0.006,0.009,0.002,0.006,0.002,0.004,0.006,0.004,0.004,0.008,0.005,0.002,0.007,0.01,0.007,0.005,0.004,0.008,0.004,0.004,0.001,0.003,0.008,0.002,0,0.003,0.001,0,0.003,0.002,0.005,0.002,0.003,0.008,0.006,0.002,0,0.003,0.003,0,0.297,0.223,0.215
DVU0035,0.003,0.002,0.003,0,0.006,0,0.002,0.002,0,0.005,0.005,0.003,0,0.009,0.003,0,0.002,0.003,0.008,0.009,0,0.006,0.008,0.005,0.003,0.015,0.012,0.005,0.002,0.005,0,0.009,0.003,0.003,0,0,0.009,0.006,0.012,0.006,0.003,0.014,0.006,0.005,0.005,0.003,0.002,0.003,0,0.002,0.003,0.002,0.006,0.006,0.014,0.003,0,0,0.005,0,0,0.012,0,0,0.3,0.234,0.206
DVU0036,0.001,0.005,0.003,0.001,0.006,0.005,0.005,0.003,0.007,0.006,0.005,0.001,0.001,0.004,0.005,0.001,0.002,0.006,0.011,0.005,0.005,0.005,0.008,0.003,0.006,0.009,0.009,0.003,0,0.003,0.006,0.002,0.007,0.007,0.004,0.004,0.009,0.006,0.011,0.003,0.007,0.006,0.003,0.003,0.001,0.003,0.005,0.002,0,0.001,0.001,0.001,0.005,0.005,0.003,0.001,0.002,0.008,0.004,0.003,0,0.003,0.002,0,0.304,0.226,0.21
DVU0037,0.001,0.003,0.003,0,0.003,0.002,0.006,0.003,0.002,0.001,0.006,0.001,0.001,0.003,0.004,0.002,0.003,0.005,0.003,0.005,0.003,0.007,0.009,0.004,0.007,0.007,0.01,0.009,0.001,0.005,0.004,0.005,0.003,0.004,0.004,0.003,0.004,0.009,0.009,0.005,0.003,0.011,0.009,0.005,0.001,0.011,0.006,0,0,0.001,0.001,0.001,0.006,0.004,0.008,0.004,0.002,0.008,0.003,0.003,0.001,0.004,0.003,0.001,0.298,0.224,0.217
DVU0038,0.001,0.002,0.002,0,0.002,0.006,0.005,0.003,0.002,0.002,0.004,0.001,0,0.002,0.003,0.001,0.003,0.006,0.004,0.004,0.005,0.011,0.011,0.008,0.006,0.013,0.007,0.004,0.002,0.005,0.009,0.004,0.002,0.006,0.003,0.001,0.006,0.013,0.009,0.006,0.003,0.01,0.006,0.003,0.001,0.004,0.004,0.002,0,0.003,0,0,0.003,0.005,0.006,0.003,0.001,0.009,0.004,0.003,0,0.005,0.001,0.001,0.301,0.219,0.22
DVU0039,0,0.002,0.002,0,0.002,0.004,0.005,0.002,0.004,0.006,0.005,0.001,0,0.003,0.004,0,0,0.003,0.007,0.004,0.004,0.004,0.01,0.008,0.008,0.011,0.006,0.005,0.002,0.005,0.006,0.003,0.004,0.007,0.006,0.002,0.004,0.013,0.011,0.003,0.002,0.008,0.007,0.004,0.001,0.005,0.003,0.002,0,0.002,0.001,0,0.003,0.005,0.004,0.004,0.004,0.006,0.004,0.001,0,0.003,0.003,0.001,0.297,0.226,0.213
DVU0040,0,0.001,0.002,0.001,0.003,0.003,0.005,0.003,0.001,0.002,0.004,0.002,0,0.003,0.007,0.001,0.001,0.004,0.002,0.005,0.003,0.007,0.006,0.007,0.005,0.008,0.01,0.005,0.001,0.005,0.008,0.003,0.003,0.005,0.004,0.004,0.004,0.009,0.01,0.005,0.008,0.01,0.011,0.004,0.003,0.004,0.007,0.001,0,0.003,0.001,0,0.003,0.004,0.005,0.002,0.004,0.008,0.009,0.004,0,0.003,0.003,0,0.305,0.216,0.223
DVU0041,0.001,0.004,0.005,0.001,0.004,0.006,0.004,0.002,0.003,0.005,0.005,0.001,0.001,0.004,0.003,0,0.005,0.005,0.006,0.004,0.005,0.011,0.011,0.006,0.005,0.013,0.006,0.005,0.003,0.005,0.005,0.003,0.005,0.005,0.003,0.001,0.008,0.012,0.008,0.004,0.002,0.009,0.003,0.003,0.001,0.004,0.004,0.001,0,0.003,0,0.001,0.003,0.004,0.006,0.003,0.002,0.005,0.004,0.001,0,0.003,0.001,0.001,0.302,0.224,0.218
DVU0042,0,0.003,0.003,0,0.003,0.005,0.007,0.001,0.001,0.002,0.004,0,0.001,0.002,0.004,0,0.003,0.003,0.003,0.003,0.003,0.007,0.01,0.005,0.007,0.012,0.01,0.006,0.001,0.003,0.006,0.002,0.003,0.008,0.002,0.002,0.005,0.011,0.012,0.006,0.005,0.01,0.008,0.005,0.001,0.003,0.008,0.002,0,0.002,0,0.001,0.002,0.001,0.005,0.002,0.002,0.01,0.005,0.002,0,0.002,0.001,0.001,0.314,0.223,0.215
DVU0043,0,0.002,0.002,0.003,0.005,0.003,0.002,0.001,0.004,0.002,0.005,0.001,0.002,0.007,0.005,0.007,0.004,0.004,0.007,0.01,0.007,0.006,0.002,0.003,0.003,0.004,0.004,0.007,0,0.006,0.004,0.006,0.002,0.005,0.003,0.004,0,0.002,0.008,0.007,0.004,0.007,0.003,0.008,0.001,0.008,0.006,0.002,0.001,0,0,0.003,0.013,0.007,0.006,0.005,0.004,0.004,0.01,0.001,0.001,0.01,0.004,0.001,0.292,0.242,0.202
