TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2
DVU0030,0.009,0.005,0.185,0.008,-0.072,-0.017,-0.085,0
DVU0031,-0.031,-0.011,0.137,0.015,-0.054,0.02,-0.042,-0.009
DVU0032,-0.031,-0.032,0.213,0.006,-0.084,-0.011,-0.108,0.057
DVU0033,0.026,-0.015,0.208,0.041,-0.134,-0.004,-0.101,-0.004
DVU0034,0.024,0.03,0.24,0.035,-0.151,-0.061,-0.116,-0.004
DVU0035,0.026,-0.01,0.22,0.013,-0.085,0.001,-0.074,-0.018
DVU0036,0.031,0.011,0.206,-0.006,-0.083,-0.004,-0.114,-0.013
DVU0037,0.005,-0.028,0.192,-0.051,-0.058,0.033,-0.071,0.032
DVU0038,0.018,-0.014,0.245,-0.003,-0.1,0.012,-0.089,0.022
DVU0039,-0.016,0.048,0.237,0.003,-0.095,0.002,-0.099,-0.03
DVU0040,-0.013,-0.019,0.232,0.024,-0.145,0.008,-0.092,-0.004
DVU0041,0.02,0.007,0.289,0.015,-0.121,-0.011,-0.147,-0.005
DVU0042,0.005,-0.026,0.194,-0.051,-0.089,0.011,-0.059,0.055
DVU0043,-0.016,-0.021,0.298,0.072,-0.147,-0.025,-0.096,0.028
DVU0044,-0.019,-0.05,0.239,-0.003,-0.101,-0.007,-0.067,0.05
DVU0045,-0.029,0.003,0.214,-0.014,-0.092,-0.024,-0.045,0.015
DVU0046,0.039,0.001,0.212,-0.012,-0.086,0.017,-0.149,-0.024
DVU0047,0.054,-0.016,0.286,0.021,-0.141,0.035,-0.154,-0.013
DVU0048,0.049,0.002,0.255,0.009,-0.134,0.008,-0.123,0.001
DVU0049,-0.003,0.002,0.213,-0.029,-0.089,-0.007,-0.1,0.025
DVU0050,0.021,0.013,0.237,0.038,-0.097,-0.019,-0.117,-0.017
DVU0051,0.044,0.036,0.227,0.061,-0.115,-0.037,-0.147,-0.038
DVU0052,0.024,0.002,0.252,0.03,-0.092,-0.031,-0.129,-0.008
DVU0053,0.005,0.02,0.226,-0.019,-0.098,-0.022,-0.087,0.018
DVU0054,0.014,0.005,0.23,0.007,-0.089,-0.002,-0.047,-0.001
DVU0055,0.025,0.024,0.262,0.029,-0.138,-0.001,-0.108,-0.044
DVU0056,0.089,0.031,0.323,0.036,-0.221,-0.065,-0.188,-0.006
DVU0057,-0.021,0,0.304,0.032,-0.091,-0.01,-0.037,0.009
DVU0058,-0.029,-0.027,0.152,-0.038,-0.088,-0.003,-0.04,0.04
DVU0059,-0.022,0.003,0.21,0.018,-0.096,-0.018,-0.055,-0.001
DVU0060,0,-0.033,0.208,-0.028,-0.084,-0.005,-0.068,0.028
DVU0061,0,-0.022,0.212,0.026,-0.1,0.012,-0.075,0.013
DVU0062,-0.017,-0.015,0.204,-0.045,-0.089,0.003,-0.065,0.024
DVU0063,0.038,0.034,0.265,-0.022,-0.15,0.006,-0.157,0.006
DVU0064,-0.007,0.065,0.205,-0.003,-0.104,-0.057,-0.088,-0.016
DVU0065,0.026,0.037,0.173,-0.03,-0.109,-0.01,-0.104,-0.007
DVU0066,-0.008,-0.003,0.212,0.051,-0.092,-0.07,-0.074,0.006
DVU0067,0.058,0.003,0.236,0.023,-0.106,-0.056,-0.138,0.018
DVU0068,0.002,0.006,0.21,0.015,-0.086,-0.026,-0.09,-0.014
DVU0069,0.002,-0.023,0.204,-0.019,-0.048,0.029,-0.1,0.022
DVU0070,-0.007,-0.018,0.135,-0.014,-0.024,0.012,-0.06,-0.004
DVU0071,-0.022,0.022,0.179,0.004,-0.113,-0.019,-0.03,-0.011
DVU0072,0.009,0.027,0.272,0.076,-0.131,-0.061,-0.114,-0.028
DVU0073,-0.004,-0.018,0.231,-0.039,-0.074,0.027,-0.101,0.013
DVU0074,0,-0.018,0.194,0.003,-0.083,0.023,-0.031,-0.008
DVU0075,-0.025,-0.011,0.172,-0.024,-0.073,0.028,-0.041,0.03
DVU0076,0,0.013,0.237,0.042,-0.09,-0.032,-0.078,-0.016
DVU0077,-0.029,-0.053,0.184,-0.02,-0.065,0.024,-0.047,0.046
DVU0078,0.001,0.036,0.118,-0.075,-0.073,0.018,0.019,-0.001
DVU0079,-0.022,-0.037,0.221,0.005,-0.087,0.019,-0.004,0.037
DVU0080,0.021,0.002,0.232,0.01,-0.113,-0.007,-0.082,0.005
DVU0081,0.023,0.01,0.234,0.018,-0.113,-0.027,-0.112,-0.007
DVU0082,0.022,-0.002,0.225,-0.021,-0.095,-0.001,-0.099,0.013
DVU0083,0.014,-0.039,0.215,0.038,-0.11,-0.029,-0.044,-0.034
DVU0084,-0.005,0.022,0.232,0.023,-0.079,-0.013,-0.099,-0.024
DVU0085,0.001,0.017,0.225,0.068,-0.128,-0.053,-0.06,-0.02
DVU0086,0.198,-0.014,0.57,0.204,-0.09,-0.053,-0.1,0.035
DVU0087,0.036,0.042,0.26,0.019,-0.136,-0.01,-0.094,-0.034
DVU0088,-0.045,0.004,0.228,0.012,-0.1,-0.028,-0.039,0.009
DVU0089,0.023,0.036,0.293,0.025,-0.157,-0.03,-0.129,-0.052
DVU0090,0.018,0.002,0.26,0.02,-0.122,-0.018,-0.1,0.006
DVU0091,0.039,0.007,0.261,0.003,-0.126,-0.033,-0.128,-0.011
DVU0092,0.009,0.028,0.225,0.02,-0.105,-0.028,-0.092,-0.015
DVU0093,0.016,0.018,0.236,0.01,-0.091,-0.018,-0.103,0.002
DVU0094,0.001,-0.017,0.209,-0.025,-0.109,0.007,-0.083,0.022
DVU0095,0.042,-0.011,0.234,0.009,-0.141,-0.017,-0.13,0.006
DVU0096,0.006,0.002,0.22,-0.005,-0.133,-0.002,-0.093,0.007
DVU0097,0.027,-0.002,0.212,0.003,-0.084,-0.01,-0.101,-0.004
DVU0098,0.04,0.055,0.217,0.047,-0.112,-0.049,-0.116,-0.063
DVU0099,0.049,0.01,0.205,-0.032,-0.113,-0.014,-0.129,0.015
DVU0100,-0.015,0.004,0.229,0.018,-0.091,0,-0.081,-0.016
DVU0101,-0.03,-0.004,0.196,-0.012,-0.094,-0.005,-0.066,0.027
DVU0102,0.025,-0.046,0.206,-0.032,-0.116,0.032,-0.09,0.035
DVU0103,0.036,0.001,0.254,-0.004,-0.088,0.045,-0.098,0.016
DVU0104,-0.015,-0.022,0.199,-0.01,-0.114,-0.023,-0.049,0.034
DVU0105,0.018,-0.002,0.258,0.058,-0.094,-0.032,-0.128,-0.029
DVU0106,-0.01,0.033,0.283,0.062,-0.114,-0.023,-0.105,-0.05
DVU0107,0.051,-0.008,0.243,-0.013,-0.17,0.005,-0.148,-0.017
DVU0108,0.197,-0.011,0.617,0.198,-0.293,-0.048,-0.372,-0.033
DVU0109,0.015,-0.005,0.208,0.019,-0.086,-0.002,-0.096,-0.007
DVU0110,-0.005,-0.019,0.199,-0.014,-0.083,0.015,-0.083,0.017
DVU0111,0.012,-0.003,0.25,0.053,-0.14,-0.05,-0.109,0.009
DVU0112,-0.016,-0.018,0.228,0.034,-0.074,-0.005,-0.047,-0.003
DVU0113,-0.053,0.082,0.321,-0.011,-0.172,-0.043,-0.056,-0.027
DVU0114,0.017,0.027,0.191,0.02,-0.124,-0.022,-0.097,-0.017
DVU0115,0.021,0.02,0.212,0.018,-0.128,-0.004,-0.094,-0.022
DVU0116,-0.023,-0.008,0.243,0.028,-0.089,-0.021,-0.052,-0.008
DVU0117,0.015,0,0.228,0.009,-0.122,-0.01,-0.088,-0.004
DVU0118,0.028,0.006,0.195,-0.018,-0.099,-0.018,-0.088,0.009
DVU0119,-0.012,-0.004,0.212,0.026,-0.069,-0.023,-0.064,0.005
DVU0120,-0.017,0.012,0.184,-0.019,-0.071,-0.048,-0.083,0.024
DVU0121,0,0.019,0.236,0.059,-0.075,-0.055,-0.078,-0.038
DVU0122,-0.061,0.105,0.286,0.115,-0.109,-0.134,0.006,-0.087
DVU0123,-0.017,-0.038,0.208,0.018,-0.085,0.035,-0.07,-0.002
DVU0124,-0.046,-0.06,0.308,0.056,-0.073,0.039,-0.084,-0.13
DVU0125,0.023,0.007,0.215,0.054,-0.101,-0.039,-0.072,-0.016
DVU0126,-0.008,0.022,0.209,0.005,-0.09,-0.009,-0.071,-0.004
DVU0127,0.01,-0.023,0.196,0.024,-0.096,-0.002,-0.056,0.008
DVU0128,-0.021,-0.062,0.195,-0.053,-0.074,0.055,-0.071,0.071
DVU0129,0.006,-0.017,0.262,-0.008,-0.123,0.007,-0.105,0.011
DVU0130,0.019,0.041,0.213,0.038,-0.118,-0.031,-0.104,-0.035
DVU0131,0.241,0.026,0.648,0.372,-0.071,-0.032,-0.057,-0.044
DVU0132,-0.018,-0.043,0.182,0.016,-0.092,0.024,-0.046,0.016
DVU0133,0.011,-0.013,0.236,0.026,-0.185,-0.009,-0.108,-0.02
DVU0134,0.017,-0.024,0.235,-0.006,-0.093,0.003,-0.095,0.02
DVU0135,0.021,-0.013,0.262,0.002,-0.134,-0.009,-0.106,0.03
DVU0136,0.051,-0.016,0.161,-0.046,-0.089,0.004,-0.137,0.031
DVU0137,0.048,-0.021,0.526,0.247,-0.269,-0.186,-0.23,-0.1
DVU0138,0.046,0.113,0.294,0.085,-0.142,-0.123,-0.185,-0.063
DVU0139,0.009,0.02,0.238,-0.003,-0.128,-0.022,-0.105,0.014
DVU0140,-0.022,0.021,0.291,-0.022,-0.142,-0.063,-0.103,0.009
DVU0141,0.013,-0.043,0.178,-0.051,-0.097,0.049,-0.079,0.03
DVU0142,-0.028,0.022,0.253,0.076,-0.118,-0.013,-0.122,-0.031
DVU0143,0.012,0.018,0.193,0.024,-0.136,-0.033,-0.076,-0.039
DVU0144,0.025,0.044,0.154,0.006,-0.123,-0.02,-0.079,-0.033
DVU0145,0.056,0.007,0.291,0.011,-0.156,-0.005,-0.185,-0.026
DVU0146,0.039,0.002,0.238,-0.016,-0.123,-0.014,-0.124,-0.003
DVU0147,0.062,0.044,0.273,0.006,-0.183,-0.039,-0.146,0.022
DVU0148,0.023,0.005,0.233,-0.026,-0.162,-0.026,-0.1,0.047
DVU0149,-0.019,-0.005,0.2,0.009,-0.082,0.021,-0.068,-0.015
DVU0150,-0.03,0.067,0.205,0.067,-0.16,-0.086,-0.088,-0.092
DVU0151,0.01,0.003,0.245,0.003,-0.106,-0.009,-0.081,-0.013
DVU0152,-0.008,0.045,0.24,0.031,-0.096,-0.038,-0.058,-0.003
DVU0153,-0.009,0.069,0.169,0.029,-0.094,-0.055,-0.055,-0.06
DVU0154,0.111,-0.047,0.383,0.093,-0.134,-0.177,-0.101,0.019
DVU0155,0.005,-0.002,0.241,-0.011,-0.099,0.014,-0.102,0.007
DVU0156,0.017,0,0.229,0.009,-0.116,-0.002,-0.115,-0.004
DVU0157,-0.026,0.003,0.227,0.002,-0.102,0.003,-0.033,0.018
DVU0158,0.008,0.014,0.227,0.016,-0.082,-0.002,-0.103,-0.027
DVU0159,0.022,-0.005,0.205,-0.029,-0.127,-0.032,-0.094,0.051
DVU0160,-0.014,-0.027,0.182,-0.065,-0.082,0.038,-0.079,0.046
DVU0161,0.056,0.043,0.227,0.04,-0.132,-0.04,-0.125,-0.051
DVU0162,0.018,0.006,0.232,0.011,-0.143,-0.013,-0.105,-0.01
DVU0163,0.039,0.054,0.344,0.049,-0.163,-0.065,-0.187,-0.081
DVU0164,-0.021,0.014,0.217,0.019,-0.098,-0.017,-0.039,-0.023
DVU0165,0.034,0.019,0.23,0.012,-0.13,-0.01,-0.117,-0.021
DVU0166,0.016,0.01,0.172,0.013,-0.095,-0.021,-0.077,-0.009
DVU0167,-0.005,-0.005,0.248,0.037,-0.086,-0.01,-0.086,-0.018
DVU0168,-0.003,0.011,0.267,0.067,-0.142,-0.03,-0.06,-0.003
DVU0169,-0.008,0.018,0.198,-0.022,-0.133,0.001,-0.089,-0.01
DVU0170,0.015,0.027,0.251,0.05,-0.148,-0.038,-0.112,-0.027
DVU0171,-0.012,-0.011,0.2,0,-0.065,0.011,-0.076,-0.021
DVU0172,0.018,0.009,0.218,-0.042,-0.097,0.012,-0.099,0.009
DVU0173,0.017,-0.016,0.189,-0.018,-0.085,0.012,-0.093,0.004
DVU0174,-0.096,0.005,0.198,-0.016,-0.063,-0.014,0.011,-0.034
DVU0175,0.022,-0.004,0.197,0.011,-0.089,-0.011,-0.086,-0.001
DVU0176,0.03,0.016,0.184,-0.001,-0.136,-0.029,-0.097,0.012
DVU0177,-0.008,-0.048,0.19,-0.041,-0.063,0.035,-0.061,0.04
DVU0179,-0.01,-0.012,0.188,-0.003,-0.085,-0.003,-0.028,0.006
DVU0180,0.014,0.031,0.228,0.027,-0.141,-0.004,-0.116,-0.038
DVU0181,-0.007,-0.046,0.195,-0.023,-0.057,0.051,-0.076,0.047
DVU0182,0.007,0.01,0.222,0.014,-0.099,-0.033,-0.119,0.001
DVU0183,0.003,0.016,0.264,0.04,-0.104,-0.052,-0.116,-0.011
DVU0184,0.04,0.047,0.486,0.181,-0.196,-0.098,-0.172,-0.115
DVU0186,0.041,0.014,0.296,0.048,-0.23,-0.03,-0.127,-0.047
DVU0187,0.031,-0.001,0.292,0.03,-0.142,0.003,-0.156,-0.029
DVU0188,0.023,0.085,0.261,0.107,-0.197,-0.14,-0.1,-0.057
DVU0189,0.019,0.02,0.227,-0.005,-0.142,-0.001,-0.124,-0.022
DVU0190,-0.011,0.069,0.474,0.17,-0.053,-0.024,-0.043,-0.208
DVU0191,0.04,-0.005,0.236,-0.037,-0.134,-0.01,-0.121,0.039
DVU0192,0.004,0.035,0.261,0.008,-0.124,-0.026,-0.099,-0.02
DVU0193,0.029,-0.005,0.27,-0.014,-0.14,-0.043,-0.124,-0.045
DVU0194,0.024,0.041,0.306,0.053,-0.156,-0.046,-0.145,-0.032
DVU0195,0.161,0.122,0.529,0.152,-0.247,-0.115,-0.124,-0.117
DVU0196,0.167,0.081,0.466,0.172,-0.134,-0.063,-0.136,-0.046
DVU0197,0.02,-0.015,0.243,-0.01,-0.123,0.006,-0.105,0.014
DVU0198,-0.042,-0.037,0.225,-0.014,-0.067,0.042,-0.045,0.042
DVU0199,-0.017,0.009,0.196,0.025,-0.099,-0.018,-0.078,-0.032
DVU0200,0.031,-0.016,0.239,-0.013,-0.113,0.021,-0.111,-0.004
DVU0201,0.046,0.1,0.206,-0.054,-0.207,-0.097,-0.15,0.015
DVU0202,0.009,-0.014,0.266,0.029,-0.132,-0.017,-0.102,0.022
DVU0203,-0.027,-0.03,0.181,-0.043,-0.102,0.05,-0.033,0.023
DVU0204,0.025,0.019,0.257,0.006,-0.169,-0.026,-0.112,0.01
DVU0205,0.026,-0.028,0.201,-0.042,-0.115,0.037,-0.132,0.038
DVU0206,0.026,0.016,0.23,0.06,-0.137,-0.039,-0.099,-0.021
DVU0207,-0.039,-0.013,0.155,-0.051,-0.077,0.03,-0.031,0.013
DVU0208,-0.052,0.023,0.153,0.01,-0.059,-0.024,-0.035,0.012
DVU0209,0.026,0.023,0.154,-0.035,-0.075,-0.01,-0.08,0.001
DVU0210,-0.015,-0.021,0.227,0.001,-0.08,0.01,-0.059,0.019
DVU0211,0.015,-0.002,0.184,-0.025,-0.075,-0.002,-0.096,0.031
DVU0212,0.048,-0.002,0.275,0.08,-0.034,0.056,0.002,0.087
DVU0213,0.024,0.008,0.276,0.016,-0.121,0.017,-0.136,-0.042
DVU0214,-0.007,-0.048,0.24,0,-0.079,0.005,-0.049,0.016
DVU0215,-0.017,-0.001,0.203,-0.006,-0.068,0.004,-0.064,-0.002
DVU0216,-0.033,-0.054,0.234,0.004,-0.046,0.009,-0.043,0.067
DVU0217,0.007,0.04,0.161,-0.059,-0.064,0.02,-0.078,-0.011
DVU0218,-0.001,-0.023,0.209,-0.029,-0.083,0.002,-0.089,0.04
DVU0219,0.008,-0.026,0.245,-0.022,-0.104,0.01,-0.101,0.04
DVU0220,0.067,0.051,0.287,-0.015,-0.175,-0.031,-0.176,-0.013
DVU0221,0.033,-0.014,0.32,0.012,-0.121,0.026,-0.111,0.02
DVU0222,-0.021,-0.042,0.248,-0.037,-0.076,-0.008,-0.064,-0.022
DVU0223,0.278,0.084,0.501,0.123,-0.389,-0.052,-0.453,-0.125
DVU0224,0.051,0.039,0.275,0.06,-0.148,-0.076,-0.137,-0.062
DVU0225,0.385,0.156,0.779,0.301,-0.007,0.156,0.016,-0.13
DVU0226,0.061,0.002,0.339,0.043,-0.126,-0.023,-0.172,-0.033
DVU0227,0.024,-0.005,0.352,0.036,-0.127,-0.037,-0.244,-0.154
DVU0228,0.019,0.191,0.273,0.066,-0.065,-0.12,-0.201,-0.126
DVU0229,0.291,0.153,0.743,0.213,-0.039,0.155,-0.141,-0.113
DVU0230,0.02,0.056,0.229,0,-0.17,-0.015,-0.069,-0.065
DVU0231,0.081,-0.085,0.272,0.049,-0.138,-0.005,-0.189,-0.117
DVU0232,0.072,-0.007,0.384,0.053,-0.118,-0.014,-0.223,-0.152
DVU0233,0.06,-0.044,0.474,0.08,-0.074,0.014,-0.129,0.031
DVU0234,0.01,0.045,0.208,0.058,-0.113,-0.041,-0.091,-0.03
DVU0235,0.053,0.021,0.258,-0.001,-0.104,-0.007,-0.056,0.009
DVU0236,-0.006,-0.025,0.301,-0.024,-0.129,0.013,-0.128,0.011
DVU0237,0.04,0.037,0.288,0.009,-0.132,-0.043,-0.136,0.003
DVU0238,0.048,0.034,0.326,0.038,-0.165,-0.058,-0.192,-0.007
DVU0239,0.359,0.061,0.623,0.311,-0.139,0.015,-0.149,0.013
DVU0240,0.006,0.064,0.323,0.083,-0.18,-0.102,-0.116,-0.06
DVU0241,-0.004,0.01,0.286,0.006,-0.149,-0.024,-0.118,-0.004
DVU0242,0.06,0.032,0.221,0.039,-0.139,-0.053,-0.139,-0.012
DVU0243,0.03,0.027,0.232,-0.02,-0.155,-0.006,-0.152,0.008
DVU0244,0.003,-0.007,0.259,0.019,-0.091,-0.012,-0.091,0.015
DVU0245,-0.007,-0.001,0.197,-0.011,-0.078,0.005,-0.09,0.011
DVU0246,0.006,-0.008,0.171,-0.022,-0.071,-0.005,-0.071,0.032
DVU0247,0.002,0.07,0.233,-0.03,-0.167,-0.048,-0.097,-0.006
DVU0249,0.003,0.047,0.244,0.011,-0.096,-0.017,-0.122,-0.033
DVU0250,-0.017,0.022,0.273,0.047,-0.11,-0.013,-0.059,-0.027
DVU0251,0.02,-0.046,0.212,0.032,-0.128,0.017,-0.096,-0.017
DVU0252,0.236,0.26,0.489,0.134,-0.223,-0.149,-0.148,-0.014
DVU0253,0.041,0.01,0.226,-0.003,-0.13,-0.009,-0.117,-0.003
DVU0254,-0.018,-0.027,0.299,-0.069,-0.208,0.037,-0.091,-0.088
DVU0255,-0.012,0.044,0.272,0.035,-0.124,-0.069,-0.058,0.004
DVU0256,0.008,0.007,0.222,0.022,-0.084,-0.017,-0.074,-0.009
DVU0257,-0.043,-0.045,0.323,0.041,-0.077,-0.004,-0.088,-0.011
DVU0258,0.024,0.038,0.225,-0.008,-0.094,-0.024,-0.123,-0.029
DVU0259,0.067,0.08,0.286,0.026,-0.144,-0.078,-0.203,-0.034
DVU0260,0.077,-0.006,0.243,0.003,-0.172,0.001,-0.169,-0.024
DVU0261,0.101,0.012,0.279,0.044,-0.163,-0.032,-0.168,-0.031
DVU0262,0.011,0.006,0.166,-0.037,-0.076,0.019,-0.091,-0.003
DVU0263,0.066,0.014,0.253,0.005,-0.141,-0.031,-0.19,-0.02
DVU0264,0.022,0.017,0.23,-0.001,-0.123,-0.018,-0.091,-0.007
DVU0265,-0.045,-0.02,0.276,0.038,-0.07,0.004,-0.065,0.006
DVU0266,-0.003,0.015,0.232,0.024,-0.042,0,-0.078,-0.027
DVU0267,0.162,0.099,0.413,0.178,-0.221,-0.173,-0.213,-0.301
DVU0268,0.247,0.074,0.532,0.13,-0.184,-0.123,-0.052,-0.055
DVU0269,0.066,0.15,0.312,0.077,-0.281,-0.135,-0.144,-0.08
DVU0270,0.031,0.011,0.251,0.045,-0.101,-0.015,-0.108,-0.036
DVU0271,0.009,0.014,0.223,-0.023,-0.129,-0.018,-0.106,0.012
DVU0272,-0.087,0.193,0.3,0.092,-0.208,-0.079,-0.177,-0.118
DVU0273,0.004,0.057,0.279,0.052,-0.138,-0.064,-0.109,-0.036
DVU0274,0.063,0.046,0.243,0.011,-0.099,-0.075,-0.073,0.011
DVU0275,0.009,0.011,0.238,0.022,-0.082,-0.046,-0.1,-0.016
DVU0276,0.037,0.017,0.207,0.01,-0.124,-0.002,-0.107,-0.018
DVU0277,0.003,0.06,0.256,0.023,-0.13,-0.038,-0.073,-0.056
DVU0278,-0.005,0.004,0.239,0.018,-0.124,0.002,-0.099,-0.022
DVU0279,-0.015,-0.008,0.221,0.007,-0.097,-0.008,-0.077,-0.005
DVU0280,0.023,0.005,0.254,0.064,-0.133,-0.051,-0.111,-0.035
DVU0281,0.021,0.028,0.323,0.063,-0.136,-0.046,-0.143,-0.056
DVU0282,0.019,0.007,0.263,0.022,-0.121,-0.029,-0.105,0.001
DVU0283,0.01,0.009,0.239,0.037,-0.102,-0.024,-0.102,-0.015
DVU0284,0.013,-0.014,0.236,0.017,-0.127,-0.011,-0.087,0.001
DVU0285,0.032,-0.04,0.197,0,-0.11,0.008,-0.087,0.023
DVU0286,0.014,0.004,0.216,0.035,-0.141,-0.032,-0.073,-0.049
DVU4017,0.195,0.076,0.558,0.203,-0.071,-0.029,0.002,0.009
DVU0289,-0.013,-0.01,0.228,0.019,-0.091,-0.028,-0.071,-0.017
DVU0290,0.006,0.058,0.24,0.075,-0.152,-0.104,-0.129,-0.057
DVU0291,-0.017,-0.042,0.221,-0.009,-0.07,0.028,-0.098,0.038
DVU0292,-0.021,-0.005,0.269,0.035,-0.091,-0.034,-0.062,-0.008
DVU0293,-0.031,0.066,0.267,0.051,-0.184,-0.09,-0.104,-0.048
DVU0294,-0.016,-0.004,0.248,-0.002,-0.068,-0.001,-0.06,0.018
DVU0295,-0.003,-0.014,0.309,0.087,-0.103,-0.035,-0.093,-0.008
DVU0296,0.016,0.017,0.27,0.024,-0.135,-0.003,-0.123,-0.021
DVU0297,0.009,-0.046,0.225,0.031,-0.075,0.013,-0.097,0.014
DVU0298,0.008,-0.001,0.317,0.08,-0.113,-0.053,-0.063,-0.028
DVU4004,0.109,0.119,0.369,0.06,-0.176,-0.118,-0.233,-0.058
DVU0299,0.053,0.013,0.275,0.039,-0.125,-0.024,-0.147,-0.022
DVU0300,0.041,0.023,0.29,0.002,-0.139,-0.03,-0.153,-0.005
DVU0301,0.476,0.262,0.769,0.435,-0.167,-0.073,-0.217,-0.058
DVU0302,-0.008,0.042,0.26,0.125,-0.122,-0.07,-0.09,-0.052
DVU0303,0.036,0.009,0.288,-0.044,-0.14,-0.026,-0.16,0.029
DVU0304,0.033,-0.01,0.214,0.018,-0.097,0.035,-0.104,-0.042
DVU0305,0.005,0.041,0.393,0.1,-0.151,-0.133,-0.153,0.038
DVU0306,0.015,0.017,0.26,-0.031,-0.084,0.011,-0.098,-0.01
DVU0307,0,-0.007,0.224,-0.016,-0.121,-0.013,-0.097,0.006
DVU0308,0.04,-0.01,0.225,0.004,-0.128,0.009,-0.088,-0.004
DVU0309,-0.007,-0.007,0.218,-0.033,-0.111,0.02,-0.081,0.039
DVU0310,-0.009,-0.012,0.182,-0.019,-0.091,0.001,-0.07,0.024
DVU0311,-0.006,-0.039,0.202,-0.004,-0.083,0.005,-0.097,0.049
DVU0312,0.059,-0.018,0.258,0.021,-0.143,0.008,-0.142,-0.009
DVU0313,0.058,0.032,0.236,0.043,-0.128,-0.042,-0.134,-0.042
DVU0314,0.017,-0.004,0.229,-0.029,-0.164,0.044,-0.118,0.01
DVU0315,0.008,0.014,0.25,-0.017,-0.197,-0.044,-0.084,0.046
DVU0316,0.038,0.04,0.263,0.02,-0.192,-0.028,-0.15,-0.03
DVU0317,0.263,0.194,0.658,0.354,-0.242,-0.15,-0.246,-0.102
DVU0318,0.037,0.077,0.323,0.081,-0.222,-0.099,-0.143,-0.08
DVU0319,-0.009,-0.016,0.202,-0.046,-0.097,0.03,-0.068,0.035
DVU0320,0.02,0.089,0.166,0.002,-0.123,-0.071,-0.093,-0.03
DVU0321,-0.044,0.039,0.238,0.005,-0.087,-0.05,-0.081,-0.023
DVU0322,0.009,0.006,0.223,0.024,-0.121,-0.016,-0.104,-0.015
DVU0323,-0.009,-0.003,0.212,-0.017,-0.133,-0.004,-0.059,0.025
DVU0324,-0.03,0.072,0.232,0.03,-0.132,-0.106,0.048,0.017
DVU0325,0.034,-0.007,0.266,0.007,-0.114,-0.012,-0.118,0.023
DVU0326,-0.02,0.006,0.212,-0.011,-0.123,0.008,-0.061,0.002
