PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3
DVU0021,0.026,0.061,0.028,0.035,0.053,0.082,0.092,0.055,0.055,0.085,0.043,0.034,0.018,0.053,0.052,0.03,0.081,0.059,0.057
DVU0022,0.025,0.053,0.036,0.034,0.066,0.077,0.089,0.048,0.045,0.091,0.063,0.037,0.011,0.06,0.048,0.023,0.078,0.058,0.057
DVU0023,0.037,0.041,0.041,0.061,0.057,0.028,0.057,0.028,0.065,0.045,0.089,0.061,0.02,0.057,0.073,0.041,0.08,0.063,0.058
DVU0024,0.072,0.029,0.062,0.034,0.048,0.053,0.072,0.029,0.058,0.072,0.091,0.062,0.014,0.048,0.062,0.01,0.075,0.057,0.053
DVU0025,0.02,0.062,0.036,0.034,0.071,0.085,0.088,0.048,0.052,0.087,0.059,0.033,0.008,0.058,0.048,0.021,0.078,0.058,0.055
DVU0026,0.013,0.053,0.026,0.028,0.05,0.061,0.092,0.039,0.043,0.086,0.079,0.063,0.015,0.042,0.074,0.032,0.085,0.057,0.064
DVU0027,0.023,0.046,0.021,0.031,0.061,0.093,0.079,0.073,0.027,0.088,0.056,0.043,0.009,0.079,0.058,0.026,0.076,0.06,0.053
DVU0028,0.026,0.034,0.034,0.034,0.039,0.062,0.101,0.026,0.054,0.071,0.101,0.067,0.011,0.06,0.056,0.034,0.077,0.056,0.058
DVU0029,0.015,0.038,0.026,0.031,0.048,0.077,0.098,0.039,0.038,0.109,0.093,0.051,0.009,0.037,0.074,0.019,0.082,0.06,0.056
DVU4013,0.025,0.066,0.037,0.016,0.041,0.058,0.103,0.045,0.053,0.07,0.099,0.053,0.025,0.053,0.037,0.029,0.079,0.056,0.056
DVU0030,0.022,0.06,0.031,0.027,0.064,0.088,0.099,0.046,0.042,0.101,0.075,0.034,0.012,0.047,0.048,0.01,0.08,0.059,0.056
DVU0031,0.009,0.032,0.03,0.021,0.04,0.073,0.099,0.048,0.038,0.108,0.118,0.054,0.005,0.046,0.072,0.021,0.076,0.056,0.055
DVU0032,0.012,0.041,0.01,0.033,0.045,0.079,0.081,0.072,0.029,0.112,0.067,0.045,0.01,0.045,0.096,0.024,0.082,0.063,0.054
DVU0033,0.016,0.037,0.026,0.037,0.039,0.084,0.091,0.046,0.05,0.092,0.079,0.055,0.011,0.047,0.08,0.017,0.08,0.06,0.053
DVU0034,0.037,0.055,0.057,0.018,0.056,0.078,0.075,0.052,0.06,0.088,0.064,0.043,0.012,0.039,0.06,0.02,0.074,0.057,0.055
DVU0035,0.023,0.028,0.042,0.037,0.066,0.056,0.108,0.047,0.019,0.103,0.084,0.037,0.019,0.089,0.014,0.037,0.077,0.06,0.053
DVU0036,0.032,0.059,0.059,0.032,0.075,0.064,0.084,0.034,0.069,0.091,0.062,0.034,0.005,0.043,0.052,0.016,0.077,0.058,0.055
DVU0037,0.019,0.041,0.031,0.027,0.049,0.07,0.101,0.047,0.043,0.086,0.088,0.055,0.008,0.07,0.051,0.025,0.076,0.058,0.056
DVU0038,0.017,0.05,0.027,0.019,0.05,0.108,0.096,0.063,0.036,0.107,0.069,0.033,0.01,0.052,0.053,0.024,0.075,0.056,0.056
DVU0039,0.015,0.045,0.054,0.023,0.045,0.083,0.094,0.054,0.061,0.097,0.069,0.038,0.014,0.051,0.051,0.022,0.074,0.057,0.054
DVU0040,0.013,0.042,0.026,0.037,0.038,0.07,0.085,0.051,0.054,0.088,0.105,0.046,0.012,0.045,0.078,0.017,0.078,0.057,0.058
DVU0041,0.035,0.052,0.042,0.026,0.061,0.103,0.092,0.049,0.041,0.099,0.055,0.032,0.017,0.051,0.039,0.014,0.077,0.058,0.057
DVU0042,0.02,0.052,0.027,0.023,0.042,0.078,0.112,0.041,0.049,0.11,0.087,0.042,0.011,0.033,0.062,0.013,0.081,0.059,0.057
DVU0043,0.021,0.033,0.036,0.063,0.075,0.054,0.054,0.048,0.045,0.051,0.066,0.051,0.012,0.093,0.057,0.048,0.077,0.064,0.054
DVU0044,0.026,0.041,0.037,0.048,0.076,0.076,0.063,0.054,0.042,0.081,0.061,0.037,0.009,0.07,0.06,0.03,0.077,0.061,0.053
DVU0045,0.017,0.056,0.037,0.022,0.051,0.083,0.09,0.059,0.048,0.097,0.07,0.034,0.016,0.048,0.053,0.03,0.077,0.06,0.051
DVU0046,0.05,0.047,0.067,0.021,0.063,0.053,0.087,0.047,0.066,0.092,0.082,0.034,0.006,0.058,0.037,0.014,0.069,0.059,0.05
DVU0047,0.048,0.046,0.056,0.021,0.056,0.072,0.091,0.053,0.056,0.099,0.078,0.029,0.01,0.054,0.038,0.016,0.071,0.058,0.051
DVU0048,0.024,0.057,0.042,0.02,0.048,0.095,0.095,0.048,0.061,0.089,0.064,0.039,0.009,0.045,0.053,0.026,0.074,0.055,0.056
DVU0049,0.022,0.064,0.025,0.02,0.054,0.102,0.11,0.05,0.045,0.096,0.071,0.03,0.009,0.054,0.037,0.024,0.076,0.058,0.054
DVU0050,0.024,0.045,0.037,0.036,0.06,0.099,0.084,0.062,0.047,0.095,0.065,0.023,0.009,0.067,0.045,0.019,0.072,0.058,0.054
DVU0051,0.033,0.055,0.041,0.022,0.052,0.074,0.096,0.048,0.059,0.096,0.067,0.04,0.007,0.046,0.058,0.018,0.077,0.055,0.056
DVU0052,0.04,0.05,0.048,0.032,0.066,0.082,0.086,0.048,0.055,0.087,0.062,0.033,0.007,0.062,0.042,0.016,0.073,0.057,0.055
DVU0053,0.019,0.044,0.028,0.026,0.055,0.066,0.095,0.048,0.034,0.106,0.095,0.047,0.009,0.047,0.064,0.022,0.08,0.058,0.056
DVU0054,0.016,0.043,0.029,0.026,0.043,0.08,0.095,0.047,0.042,0.102,0.084,0.05,0.012,0.041,0.07,0.024,0.08,0.056,0.059
DVU0055,0.025,0.041,0.047,0.028,0.051,0.059,0.092,0.037,0.054,0.1,0.093,0.046,0.01,0.039,0.061,0.026,0.078,0.058,0.054
DVU0056,0.049,0.053,0.036,0.039,0.064,0.07,0.081,0.041,0.052,0.066,0.072,0.044,0.011,0.067,0.046,0.018,0.076,0.06,0.056
DVU0057,0.025,0.045,0.04,0.039,0.049,0.056,0.096,0.032,0.055,0.09,0.082,0.047,0.02,0.042,0.056,0.025,0.083,0.057,0.061
DVU0058,0.016,0.041,0.035,0.02,0.036,0.059,0.114,0.037,0.055,0.114,0.1,0.055,0.005,0.032,0.075,0.012,0.08,0.057,0.056
DVU0059,0.019,0.041,0.031,0.028,0.045,0.066,0.1,0.046,0.047,0.1,0.092,0.049,0.008,0.05,0.065,0.021,0.078,0.058,0.055
DVU0060,0.024,0.041,0.054,0.025,0.058,0.093,0.096,0.036,0.05,0.093,0.071,0.045,0.011,0.057,0.039,0.018,0.074,0.058,0.054
DVU0061,0.024,0.046,0.036,0.035,0.066,0.072,0.086,0.044,0.041,0.083,0.067,0.051,0.011,0.066,0.053,0.024,0.079,0.061,0.054
DVU0062,0.018,0.046,0.043,0.024,0.049,0.083,0.102,0.05,0.052,0.107,0.076,0.035,0.012,0.048,0.049,0.018,0.076,0.058,0.055
DVU0063,0.028,0.031,0.055,0.037,0.059,0.07,0.07,0.042,0.05,0.087,0.081,0.052,0.013,0.053,0.065,0.018,0.076,0.055,0.058
DVU0064,0.023,0.052,0.033,0.025,0.044,0.07,0.095,0.053,0.049,0.081,0.073,0.052,0.017,0.06,0.053,0.027,0.078,0.063,0.052
DVU0065,0.006,0.046,0.024,0.021,0.041,0.079,0.096,0.048,0.036,0.097,0.1,0.056,0.014,0.042,0.069,0.028,0.08,0.058,0.058
DVU0066,0.016,0.054,0.037,0.037,0.052,0.07,0.092,0.045,0.056,0.089,0.066,0.041,0.017,0.047,0.059,0.025,0.082,0.057,0.06
DVU0067,0.032,0.061,0.037,0.032,0.071,0.098,0.074,0.05,0.042,0.082,0.082,0.026,0.016,0.053,0.04,0.018,0.076,0.056,0.055
DVU0068,0.02,0.064,0.029,0.025,0.059,0.09,0.103,0.04,0.047,0.093,0.072,0.04,0.013,0.045,0.048,0.015,0.081,0.058,0.058
DVU0069,0.025,0.066,0.032,0.017,0.059,0.096,0.115,0.049,0.05,0.115,0.065,0.021,0.006,0.042,0.04,0.014,0.077,0.056,0.054
DVU0070,0.013,0.058,0.029,0.024,0.057,0.101,0.113,0.046,0.047,0.105,0.063,0.035,0.008,0.052,0.045,0.01,0.079,0.056,0.058
DVU0071,0.016,0.041,0.031,0.025,0.041,0.069,0.102,0.046,0.05,0.101,0.099,0.048,0.006,0.047,0.066,0.023,0.076,0.058,0.055
DVU0072,0.037,0.062,0.046,0.03,0.06,0.06,0.093,0.04,0.062,0.081,0.061,0.041,0.015,0.051,0.045,0.02,0.079,0.058,0.058
DVU0073,0.023,0.055,0.032,0.022,0.055,0.078,0.095,0.05,0.039,0.1,0.084,0.042,0.015,0.046,0.054,0.017,0.08,0.057,0.059
DVU0074,0.014,0.054,0.033,0.031,0.051,0.092,0.107,0.033,0.051,0.098,0.074,0.042,0.014,0.038,0.052,0.018,0.082,0.058,0.059
DVU0075,0.021,0.049,0.036,0.026,0.056,0.092,0.103,0.045,0.045,0.106,0.058,0.041,0.01,0.051,0.051,0.018,0.079,0.061,0.052
DVU0076,0.017,0.054,0.031,0.021,0.045,0.079,0.115,0.048,0.052,0.1,0.063,0.044,0.009,0.054,0.05,0.029,0.078,0.057,0.056
DVU0077,0.012,0.039,0.032,0.034,0.057,0.066,0.097,0.051,0.039,0.112,0.08,0.041,0.01,0.055,0.062,0.019,0.081,0.06,0.054
DVU0078,0.009,0.037,0.026,0.04,0.049,0.061,0.086,0.051,0.033,0.098,0.1,0.049,0.019,0.051,0.07,0.016,0.083,0.062,0.059
DVU0079,0.01,0.034,0.026,0.025,0.04,0.064,0.092,0.054,0.036,0.096,0.102,0.057,0.009,0.056,0.071,0.039,0.077,0.059,0.053
DVU0080,0.024,0.044,0.03,0.03,0.057,0.073,0.084,0.047,0.04,0.1,0.089,0.046,0.007,0.044,0.072,0.021,0.078,0.057,0.058
DVU0081,0.029,0.059,0.039,0.033,0.059,0.08,0.093,0.046,0.059,0.086,0.07,0.032,0.013,0.052,0.046,0.014,0.077,0.058,0.056
DVU0082,0.021,0.052,0.028,0.031,0.05,0.096,0.094,0.053,0.047,0.091,0.076,0.034,0.014,0.054,0.05,0.015,0.077,0.059,0.057
DVU0083,0.013,0.037,0.035,0.033,0.037,0.067,0.087,0.038,0.054,0.081,0.098,0.064,0.012,0.044,0.079,0.029,0.079,0.054,0.061
DVU0084,0.03,0.062,0.024,0.036,0.06,0.077,0.107,0.036,0.05,0.096,0.063,0.038,0.011,0.045,0.053,0.011,0.084,0.061,0.056
DVU0085,0.025,0.049,0.034,0.037,0.059,0.078,0.08,0.046,0.048,0.078,0.079,0.044,0.013,0.058,0.056,0.023,0.078,0.059,0.057
DVU0086,0.041,0.049,0.041,0.026,0.064,0.09,0.071,0.053,0.041,0.083,0.079,0.023,0.011,0.056,0.034,0.068,0.067,0.054,0.05
DVU0087,0.025,0.048,0.041,0.03,0.052,0.059,0.074,0.062,0.048,0.075,0.075,0.048,0.02,0.066,0.056,0.033,0.077,0.056,0.057
DVU0088,0.009,0.037,0.024,0.037,0.052,0.061,0.081,0.056,0.032,0.086,0.087,0.057,0.014,0.065,0.071,0.035,0.08,0.062,0.053
DVU0089,0.039,0.058,0.036,0.046,0.062,0.076,0.078,0.044,0.056,0.062,0.064,0.036,0.021,0.064,0.041,0.02,0.078,0.062,0.057
DVU0090,0.027,0.053,0.039,0.032,0.056,0.05,0.089,0.041,0.052,0.083,0.088,0.046,0.015,0.051,0.055,0.027,0.079,0.058,0.058
DVU0091,0.043,0.059,0.047,0.033,0.06,0.055,0.08,0.054,0.059,0.081,0.054,0.031,0.019,0.054,0.046,0.03,0.077,0.06,0.058
DVU0092,0.026,0.061,0.037,0.031,0.067,0.079,0.093,0.047,0.051,0.092,0.062,0.032,0.01,0.054,0.046,0.022,0.078,0.057,0.057
DVU0093,0.024,0.066,0.031,0.03,0.069,0.085,0.09,0.048,0.045,0.09,0.059,0.032,0.014,0.05,0.046,0.021,0.08,0.058,0.06
DVU0094,0.023,0.046,0.04,0.024,0.046,0.058,0.108,0.038,0.055,0.107,0.093,0.047,0.008,0.04,0.061,0.014,0.079,0.057,0.056
DVU0095,0.044,0.063,0.045,0.027,0.059,0.078,0.084,0.054,0.06,0.078,0.052,0.035,0.015,0.055,0.045,0.016,0.076,0.059,0.055
DVU0096,0.014,0.045,0.022,0.03,0.054,0.079,0.085,0.076,0.028,0.089,0.054,0.049,0.014,0.081,0.061,0.026,0.079,0.059,0.055
DVU0097,0.021,0.042,0.025,0.028,0.058,0.07,0.086,0.075,0.026,0.108,0.063,0.04,0.01,0.069,0.064,0.025,0.078,0.058,0.055
DVU0098,0.037,0.057,0.039,0.032,0.06,0.07,0.101,0.041,0.059,0.088,0.058,0.039,0.009,0.056,0.046,0.015,0.079,0.058,0.055
DVU0099,0.036,0.066,0.045,0.019,0.073,0.105,0.092,0.029,0.05,0.098,0.074,0.031,0.008,0.031,0.041,0.011,0.076,0.059,0.053
DVU0100,0.027,0.071,0.037,0.025,0.057,0.068,0.092,0.043,0.056,0.071,0.077,0.045,0.02,0.051,0.042,0.024,0.08,0.059,0.057
DVU0101,0.012,0.048,0.028,0.025,0.046,0.072,0.106,0.039,0.049,0.106,0.095,0.046,0.006,0.038,0.067,0.024,0.08,0.056,0.058
DVU0102,0.017,0.039,0.033,0.03,0.046,0.069,0.099,0.041,0.048,0.105,0.094,0.049,0.008,0.042,0.069,0.016,0.08,0.057,0.058
DVU0103,0.017,0.038,0.024,0.027,0.045,0.08,0.104,0.041,0.036,0.1,0.094,0.055,0.007,0.052,0.064,0.021,0.079,0.058,0.057
DVU0104,0.005,0.025,0.026,0.019,0.035,0.078,0.086,0.062,0.028,0.102,0.097,0.068,0.009,0.056,0.085,0.03,0.077,0.059,0.052
DVU0105,0.037,0.051,0.046,0.032,0.06,0.079,0.082,0.039,0.059,0.08,0.074,0.04,0.01,0.05,0.051,0.024,0.074,0.058,0.055
DVU0106,0.019,0.036,0.03,0.041,0.064,0.074,0.092,0.064,0.03,0.099,0.065,0.031,0.012,0.085,0.04,0.028,0.077,0.06,0.053
DVU0107,0.049,0.048,0.047,0.029,0.06,0.074,0.086,0.049,0.051,0.076,0.058,0.044,0.012,0.071,0.039,0.023,0.073,0.061,0.05
DVU0108,0.059,0.052,0.015,0.066,0.074,0.074,0.074,0.037,0.044,0.096,0.037,0.007,0.022,0.037,0.059,0.037,0.087,0.051,0.072
DVU0109,0.025,0.044,0.04,0.028,0.058,0.067,0.087,0.056,0.049,0.094,0.075,0.043,0.005,0.063,0.059,0.024,0.075,0.057,0.053
DVU0110,0.021,0.051,0.042,0.032,0.054,0.081,0.099,0.041,0.059,0.097,0.075,0.033,0.011,0.047,0.049,0.015,0.078,0.058,0.056
DVU0111,0.026,0.054,0.042,0.037,0.064,0.059,0.085,0.04,0.062,0.075,0.07,0.046,0.007,0.06,0.056,0.023,0.077,0.06,0.056
DVU0112,0.016,0.052,0.037,0.025,0.051,0.083,0.102,0.039,0.051,0.107,0.073,0.041,0.013,0.033,0.06,0.019,0.081,0.057,0.059
DVU0113,0.034,0.038,0.055,0.043,0.051,0.07,0.064,0.047,0.068,0.079,0.075,0.034,0.017,0.045,0.062,0.028,0.075,0.061,0.054
DVU0114,0.032,0.054,0.039,0.028,0.056,0.081,0.088,0.047,0.054,0.081,0.07,0.046,0.01,0.056,0.055,0.012,0.076,0.059,0.056
DVU0115,0.019,0.039,0.025,0.028,0.044,0.07,0.095,0.041,0.041,0.099,0.096,0.057,0.006,0.043,0.076,0.026,0.08,0.053,0.062
DVU0116,0.011,0.043,0.022,0.027,0.041,0.076,0.102,0.046,0.04,0.103,0.09,0.049,0.011,0.042,0.069,0.032,0.08,0.06,0.054
DVU0117,0.02,0.057,0.03,0.027,0.051,0.096,0.103,0.042,0.05,0.09,0.072,0.041,0.012,0.049,0.049,0.016,0.078,0.059,0.057
DVU0118,0.03,0.054,0.042,0.023,0.057,0.076,0.098,0.052,0.054,0.102,0.063,0.033,0.008,0.051,0.048,0.02,0.076,0.056,0.055
DVU0119,0.021,0.061,0.03,0.032,0.066,0.082,0.106,0.039,0.047,0.099,0.063,0.033,0.011,0.051,0.043,0.019,0.081,0.058,0.057
DVU0120,0.023,0.06,0.028,0.025,0.053,0.099,0.104,0.049,0.047,0.097,0.067,0.032,0.011,0.051,0.044,0.018,0.077,0.058,0.055
DVU0121,0.024,0.051,0.051,0.031,0.054,0.073,0.098,0.04,0.06,0.105,0.062,0.031,0.016,0.036,0.049,0.024,0.08,0.058,0.057
DVU0122,0.026,0.017,0.043,0.026,0.051,0.102,0.102,0.068,0.017,0.051,0.017,0.085,0.009,0.154,0.017,0.051,0.066,0.057,0.04
DVU0123,0.026,0.028,0.034,0.033,0.064,0.076,0.08,0.06,0.025,0.093,0.066,0.052,0.006,0.083,0.056,0.032,0.074,0.06,0.052
DVU0124,0.034,0.034,0.034,0.043,0.047,0.051,0.039,0.047,0.047,0.034,0.064,0.082,0.017,0.064,0.09,0.077,0.077,0.055,0.061
DVU0125,0.019,0.034,0.035,0.023,0.038,0.071,0.11,0.034,0.051,0.109,0.1,0.056,0.003,0.039,0.07,0.02,0.078,0.054,0.057
DVU0126,0.014,0.043,0.031,0.022,0.042,0.062,0.098,0.05,0.045,0.097,0.106,0.053,0.009,0.049,0.067,0.023,0.077,0.057,0.054
DVU0127,0.013,0.041,0.025,0.028,0.05,0.065,0.089,0.052,0.035,0.09,0.103,0.057,0.009,0.06,0.069,0.023,0.078,0.059,0.054
DVU0128,0.012,0.031,0.022,0.028,0.05,0.072,0.092,0.058,0.024,0.114,0.094,0.048,0.006,0.054,0.073,0.03,0.078,0.059,0.055
DVU0129,0.02,0.046,0.036,0.03,0.046,0.057,0.098,0.037,0.053,0.091,0.093,0.052,0.012,0.044,0.063,0.026,0.08,0.06,0.055
DVU0130,0.019,0.046,0.032,0.035,0.054,0.078,0.082,0.049,0.045,0.091,0.09,0.037,0.015,0.046,0.06,0.028,0.078,0.057,0.06
DVU0131,0.064,0.064,0.038,0.038,0.076,0.076,0.051,0.019,0.019,0.064,0.038,0.057,0.051,0.019,0.044,0.057,0.092,0.062,0.07
DVU0132,0.023,0.039,0.026,0.036,0.063,0.064,0.083,0.053,0.023,0.081,0.081,0.057,0.016,0.079,0.051,0.031,0.08,0.062,0.053
DVU0133,0.053,0.045,0.05,0.039,0.052,0.06,0.069,0.051,0.066,0.07,0.06,0.043,0.015,0.056,0.062,0.024,0.075,0.061,0.051
DVU0134,0.022,0.061,0.023,0.022,0.05,0.093,0.108,0.054,0.048,0.096,0.067,0.036,0.009,0.055,0.048,0.019,0.077,0.055,0.059
DVU0135,0.036,0.062,0.039,0.022,0.066,0.087,0.081,0.06,0.047,0.083,0.057,0.033,0.01,0.063,0.043,0.025,0.073,0.059,0.054
DVU0136,0.045,0.063,0.052,0.022,0.078,0.104,0.078,0.048,0.045,0.082,0.041,0.037,0.011,0.06,0.037,0.007,0.075,0.059,0.053
DVU0137,0.063,0.044,0.025,0.063,0.069,0.069,0.088,0.025,0.038,0.094,0.05,0.025,0.025,0.044,0.044,0.019,0.088,0.07,0.057
DVU0138,0.045,0.062,0.054,0.03,0.049,0.051,0.084,0.054,0.084,0.066,0.049,0.041,0.013,0.058,0.054,0.021,0.075,0.057,0.054
DVU0139,0.026,0.046,0.042,0.032,0.064,0.06,0.085,0.039,0.046,0.093,0.083,0.049,0.01,0.049,0.06,0.022,0.079,0.061,0.055
DVU0140,0.022,0.043,0.037,0.033,0.024,0.035,0.102,0.049,0.083,0.096,0.104,0.035,0.008,0.035,0.075,0.029,0.076,0.058,0.054
DVU0141,0.018,0.038,0.012,0.037,0.058,0.076,0.078,0.068,0.023,0.084,0.079,0.053,0.007,0.082,0.07,0.026,0.077,0.059,0.055
DVU0142,0.036,0.054,0.045,0.03,0.057,0.089,0.085,0.047,0.061,0.079,0.051,0.038,0.011,0.056,0.048,0.025,0.074,0.058,0.056
DVU0143,0.017,0.053,0.041,0.027,0.046,0.071,0.09,0.058,0.06,0.092,0.066,0.039,0.014,0.049,0.062,0.026,0.078,0.056,0.057
DVU0144,0.018,0.051,0.03,0.024,0.053,0.075,0.09,0.047,0.047,0.082,0.085,0.059,0.005,0.057,0.069,0.019,0.077,0.057,0.055
DVU0145,0.036,0.068,0.022,0.034,0.042,0.072,0.113,0.06,0.072,0.093,0.06,0.02,0.01,0.054,0.05,0.006,0.077,0.06,0.054
DVU0146,0.024,0.046,0.035,0.029,0.053,0.06,0.099,0.046,0.046,0.097,0.074,0.053,0.011,0.055,0.062,0.017,0.081,0.059,0.056
DVU0147,0.038,0.069,0.044,0.013,0.06,0.085,0.072,0.066,0.05,0.063,0.047,0.047,0.016,0.066,0.044,0.038,0.074,0.05,0.06
DVU0148,0.048,0.067,0.052,0.042,0.071,0.079,0.069,0.045,0.069,0.062,0.044,0.028,0.02,0.055,0.04,0.017,0.077,0.061,0.055
DVU0149,0.026,0.036,0.029,0.046,0.065,0.07,0.083,0.052,0.029,0.086,0.07,0.047,0.016,0.078,0.051,0.018,0.081,0.061,0.058
DVU0150,0.027,0.049,0.025,0.049,0.065,0.06,0.093,0.057,0.046,0.082,0.052,0.041,0.008,0.085,0.055,0.014,0.08,0.064,0.048
DVU0151,0.021,0.038,0.041,0.034,0.052,0.068,0.086,0.046,0.047,0.094,0.082,0.044,0.014,0.053,0.058,0.031,0.077,0.059,0.056
DVU0152,0.021,0.048,0.034,0.036,0.056,0.061,0.091,0.04,0.05,0.087,0.073,0.052,0.012,0.052,0.064,0.027,0.081,0.06,0.057
DVU0153,0.023,0.059,0.029,0.031,0.044,0.065,0.086,0.059,0.059,0.08,0.061,0.05,0.015,0.05,0.075,0.017,0.082,0.053,0.063
DVU0154,0.024,0.029,0.033,0.052,0.072,0.043,0.081,0.038,0.024,0.091,0.091,0.052,0.019,0.072,0.052,0.024,0.082,0.06,0.062
DVU0155,0.019,0.055,0.017,0.023,0.044,0.09,0.101,0.054,0.044,0.098,0.077,0.041,0.007,0.045,0.065,0.027,0.077,0.056,0.059
DVU0156,0.022,0.052,0.04,0.024,0.054,0.08,0.097,0.048,0.047,0.099,0.07,0.042,0.015,0.047,0.051,0.018,0.079,0.059,0.057
DVU0157,0.013,0.047,0.034,0.022,0.039,0.075,0.099,0.049,0.055,0.1,0.08,0.049,0.008,0.041,0.071,0.027,0.078,0.056,0.057
DVU0158,0.016,0.05,0.03,0.025,0.052,0.084,0.097,0.052,0.044,0.097,0.088,0.041,0.009,0.053,0.056,0.013,0.077,0.056,0.059
DVU0159,0.034,0.058,0.043,0.02,0.058,0.069,0.101,0.034,0.051,0.103,0.066,0.051,0.011,0.032,0.062,0.008,0.083,0.056,0.06
DVU0160,0.018,0.062,0.028,0.024,0.058,0.083,0.102,0.05,0.046,0.095,0.076,0.038,0.009,0.053,0.05,0.017,0.078,0.06,0.054
DVU0161,0.037,0.052,0.035,0.038,0.061,0.064,0.093,0.051,0.048,0.089,0.061,0.035,0.014,0.066,0.043,0.019,0.079,0.057,0.06
DVU0162,0.03,0.056,0.04,0.034,0.062,0.087,0.095,0.045,0.056,0.085,0.058,0.035,0.011,0.06,0.042,0.015,0.077,0.059,0.056
DVU0163,0.034,0.043,0.028,0.06,0.06,0.041,0.062,0.04,0.055,0.072,0.074,0.048,0.017,0.047,0.084,0.03,0.083,0.063,0.059
