DCC_Twist.Tilt.lag.1,DCC_Twist.Tilt.lag.2,DCC_Tilt.Twist.lag.1,DCC_Tilt.Twist.lag.2
DVU0111,-0.287,0.005,-0.259,-0.023
DVU0112,-0.333,0.06,-0.286,0.025
DVU0113,-0.275,0.022,-0.244,-0.029
DVU0114,-0.251,-0.034,-0.26,-0.042
DVU0115,-0.335,0.077,-0.298,0.111
DVU0116,-0.337,0.026,-0.285,-0.006
DVU0117,-0.313,0,-0.288,0.027
DVU0118,-0.262,0.009,-0.251,0.004
DVU0119,-0.281,0.012,-0.314,0.02
DVU0120,-0.274,-0.015,-0.293,0.022
DVU0121,-0.258,0.013,-0.262,0.033
DVU0122,-0.058,-0.17,-0.262,0.016
DVU0123,-0.234,-0.032,-0.28,-0.047
DVU0124,-0.327,0.102,-0.305,0.061
DVU0125,-0.328,0.063,-0.236,0.049
DVU0126,-0.315,0.036,-0.257,0.006
DVU0127,-0.327,0.048,-0.238,-0.022
DVU0128,-0.31,0.018,-0.273,-0.003
DVU0129,-0.333,0.002,-0.277,0.012
DVU0130,-0.293,0.066,-0.268,0.04
DVU0131,-0.404,0.189,-0.433,0.114
DVU0132,-0.311,-0.012,-0.329,-0.01
DVU0133,-0.271,0.017,-0.221,-0.052
DVU0134,-0.309,0.057,-0.279,0.062
DVU0135,-0.224,-0.031,-0.255,0.002
DVU0136,-0.245,-0.041,-0.296,-0.044
DVU0137,-0.323,-0.093,-0.272,-0.097
DVU0138,-0.279,0.029,-0.238,-0.005
DVU0139,-0.29,-0.017,-0.306,-0.002
DVU0140,-0.367,0.078,-0.173,-0.027
DVU0141,-0.282,0.014,-0.287,-0.019
DVU0142,-0.206,-0.008,-0.246,-0.008
DVU0143,-0.302,0.019,-0.281,0.013
DVU0144,-0.274,0.005,-0.298,0.004
DVU0145,-0.323,-0.052,-0.229,-0.033
DVU0146,-0.338,0.086,-0.271,-0.004
DVU0147,-0.304,0.147,-0.318,0.116
DVU0148,-0.258,-0.036,-0.275,-0.065
DVU0149,-0.295,-0.007,-0.321,0.017
DVU0150,-0.293,-0.061,-0.262,-0.127
DVU0151,-0.267,-0.004,-0.263,-0.007
DVU0152,-0.314,-0.008,-0.307,0.013
DVU0153,-0.349,0.128,-0.275,0.087
DVU0154,-0.299,0.042,-0.304,0.073
DVU0155,-0.3,0.058,-0.256,-0.023
DVU0156,-0.279,0.002,-0.285,0.001
DVU0157,-0.328,0.055,-0.257,-0.001
DVU0158,-0.3,0.049,-0.27,0.007
DVU0159,-0.364,0.088,-0.368,0.103
DVU0160,-0.301,0.012,-0.31,0.007
DVU0161,-0.26,0.034,-0.287,0.051
DVU0162,-0.249,0.001,-0.286,-0.005
DVU0163,-0.367,0.002,-0.299,-0.032
DVU0164,-0.342,0.04,-0.327,0.072
DVU0165,-0.231,0.009,-0.314,0.005
DVU0166,-0.231,-0.025,-0.279,0.008
DVU0167,-0.274,0.034,-0.278,0.01
DVU0168,-0.244,-0.023,-0.315,-0.002
DVU0169,-0.224,-0.064,-0.284,-0.049
DVU0170,-0.306,0.023,-0.238,0.04
DVU0171,-0.313,0.039,-0.3,0.057
DVU0172,-0.258,-0.015,-0.287,0.022
DVU0173,-0.285,0.021,-0.306,0.018
DVU0174,-0.433,0.264,-0.406,0.301
DVU0175,-0.28,0.06,-0.281,0.051
DVU0176,-0.309,0.041,-0.273,0.031
DVU0177,-0.223,-0.028,-0.303,-0.001
DVU0179,-0.314,0.038,-0.233,0.001
DVU0180,-0.309,0.02,-0.245,-0.005
DVU0181,-0.283,-0.003,-0.241,-0.015
DVU0182,-0.257,-0.042,-0.268,-0.014
DVU0183,-0.252,0.015,-0.298,0.059
DVU0184,-0.427,0.084,-0.297,0.033
DVU0186,-0.27,0.017,-0.267,0.005
DVU0187,-0.271,-0.025,-0.258,-0.03
DVU0188,-0.275,0.106,-0.16,0.006
DVU0189,-0.283,-0.012,-0.254,-0.018
DVU0190,-0.324,0.095,-0.303,0.085
DVU0191,-0.278,0.011,-0.278,-0.011
DVU0192,-0.349,0.041,-0.261,-0.016
DVU0193,-0.274,0.039,-0.195,0.014
DVU0194,-0.286,0.02,-0.282,0.018
DVU0195,-0.299,0.039,-0.263,0.092
DVU0196,-0.286,0.021,-0.339,0.048
DVU0197,-0.249,-0.013,-0.279,-0.027
DVU0198,-0.258,0.008,-0.27,-0.007
DVU0199,-0.245,0.012,-0.359,0.002
DVU0200,-0.214,0.022,-0.234,0.011
DVU0201,-0.288,-0.023,-0.207,-0.074
DVU0202,-0.284,0.045,-0.286,0.032
DVU0203,-0.273,0.077,-0.281,0.033
DVU0204,-0.331,0.065,-0.295,0.016
DVU0205,-0.309,-0.018,-0.276,0.017
DVU0206,-0.271,0.059,-0.251,0.049
DVU0207,-0.26,0.019,-0.218,-0.005
DVU0208,-0.239,-0.03,-0.276,0.043
DVU0209,-0.202,0.007,-0.221,0.06
DVU0210,-0.3,-0.014,-0.314,0.005
DVU0211,-0.255,-0.014,-0.283,-0.018
DVU0212,-0.2,-0.115,-0.284,-0.027
DVU0213,-0.312,0.013,-0.227,-0.048
DVU0214,-0.309,0.026,-0.3,0.016
DVU0215,-0.287,0.019,-0.268,-0.014
DVU0216,-0.231,-0.012,-0.287,-0.009
DVU0217,-0.256,-0.061,-0.182,-0.099
DVU0218,-0.297,0.01,-0.263,-0.011
DVU0219,-0.297,0.044,-0.278,0.047
DVU0220,-0.295,-0.046,-0.324,-0.021
DVU0221,-0.326,-0.038,-0.34,0.01
DVU0222,-0.384,0.136,-0.389,0.138
DVU0223,-0.341,-0.02,-0.133,-0.003
DVU0224,-0.314,0.005,-0.245,-0.045
DVU0225,-0.358,0.046,-0.295,0.071
DVU0226,-0.316,0.005,-0.293,-0.006
DVU0227,-0.324,0.018,-0.249,0.012
DVU0228,-0.288,-0.009,-0.256,-0.082
DVU0229,-0.231,-0.019,-0.254,0.023
DVU0230,-0.251,-0.003,-0.297,0.089
DVU0231,-0.264,0.087,-0.213,0.077
DVU0232,-0.291,-0.013,-0.179,-0.013
DVU0233,-0.151,-0.047,-0.234,-0.006
DVU0234,-0.32,0.05,-0.304,0.066
DVU0235,-0.316,0.038,-0.249,0.003
DVU0236,-0.273,-0.002,-0.255,-0.013
DVU0237,-0.242,-0.063,-0.231,-0.054
DVU0238,-0.21,0.051,-0.278,0.068
DVU0239,-0.288,0.032,-0.326,0.074
DVU0240,-0.298,0.015,-0.257,0.006
DVU0241,-0.315,0.009,-0.271,0.001
DVU0242,-0.318,0.076,-0.253,0.04
DVU0243,-0.326,0.017,-0.236,-0.062
DVU0244,-0.333,0.007,-0.323,0.046
DVU0245,-0.262,0.031,-0.243,0.035
DVU0246,-0.265,-0.011,-0.314,0.008
DVU0247,-0.297,0.025,-0.283,-0.026
DVU0249,-0.214,0.015,-0.255,0.021
DVU0250,-0.278,-0.002,-0.303,0.008
DVU0251,-0.207,-0.068,-0.304,-0.008
DVU0252,-0.266,-0.054,-0.296,0.07
DVU0253,-0.269,0.018,-0.282,0.027
DVU0254,-0.32,0.048,-0.183,-0.031
DVU0255,-0.35,0.054,-0.342,0.131
DVU0256,-0.288,0.026,-0.29,-0.001
DVU0257,-0.309,0.054,-0.298,0.033
DVU0258,-0.265,-0.044,-0.274,-0.052
DVU0259,-0.268,-0.025,-0.288,-0.087
DVU0260,-0.319,0.019,-0.258,-0.005
DVU0261,-0.203,-0.036,-0.284,0.006
DVU0262,-0.314,0.018,-0.213,-0.028
DVU0263,-0.28,-0.035,-0.318,-0.014
DVU0264,-0.276,-0.002,-0.314,0.068
DVU0265,-0.314,0.047,-0.275,0.034
DVU0266,-0.309,0.054,-0.297,-0.004
DVU0267,-0.349,0.041,-0.401,0.152
DVU0268,-0.282,0.038,-0.235,-0.008
DVU0269,-0.334,-0.007,-0.251,0.041
DVU0270,-0.279,0.002,-0.267,0.003
DVU0271,-0.315,0.006,-0.245,-0.019
DVU0272,-0.403,0.02,-0.203,-0.018
DVU0273,-0.328,0.038,-0.247,-0.029
DVU0274,-0.144,-0.074,-0.161,-0.034
DVU0275,-0.285,0.032,-0.317,0.023
DVU0276,-0.218,0.007,-0.241,0.038
DVU0277,-0.332,0.031,-0.329,0.048
DVU0278,-0.256,-0.005,-0.258,0.038
DVU0279,-0.295,0.01,-0.296,-0.005
DVU0280,-0.285,0.018,-0.296,0.03
DVU0281,-0.285,0.026,-0.325,0.025
DVU0282,-0.323,0.032,-0.323,0.04
DVU0283,-0.264,0.007,-0.29,0.019
DVU0284,-0.268,0.054,-0.283,0.024
DVU0285,-0.243,-0.077,-0.324,-0.004
DVU0286,-0.328,0.023,-0.274,0.024
DVU4017,-0.307,0.012,-0.254,0.013
DVU0289,-0.233,-0.001,-0.296,0.05
DVU0290,-0.285,-0.006,-0.297,-0.048
DVU0291,-0.335,0.049,-0.303,0.012
DVU0292,-0.32,0.026,-0.356,0.027
DVU0293,-0.336,0.004,-0.204,0.019
DVU0294,-0.331,0.051,-0.31,0.03
DVU0295,-0.341,0.063,-0.275,0.053
DVU0296,-0.307,0.019,-0.269,-0.032
DVU0297,-0.351,0.062,-0.412,0.042
DVU0298,-0.301,0.031,-0.261,0.034
DVU4004,-0.372,0.058,-0.304,0.028
DVU0299,-0.237,-0.023,-0.277,-0.01
DVU0300,-0.256,0.056,-0.261,0.018
DVU0301,-0.232,0.037,-0.337,0.051
DVU0302,-0.237,-0.048,-0.327,-0.018
DVU0303,-0.239,0.051,-0.253,0.041
DVU0304,-0.325,0.084,-0.312,0.071
DVU0305,-0.285,0.013,-0.34,0.094
DVU0306,-0.254,0.017,-0.208,0.055
DVU0307,-0.278,-0.039,-0.278,-0.025
DVU0308,-0.266,-0.04,-0.401,0.064
DVU0309,-0.3,-0.026,-0.23,-0.029
DVU0310,-0.274,-0.022,-0.256,-0.02
DVU0311,-0.303,0.028,-0.262,0.02
DVU0312,-0.227,-0.017,-0.217,0.016
DVU0313,-0.211,-0.024,-0.256,-0.012
DVU0314,-0.191,-0.03,-0.254,-0.01
DVU0315,-0.311,0.025,-0.335,0.08
DVU0316,-0.229,-0.011,-0.246,0.034
DVU0317,-0.281,-0.013,-0.311,0.046
DVU0318,-0.229,-0.054,-0.299,0.032
DVU0319,-0.307,0.016,-0.306,-0.008
DVU0320,-0.269,-0.041,-0.348,0.003
DVU0321,-0.297,-0.046,-0.282,-0.034
DVU0322,-0.223,-0.087,-0.262,-0.077
DVU0323,-0.293,0.01,-0.271,-0.009
DVU0324,-0.314,-0.012,-0.335,0.145
DVU0325,-0.304,0.025,-0.284,0.002
DVU0326,-0.278,0.004,-0.244,-0.028
DVU0327,-0.288,-0.004,-0.314,0.005
DVU0328,-0.23,0.001,-0.315,0.046
DVU0329,-0.26,-0.013,-0.246,-0.046
DVU0330,-0.285,0.018,-0.312,0.035
DVU0331,-0.269,-0.014,-0.276,-0.001
DVU0332,-0.321,0.103,-0.303,0.059
DVU0333,-0.305,-0.009,-0.301,0.039
DVU0334,-0.264,-0.035,-0.258,-0.022
DVU0335,-0.337,0.024,-0.272,0.032
DVU0336,-0.285,0.004,-0.323,0.036
DVU0337,-0.273,0.027,-0.289,0.001
DVU0338,-0.266,0.013,-0.233,0.027
DVU0339,-0.266,0.006,-0.267,0.086
DVU0340,-0.358,0.042,-0.381,0.051
DVU0341,-0.259,0.035,-0.293,0.049
DVU0342,-0.333,0.01,-0.317,0.007
DVU0343,-0.303,0.014,-0.345,0.003
DVU0344,-0.271,0.006,-0.307,-0.004
DVU0345,-0.349,0.046,-0.561,0.17
DVU0346,-0.296,0.019,-0.287,0.005
DVU0347,-0.299,0.035,-0.338,0.017
DVU0348,-0.296,0.063,-0.313,0.035
DVU0349,-0.247,-0.004,-0.303,0.011
DVU0350,-0.305,0.003,-0.3,-0.022
DVU0351,-0.277,-0.01,-0.308,0.012
DVU0352,-0.26,-0.022,-0.293,-0.021
DVU0353,-0.268,-0.017,-0.343,-0.014
DVU0354,-0.311,0.046,-0.354,0.037
DVU0355,-0.28,0.022,-0.278,0.037
DVU0356,-0.285,0.042,-0.262,-0.043
DVU0357,-0.338,0.047,-0.282,0.032
DVU0358,-0.29,0.002,-0.268,0.008
DVU0359,-0.196,-0.108,-0.195,-0.088
DVU0360,-0.271,0.011,-0.325,0.033
DVU0361,-0.314,0.058,-0.225,0.041
DVU0362,-0.343,-0.006,-0.336,0.036
DVU0363,-0.295,0.027,-0.284,0.023
DVU0364,-0.303,0.016,-0.3,-0.005
DVU0365,-0.273,0.007,-0.277,0.03
DVU0366,-0.242,0.009,-0.275,-0.031
DVU0367,-0.366,0.054,-0.306,0.041
DVU0368,-0.311,0.028,-0.152,0.057
DVU0369,-0.567,0.109,-0.486,0.156
DVU0370,-0.288,0.061,-0.179,-0.053
DVU0371,-0.37,0.073,-0.276,-0.045
DVU0372,-0.215,-0.029,-0.267,0.023
DVU0373,-0.253,0.009,-0.264,-0.019
DVU0374,-0.256,-0.008,-0.302,-0.008
DVU0375,-0.248,-0.06,-0.278,-0.05
DVU0376,-0.168,0.01,-0.211,0.013
DVU0377,-0.275,-0.008,-0.31,0.073
DVU0378,-0.235,0.058,-0.265,0.062
DVU0379,-0.332,0.082,-0.302,0.057
DVU0380,-0.312,0.025,-0.276,0.037
DVU0381,-0.274,-0.031,-0.317,0.022
DVU0382,-0.33,0.083,-0.367,0.147
DVU0383,-0.33,0.05,-0.323,0.037
DVU0384,-0.269,0,-0.315,0.021
DVU0385,-0.355,0.029,-0.124,-0.065
DVU0386,-0.271,0.02,-0.244,-0.009
DVU0387,-0.312,0.062,-0.323,0.042
DVU0388,-0.25,0.024,-0.246,0
DVU0389,-0.281,-0.019,-0.325,0
DVU0390,-0.296,-0.015,-0.297,0.035
DVU0391,-0.284,0.005,-0.32,0.028
DVU0392,-0.337,0.046,-0.312,0.084
DVU0393,-0.308,0.067,-0.255,0.032
DVU0394,-0.311,-0.013,-0.256,0.042
DVU0395,-0.301,0.045,-0.302,0.069
DVU0396,-0.167,-0.03,-0.169,-0.072
DVU0397,-0.269,0.009,-0.319,0.015
DVU0398,-0.283,-0.027,-0.306,0
DVU0399,-0.265,0.054,-0.344,0.072
DVU0400,-0.299,0.028,-0.234,0.011
DVU0401,-0.293,0.047,-0.315,0.023
DVU0402,-0.247,-0.032,-0.24,-0.043
DVU0403,-0.285,-0.01,-0.303,-0.052
DVU0404,-0.223,-0.066,-0.205,-0.085
DVU0405,-0.265,0.007,-0.276,0.024
DVU0406,-0.259,0.03,-0.309,0.046
DVU0407,-0.293,0.012,-0.244,-0.039
DVU0408,-0.261,-0.038,-0.272,-0.033
DVU0409,-0.245,-0.07,-0.203,-0.077
DVU0410,-0.213,-0.077,-0.203,-0.051
DVU0411,-0.273,0.003,-0.278,-0.002
DVU0412,-0.253,-0.034,-0.261,-0.019
DVU0413,-0.24,-0.069,-0.326,-0.035
DVU0414,-0.244,-0.001,-0.285,-0.001
DVU0415,-0.272,0.014,-0.23,-0.023
DVU0416,-0.282,-0.007,-0.287,0.023
DVU0417,-0.274,0.015,-0.296,0.019
DVU0418,-0.281,0.01,-0.248,-0.019
DVU0419,-0.305,0.04,-0.276,0.01
DVU0420,-0.402,-0.032,-0.155,-0.165
DVU0421,-0.323,0.052,-0.254,0.029
DVU0422,-0.253,0.014,-0.281,0.017
DVU0423,-0.323,0.003,-0.292,-0.022
DVU0424,-0.304,0.056,-0.292,0.071
DVU0425,-0.341,0.039,-0.315,0.025
DVU0426,-0.304,0.001,-0.297,0
DVU0427,-0.348,0.107,-0.331,0.108
DVU0428,-0.295,0.041,-0.333,0.073
DVU0429,-0.281,0.063,-0.253,0.074
DVU0430,-0.302,0.039,-0.336,0.054
DVU0431,-0.21,-0.111,-0.28,-0.162
DVU0432,-0.263,-0.125,-0.286,-0.131
DVU0433,-0.291,0.016,-0.3,-0.017
DVU0434,-0.292,-0.001,-0.294,0.011
DVU0435,-0.192,-0.096,-0.333,-0.072
DVU0436,-0.297,0.042,-0.3,0.059
DVU0437,-0.311,0.036,-0.271,0.009
DVU0438,-0.29,-0.011,-0.287,-0.029
DVU0439,-0.23,0.053,-0.232,0.035
DVU0440,-0.301,0.041,-0.27,0.034
DVU0441,-0.305,0,-0.299,-0.004
DVU0442,-0.278,0.047,-0.254,0.006
DVU0443,-0.353,0.086,-0.281,0.057
DVU0444,-0.271,0.029,-0.285,0.024
DVU0445,-0.262,-0.018,-0.276,-0.01
DVU0446,-0.3,-0.002,-0.315,0.01
DVU0447,-0.251,-0.049,-0.36,-0.03
DVU0448,-0.289,0.004,-0.255,0.013
DVU0449,-0.265,-0.002,-0.285,0.022
DVU0450,-0.291,0.039,-0.256,0.013
DVU0451,-0.297,0.024,-0.305,0.043
DVU0452,-0.271,0.046,-0.285,0.049
DVU0453,-0.296,0.021,-0.264,-0.007
DVU0454,-0.282,0.078,-0.329,0.145
DVU0455,-0.333,0.06,-0.211,0.022
DVU0456,-0.235,-0.005,-0.321,0.006
DVU0457,-0.268,0.038,-0.284,0.022
DVU0458,-0.254,-0.064,-0.374,0.163
DVU0459,-0.394,-0.01,-0.425,-0.058
DVU0460,-0.335,0.038,-0.298,0.024
DVU0461,-0.318,0.017,-0.276,-0.007
DVU0462,-0.259,0.011,-0.278,0.008
DVU0463,-0.311,0.04,-0.299,0.007
DVU0464,-0.333,0.031,-0.296,-0.018
DVU0465,-0.289,0.031,-0.244,0.014
DVU0466,-0.374,0.087,-0.254,-0.018
DVU0467,-0.328,0.064,-0.269,0.004
DVU0468,-0.293,-0.004,-0.22,-0.003
DVU0469,-0.345,0.05,-0.284,0.072
DVU0470,-0.337,0.065,-0.285,0.01
DVU0471,-0.336,0.028,-0.257,0
DVU0472,-0.301,0.072,-0.398,0.077
DVU0473,-0.379,-0.101,-0.533,0.06
DVU0474,-0.322,0.021,-0.276,0.008
DVU0475,-0.309,0.02,-0.389,0.067
DVU0476,-0.434,0.176,-0.408,0.102
DVU0477,-0.285,-0.009,-0.279,-0.009
DVU0478,-0.345,0.051,-0.322,-0.01
DVU0479,-0.345,0.044,-0.265,0.03
DVU0480,-0.347,0.056,-0.328,0.038
DVU0481,-0.349,0.024,-0.373,0.06
DVU0482,-0.231,-0.01,-0.271,-0.018
DVU0483,-0.262,-0.004,-0.275,0.001
DVU0484,-0.319,0.018,-0.26,-0.001
DVU0485,-0.322,0.037,-0.259,-0.013
DVU0486,-0.342,0.119,-0.274,0.083
DVU0487,-0.212,-0.05,-0.278,-0.04
DVU0488,-0.233,-0.023,-0.248,-0.021
DVU0489,-0.28,0.017,-0.29,-0.014
DVU0491,-0.296,0.035,-0.259,-0.006
DVU0492,-0.28,-0.042,-0.319,0.031
DVU0493,-0.284,0.016,-0.208,-0.053
DVU0494,-0.264,0.003,-0.266,0.019
DVU0495,-0.252,-0.033,-0.265,-0.001
DVU0496,-0.252,0.002,-0.271,-0.005
DVU0497,-0.334,0.119,-0.317,0.181
DVU0498,-0.343,0.089,-0.307,0.051
DVU0499,-0.354,0.061,-0.353,0.069
DVU0500,-0.271,0.003,-0.238,-0.037
DVU0501,-0.213,-0.064,-0.284,-0.063
DVU0502,-0.333,0.086,-0.336,0.05
DVU0503,-0.24,-0.037,-0.271,-0.03
DVU0504,-0.181,-0.152,-0.271,0.031
DVU0505,-0.337,0.061,-0.285,0.073
DVU0506,-0.268,-0.033,-0.236,-0.021
DVU0507,-0.269,-0.037,-0.28,-0.049
DVU0508,-0.232,-0.023,-0.267,-0.039
DVU0509,-0.311,0.057,-0.232,-0.028
DVU0510,-0.232,-0.041,-0.258,-0.015
DVU0511,-0.195,-0.005,-0.326,0.065
DVU0512,-0.248,-0.005,-0.252,-0.073
DVU0513,-0.276,-0.012,-0.244,-0.065
DVU0514,-0.314,0.051,-0.271,0.004
DVU0515,-0.295,-0.002,-0.288,-0.027
DVU0516,-0.287,0.01,-0.288,0.028
DVU0517,-0.278,0.016,-0.285,0.008
DVU0518,-0.271,-0.064,-0.293,-0.009
DVU0519,-0.288,-0.039,-0.265,-0.061
DVU0520,-0.299,-0.046,-0.27,-0.054
DVU0521,-0.361,0.028,-0.31,-0.018
DVU0522,-0.247,0.031,-0.261,0.011
DVU0523,-0.238,0.069,-0.263,0.085
DVU0524,-0.281,0.015,-0.246,0.014
DVU0525,-0.246,-0.031,-0.229,-0.04
DVU0526,-0.33,0.017,-0.299,0.013
DVU0527,-0.293,0.041,-0.297,0.041
DVU0528,-0.29,0.012,-0.257,-0.022
DVU0529,-0.335,0.107,-0.365,0.144
DVU0530,-0.359,0.009,-0.284,-0.103
DVU0531,-0.262,0.004,-0.275,0.017
DVU0532,-0.315,-0.005,-0.295,-0.011
DVU0533,-0.439,0.106,-0.363,0.097
DVU0534,-0.283,-0.059,-0.3,-0.08
DVU0535,-0.232,-0.034,-0.272,-0.008
DVU0536,-0.237,-0.052,-0.306,-0.002
DVU0537,-0.278,0.14,-0.429,0.111
DVU0538,-0.29,0.01,-0.209,-0.021
DVU0539,-0.228,-0.028,-0.249,0.019
DVU0540,-0.263,0.001,-0.291,0.011
DVU0541,-0.192,-0.025,-0.295,-0.025
DVU0542,-0.321,-0.024,-0.323,0.036
DVU0543,-0.28,-0.004,-0.294,0.018
DVU0544,-0.263,-0.037,-0.235,-0.062
DVU0545,-0.357,0.127,-0.257,0.075
DVU0546,-0.302,0.029,-0.287,0.013
DVU0547,-0.266,-0.032,-0.296,-0.016
DVU0548,-0.245,-0.03,-0.328,0.051
DVU0549,-0.3,-0.027,-0.222,-0.037
DVU0550,-0.244,0.029,-0.243,0.036
DVU0551,-0.221,-0.061,-0.297,-0.018
DVU0552,-0.283,0.001,-0.275,0.004
DVU0553,-0.238,0.035,-0.406,-0.011
DVU0554,-0.291,-0.005,-0.278,0.017
DVU0555,-0.237,0.039,-0.283,0.019
DVU0556,-0.32,0.055,-0.201,0.01
DVU0558,-0.392,0.123,-0.268,0.059
DVU0560,-0.296,0.065,-0.331,0.078
DVU0561,-0.295,0.047,-0.33,0.036
DVU0562,-0.159,-0.048,-0.183,-0.038
DVU0563,-0.293,0.009,-0.22,-0.025
DVU0564,-0.284,0.038,-0.267,-0.009
DVU0565,-0.25,-0.03,-0.294,0.002
