kmer_3_AAA,kmer_3_AAC,kmer_3_AAG,kmer_3_AAT,kmer_3_ACA,kmer_3_ACC,kmer_3_ACG,kmer_3_ACT,kmer_3_AGA,kmer_3_AGC,kmer_3_AGG,kmer_3_AGT,kmer_3_ATA,kmer_3_ATC,kmer_3_ATG,kmer_3_ATT,kmer_3_CAA,kmer_3_CAC,kmer_3_CAG,kmer_3_CAT,kmer_3_CCA,kmer_3_CCC,kmer_3_CCG,kmer_3_CCT,kmer_3_CGA,kmer_3_CGC,kmer_3_CGG,kmer_3_CGT,kmer_3_CTA,kmer_3_CTC,kmer_3_CTG,kmer_3_CTT,kmer_3_GAA,kmer_3_GAC,kmer_3_GAG,kmer_3_GAT,kmer_3_GCA,kmer_3_GCC,kmer_3_GCG,kmer_3_GCT,kmer_3_GGA,kmer_3_GGC,kmer_3_GGG,kmer_3_GGT,kmer_3_GTA,kmer_3_GTC,kmer_3_GTG,kmer_3_GTT,kmer_3_TAA,kmer_3_TAC,kmer_3_TAG,kmer_3_TAT,kmer_3_TCA,kmer_3_TCC,kmer_3_TCG,kmer_3_TCT,kmer_3_TGA,kmer_3_TGC,kmer_3_TGG,kmer_3_TGT,kmer_3_TTA,kmer_3_TTC,kmer_3_TTG,kmer_3_TTT
DVU0027,3,19,16,3,16,33,17,14,5,15,9,6,0,29,22,3,19,32,12,44,33,39,44,47,21,52,33,32,5,44,44,35,19,20,5,3,25,57,33,39,7,51,19,21,11,25,32,7,0,9,3,4,33,34,44,28,14,36,37,15,0,41,4,1
DVU0028,1,7,3,1,1,3,9,3,3,3,8,2,2,4,6,4,3,3,7,5,4,8,13,4,9,16,11,11,0,6,3,3,8,4,5,7,6,10,14,3,9,10,14,14,3,8,15,5,0,2,1,2,7,8,11,2,4,4,14,4,0,10,2,4
DVU0029,1,20,8,2,12,23,42,5,7,16,24,7,6,22,34,5,15,28,24,35,31,45,59,29,37,69,68,36,5,17,40,21,14,30,18,19,40,86,72,35,22,77,56,43,8,26,67,7,1,4,5,10,19,10,37,14,15,71,50,22,1,15,17,7
DVU4013,1,3,1,1,2,6,7,1,1,2,3,2,1,2,1,0,1,4,4,1,2,4,4,4,4,7,9,5,1,3,4,3,4,5,3,1,3,3,8,3,6,6,8,4,3,4,4,2,0,4,1,1,3,1,6,3,2,2,4,1,1,4,0,2
DVU0030,2,21,16,2,18,39,43,12,12,16,26,4,3,25,21,1,17,40,27,35,34,58,44,29,41,70,45,28,10,25,37,13,22,35,14,7,47,53,59,29,18,60,36,25,8,22,29,5,0,16,1,5,20,15,38,15,8,42,32,7,1,16,2,0
DVU0031,0,4,7,0,3,14,19,3,7,11,14,4,0,5,18,2,5,15,13,15,10,29,32,18,10,41,45,24,3,16,30,9,6,15,16,8,24,37,42,28,15,47,59,22,3,16,35,12,0,5,0,1,11,9,27,9,14,32,25,16,0,19,4,2
DVU0032,1,3,0,1,3,7,4,3,0,1,2,1,0,5,8,1,3,4,3,9,4,11,11,7,4,12,9,9,3,2,20,5,1,8,0,2,9,13,13,12,1,16,5,6,1,4,10,4,0,2,1,1,3,2,6,8,7,18,12,3,0,8,2,0
DVU0033,2,5,3,2,5,9,11,3,7,4,5,4,1,9,16,2,4,5,6,15,9,20,22,13,12,23,18,16,2,3,21,9,6,15,9,7,8,27,21,14,11,15,21,13,5,16,20,1,0,3,2,3,8,8,15,5,8,28,16,9,0,8,4,1
DVU0034,2,9,21,4,11,19,11,12,17,9,25,3,1,6,8,2,21,11,16,6,13,20,25,17,19,28,6,19,7,13,18,12,13,25,15,5,20,30,21,14,13,24,13,12,3,10,23,5,0,8,3,1,10,6,15,7,9,24,18,7,1,9,9,0
DVU0035,2,1,2,0,4,0,1,1,0,3,3,2,0,6,2,0,1,2,5,6,0,4,5,3,2,10,8,3,1,3,0,6,2,2,0,0,6,4,8,4,2,9,4,3,3,2,1,2,0,1,2,1,4,4,9,2,0,0,3,0,0,8,0,0
DVU0036,2,9,6,1,10,9,8,6,12,11,8,2,2,7,8,1,4,11,19,8,8,8,14,6,11,15,15,6,0,5,10,4,12,12,7,7,16,10,19,6,13,11,5,6,1,6,8,4,0,1,1,1,8,9,6,1,3,14,7,5,0,6,3,0
DVU0037,1,5,4,0,5,3,9,4,3,2,10,1,1,4,6,3,4,8,5,8,4,11,15,6,11,11,16,14,1,8,7,8,5,6,6,4,6,15,15,8,5,18,14,8,1,18,9,0,0,2,1,1,10,7,13,6,3,13,5,5,1,6,4,2
DVU0038,5,14,16,3,17,42,34,21,13,14,30,5,2,15,21,5,18,41,26,29,35,80,75,56,41,95,52,30,13,39,62,29,15,40,19,7,42,91,66,44,19,70,45,22,7,25,30,13,0,19,1,3,20,33,43,22,9,64,29,18,1,39,7,8
DVU0039,0,4,5,1,5,9,11,4,9,12,10,3,1,6,8,0,1,6,14,8,9,8,20,17,17,22,12,10,5,11,12,7,9,14,13,4,9,26,22,6,5,16,15,9,3,10,7,5,0,5,3,1,6,11,8,8,9,13,8,3,0,6,6,2
DVU0040,0,3,4,3,6,6,13,7,2,4,9,4,1,7,17,3,2,10,4,13,6,17,14,16,11,19,23,12,2,11,19,7,8,13,10,10,10,21,25,11,19,24,27,10,6,10,17,2,0,6,2,1,7,9,13,5,9,20,21,9,0,6,6,1
DVU0041,8,28,31,9,30,38,28,17,22,31,31,6,6,27,22,2,37,31,39,27,31,73,76,44,36,92,42,31,22,35,31,18,31,31,18,10,53,83,55,25,15,59,23,24,8,29,26,7,0,23,3,10,20,30,42,20,17,34,25,9,0,21,6,4
DVU0042,1,13,12,2,14,25,33,3,5,11,20,2,4,9,18,2,14,15,15,16,12,32,47,21,34,54,46,27,6,16,30,7,13,37,11,9,23,50,57,28,21,47,35,22,4,12,37,7,0,10,1,5,11,5,24,7,10,46,24,9,2,10,4,3
DVU0043,0,2,2,3,5,3,2,1,4,2,5,1,2,7,5,7,4,4,7,10,7,6,2,3,3,4,4,7,0,6,4,6,2,5,3,4,0,2,8,7,4,7,3,8,1,8,6,2,1,0,0,3,13,7,6,5,4,4,10,1,1,10,4,1
DVU0044,2,8,12,1,6,13,15,2,8,11,12,1,2,15,23,2,11,9,13,33,18,24,12,12,12,18,12,13,5,14,16,12,10,12,6,8,12,21,15,23,7,21,11,14,1,15,10,6,0,7,1,0,30,8,13,10,10,21,18,3,0,17,3,6
DVU0045,1,6,4,0,5,12,14,5,6,7,9,1,1,3,8,2,5,13,8,7,10,15,15,13,14,22,12,10,5,9,13,11,4,12,9,6,15,18,16,13,8,19,10,8,3,7,8,4,1,5,3,1,3,8,13,7,3,14,14,3,1,12,5,1
DVU0046,1,12,16,1,7,6,10,6,9,13,15,5,2,9,2,0,16,5,10,8,3,12,13,5,20,16,11,7,1,13,10,5,13,12,13,3,17,10,19,11,8,23,12,8,1,8,8,4,1,0,3,0,12,5,12,7,4,5,13,1,0,6,3,0
DVU0047,2,8,17,3,5,10,11,3,12,6,14,2,1,7,3,2,14,7,9,5,9,7,17,12,12,22,15,8,2,12,13,6,14,11,7,3,10,18,22,12,7,22,12,8,3,7,7,1,0,3,2,1,11,10,7,6,4,12,8,0,0,8,1,1
DVU0048,3,9,7,3,12,19,20,1,7,13,15,2,0,3,10,5,8,11,17,8,4,34,31,17,22,27,20,17,5,12,16,11,11,27,12,5,20,20,22,19,19,21,10,8,2,14,16,3,0,5,2,1,8,13,13,7,7,20,13,8,1,12,6,5
DVU0049,2,16,9,2,13,28,39,6,7,9,14,3,2,9,13,3,15,28,14,16,20,52,40,25,33,47,47,21,2,23,21,21,11,34,9,6,31,39,36,23,9,54,21,12,7,19,11,4,1,8,1,2,9,18,33,13,12,19,14,5,1,22,5,4
DVU0050,1,12,7,2,4,19,12,7,12,7,11,3,2,19,12,0,10,11,10,25,22,25,21,24,18,34,18,8,3,23,18,14,11,16,14,3,11,34,23,20,11,27,14,8,3,8,7,3,0,3,3,2,19,14,22,7,3,20,17,2,0,12,5,1
DVU0051,5,11,13,1,12,7,22,8,11,5,17,4,1,9,9,1,6,15,13,13,8,19,24,15,17,28,23,18,1,12,18,12,18,19,11,4,24,30,21,11,18,30,7,5,2,11,21,2,1,4,0,1,3,10,19,9,7,23,13,9,2,9,4,1
DVU0052,2,14,26,3,13,25,14,5,18,9,21,5,2,19,13,2,20,13,17,25,21,27,24,21,23,43,20,12,5,20,19,10,22,25,9,7,23,31,28,17,17,27,11,15,0,21,14,2,1,5,2,0,18,10,32,11,5,20,18,5,1,11,2,4
DVU0053,9,18,16,5,18,35,45,12,13,12,39,7,5,37,21,3,18,45,30,45,40,31,59,37,33,92,65,50,7,29,60,25,21,34,23,7,54,82,80,53,22,91,82,45,11,24,66,18,0,13,3,8,26,19,56,19,17,74,54,17,1,30,15,9
DVU0054,2,11,8,4,6,23,31,7,7,13,20,5,3,11,26,1,8,20,17,23,20,35,51,19,22,52,47,27,4,20,34,16,14,27,18,6,26,46,50,37,23,46,34,29,10,17,37,14,1,9,2,7,16,21,16,11,14,48,31,17,2,16,13,7
DVU0055,3,9,10,5,9,10,20,5,9,12,25,4,2,12,12,4,8,11,18,18,12,14,24,14,26,34,27,12,4,8,15,13,15,21,21,1,28,32,35,13,15,35,25,25,4,9,28,8,1,3,2,5,6,8,20,8,8,27,23,8,1,13,11,3
DVU0056,9,19,19,11,19,21,14,8,7,10,23,2,4,23,11,8,26,15,13,22,19,18,27,18,28,21,23,23,3,24,15,6,23,23,10,5,17,29,21,11,13,31,23,18,4,18,24,6,0,5,1,7,21,14,33,11,13,16,16,9,2,14,4,1
DVU0057,0,10,7,3,5,12,17,2,7,6,17,2,3,7,18,3,7,7,10,15,8,6,20,11,12,27,20,18,5,9,9,3,11,13,14,5,19,22,23,8,16,26,16,8,8,7,15,8,2,6,1,7,7,5,17,5,9,13,13,10,0,11,3,6
DVU0058,0,11,11,1,12,12,27,8,6,12,28,4,1,6,21,0,5,17,18,11,5,20,48,11,32,58,40,33,6,13,28,6,18,29,21,10,23,46,68,25,25,55,35,28,0,19,50,10,0,2,0,5,11,6,20,9,16,37,40,14,0,8,8,1
DVU0059,6,32,40,7,34,63,74,16,32,44,58,9,9,52,56,11,34,53,45,73,49,71,113,70,81,155,131,92,14,64,92,43,45,85,53,33,77,131,165,86,59,151,119,91,12,56,128,31,0,17,6,14,45,38,107,41,44,109,112,35,2,59,24,11
DVU0060,1,9,23,2,10,27,18,5,16,23,34,4,3,19,15,0,18,17,32,18,24,41,51,20,39,43,31,27,7,21,14,11,16,24,21,12,24,58,37,16,8,44,24,28,5,25,25,11,0,10,2,4,27,10,34,12,10,25,15,7,1,18,3,4
DVU0061,1,47,42,5,35,61,60,24,27,39,54,22,6,70,55,5,52,47,55,103,80,65,77,57,67,100,94,73,14,60,58,40,41,55,44,17,56,113,93,63,33,114,46,68,21,57,78,43,1,31,1,10,86,40,104,28,31,72,67,36,2,71,15,7
DVU0062,2,12,15,3,15,28,28,14,21,21,33,6,3,13,25,3,16,22,33,20,25,37,59,34,38,71,48,33,9,41,23,21,14,40,31,12,38,73,53,36,22,69,29,22,8,16,33,8,1,11,2,8,13,17,50,10,16,39,32,4,2,20,10,2
DVU0063,4,2,9,0,3,8,6,0,5,6,15,3,4,7,8,1,2,5,11,14,11,12,9,6,11,15,4,8,1,6,12,4,9,8,7,3,14,11,10,12,6,13,11,14,2,10,12,4,0,2,3,2,4,7,13,5,5,13,14,3,0,6,3,1
DVU0064,3,10,9,4,9,21,18,11,7,17,5,8,2,12,12,2,8,12,18,12,7,20,33,19,27,28,30,22,10,20,16,14,14,27,9,4,17,30,25,19,8,30,22,22,6,15,28,9,1,10,1,7,17,8,31,11,13,16,25,6,1,20,4,5
DVU0065,0,3,3,0,6,12,20,8,1,10,7,6,2,5,12,2,3,15,11,12,10,21,31,16,13,25,34,23,5,5,24,14,3,20,8,4,21,33,23,19,13,32,40,14,6,15,23,11,0,8,2,4,4,12,21,5,9,29,18,12,1,17,9,1
DVU0066,2,4,4,1,5,14,16,3,6,10,8,1,5,6,14,1,3,14,9,11,10,15,13,12,19,18,19,9,6,8,12,6,6,12,12,10,17,13,23,10,11,16,8,12,1,7,13,8,0,8,1,3,5,8,13,7,4,19,12,7,0,12,3,3
DVU0067,3,2,6,1,7,7,7,2,2,2,10,0,3,2,6,1,4,10,5,8,10,12,13,2,6,8,8,6,1,8,5,5,4,8,2,1,6,15,3,7,7,11,9,4,2,5,2,1,1,3,1,1,4,3,5,8,1,10,4,0,0,5,2,0
DVU0068,2,16,17,3,29,40,46,8,12,10,30,4,1,23,18,6,16,43,20,34,26,54,59,32,49,73,42,33,14,21,28,14,19,47,18,5,40,60,55,23,18,55,33,31,9,27,37,4,1,17,1,5,18,17,37,14,11,40,32,9,0,15,9,4
DVU0069,10,79,39,5,60,101,161,37,52,54,59,10,10,37,42,4,49,134,76,62,74,141,189,117,133,297,131,61,12,106,100,47,72,121,59,20,142,239,175,68,60,174,95,25,10,48,43,14,2,25,1,5,45,40,97,43,28,99,69,19,1,34,30,10
DVU0070,3,11,7,1,14,29,46,8,9,14,25,1,3,16,21,1,10,37,22,26,25,58,48,38,46,78,36,30,6,32,27,12,8,40,19,11,49,65,44,19,18,43,27,18,4,26,25,4,1,9,1,2,7,17,52,12,6,42,18,10,0,14,3,0
DVU0071,2,8,12,1,9,19,24,7,9,10,19,6,2,8,21,5,9,20,13,16,13,32,33,21,26,51,50,19,5,19,27,15,12,26,19,14,24,41,54,25,23,49,39,31,1,18,39,10,0,5,0,4,12,7,35,13,14,34,34,12,1,22,7,3
DVU0072,3,9,21,3,14,20,18,8,13,12,11,8,3,12,11,3,16,16,8,18,8,14,23,13,28,29,20,13,7,9,15,8,16,24,15,5,21,17,28,12,12,24,13,10,5,14,16,5,1,11,1,2,15,7,21,6,7,13,15,9,0,14,2,3
DVU0073,1,9,16,5,12,27,26,10,6,6,24,7,3,13,14,0,20,20,14,21,23,27,38,19,31,51,27,22,8,20,26,15,10,28,13,2,26,41,39,31,11,54,31,19,9,12,32,5,0,18,1,1,14,12,28,9,5,26,33,10,0,18,2,4
DVU0074,0,1,6,1,7,11,10,2,3,4,9,1,2,5,6,4,4,9,4,11,6,15,24,6,14,25,13,7,2,4,9,3,4,15,6,3,10,18,18,8,9,11,10,11,4,5,12,2,0,5,2,1,5,7,7,2,2,14,9,4,0,7,2,1
DVU0075,1,12,17,0,11,31,19,7,13,17,16,5,2,23,12,0,10,23,17,29,19,29,53,28,29,52,32,32,8,14,27,14,17,25,16,4,30,58,43,17,8,44,17,12,4,16,29,8,2,8,1,3,19,11,30,11,13,35,16,8,0,18,4,3
DVU0076,1,12,8,1,7,25,26,11,8,12,11,8,2,11,13,1,10,18,12,18,23,18,38,22,37,59,24,27,3,16,26,16,10,32,18,6,18,42,53,15,14,33,27,7,5,16,20,15,1,7,2,1,10,16,30,13,7,24,19,14,1,26,5,5
DVU0077,0,4,9,3,9,21,17,5,8,15,16,4,1,21,22,2,7,24,16,29,19,15,33,22,21,45,37,28,6,20,30,13,9,17,17,8,26,44,56,24,15,54,25,14,6,17,24,8,0,7,1,5,22,9,25,18,8,36,30,9,0,16,7,2
DVU0078,0,1,3,0,2,7,7,0,0,2,7,1,4,6,7,0,1,6,4,10,4,7,7,8,5,10,16,6,2,7,10,3,3,6,1,4,8,11,11,12,7,16,11,9,2,5,10,4,0,3,3,2,7,1,12,2,2,14,9,5,0,4,3,0
DVU0079,0,5,4,1,5,8,14,7,5,4,14,3,2,4,17,2,2,16,10,12,9,11,23,20,10,24,32,25,2,12,21,18,8,9,10,8,19,32,26,18,10,38,32,21,4,19,21,12,0,4,2,3,7,12,28,8,11,29,23,7,1,20,11,7
DVU0080,2,24,8,7,14,23,24,16,9,13,24,6,1,15,32,4,21,23,22,33,24,35,43,25,27,47,46,27,5,22,42,13,18,25,19,6,42,53,53,27,20,62,43,30,7,20,41,12,0,5,3,5,19,16,27,14,13,53,42,17,0,19,10,7
DVU0081,7,28,23,4,26,37,45,18,28,19,30,6,9,29,29,4,23,34,28,41,24,50,62,35,43,67,54,34,7,36,38,17,32,48,28,18,45,64,45,30,39,58,35,18,10,27,26,5,0,16,4,7,31,20,46,15,17,40,31,10,1,20,5,3
DVU0082,4,14,16,7,21,44,26,12,16,13,22,4,9,22,27,4,13,30,25,31,30,65,55,40,47,64,51,24,11,37,45,11,22,43,13,14,28,55,64,33,24,58,43,25,7,25,23,12,2,16,1,9,20,26,41,19,6,45,34,14,1,22,4,2
DVU0083,0,2,5,0,3,4,10,2,3,2,9,3,0,3,13,1,3,6,2,8,5,12,9,9,5,11,16,13,3,4,7,6,4,8,9,7,9,14,17,2,14,14,15,8,3,10,14,6,0,3,2,1,2,5,9,7,6,15,11,9,0,6,7,2
DVU0084,6,20,9,3,9,26,37,10,12,5,11,3,3,22,18,4,15,24,8,32,18,27,40,17,32,57,23,29,9,13,20,5,17,27,14,8,35,41,38,12,12,40,18,13,2,13,30,5,1,11,0,3,17,8,26,8,10,24,31,5,1,11,2,1
DVU0085,1,13,19,4,14,35,24,3,13,11,22,6,5,22,24,6,18,22,16,35,33,26,32,29,22,38,37,27,10,25,20,16,18,29,16,11,21,44,36,19,22,37,39,24,5,21,32,10,1,12,1,6,23,15,32,20,17,34,24,11,0,22,10,3
DVU0086,5,4,2,0,3,1,5,4,2,4,5,0,0,2,4,1,5,3,4,5,3,9,7,5,3,8,4,4,1,3,2,8,0,5,4,1,7,11,2,2,4,5,10,2,0,3,1,2,1,1,1,0,4,3,5,3,2,5,2,0,2,7,2,7
DVU0087,4,3,7,1,8,5,13,3,5,5,13,2,1,6,9,2,2,9,12,9,3,12,9,12,11,13,13,8,7,12,10,9,9,12,4,3,13,13,9,11,8,18,9,11,4,10,8,7,0,5,2,5,8,6,14,12,5,10,11,8,0,12,7,1
DVU0088,1,2,11,3,14,24,20,11,6,17,15,7,4,27,29,8,9,20,25,42,33,20,31,29,19,41,48,41,11,24,39,29,7,32,6,14,20,53,49,37,18,61,47,34,11,31,43,21,0,15,3,8,29,16,49,26,17,40,50,24,0,38,20,7
DVU0089,9,13,10,7,11,18,21,8,7,11,11,6,4,20,16,6,12,10,14,26,17,20,25,14,21,21,21,15,10,13,13,8,16,23,11,6,16,21,15,10,17,19,20,8,7,17,9,3,2,12,1,6,18,17,17,12,11,11,12,7,0,14,3,3
DVU0090,4,15,12,2,13,17,24,10,13,9,16,8,4,15,16,4,17,15,14,22,19,7,21,13,20,34,36,17,6,10,17,17,12,26,18,7,22,24,36,18,21,34,35,16,7,20,21,8,0,8,3,7,14,12,26,9,9,23,19,15,1,16,12,4
DVU0091,4,11,22,2,10,16,17,10,11,11,9,10,7,10,9,4,18,13,10,13,12,7,16,14,25,21,19,7,5,13,19,11,16,20,9,8,21,20,17,15,13,21,7,7,4,7,8,9,1,9,1,6,11,6,22,9,4,20,13,4,1,18,5,3
DVU0092,15,52,31,7,57,68,100,27,43,41,52,13,9,54,56,8,43,82,71,80,66,87,99,71,89,147,88,58,14,53,80,45,47,92,46,26,104,122,97,55,51,97,68,37,17,53,35,25,0,26,2,13,49,46,86,39,28,93,45,22,1,60,17,11
DVU0093,8,31,25,9,41,70,64,27,27,28,35,5,8,34,42,9,23,86,40,61,55,66,84,56,62,108,59,45,21,41,55,31,41,57,28,11,75,93,60,48,29,79,47,25,13,36,33,15,1,28,2,11,39,32,66,17,20,61,39,22,0,43,12,10
