,DACC_Twist.lag1,DACC_Twist.lag2,DACC_Tilt.lag1,DACC_Tilt.lag2,DACC_Twist.Tilt.lag.1,DACC_Twist.Tilt.lag.2,DACC_Tilt.Twist.lag.1,DACC_Tilt.Twist.lag.2
DVU0207,-0.297,-0.034,-0.198,-0.002,-0.26,0.019,-0.218,-0.005
DVU0208,-0.353,-0.032,-0.174,0.012,-0.239,-0.03,-0.276,0.043
DVU0209,-0.292,0.041,-0.151,0.033,-0.202,0.007,-0.221,0.06
DVU0210,-0.376,-0.001,-0.224,-0.034,-0.3,-0.014,-0.314,0.005
DVU0211,-0.361,-0.074,-0.215,0.015,-0.255,-0.014,-0.283,-0.018
DVU0212,-0.319,-0.122,-0.183,-0.051,-0.2,-0.115,-0.284,-0.027
DVU0213,-0.315,-0.048,-0.219,-0.023,-0.312,0.013,-0.227,-0.048
DVU0214,-0.369,0.035,-0.214,0.004,-0.309,0.026,-0.3,0.016
DVU0215,-0.343,-0.031,-0.208,0.002,-0.287,0.019,-0.268,-0.014
DVU0216,-0.339,-0.04,-0.199,-0.01,-0.231,-0.012,-0.287,-0.009
DVU0217,-0.264,-0.102,-0.195,-0.062,-0.256,-0.061,-0.182,-0.099
DVU0218,-0.344,0.004,-0.206,-0.032,-0.297,0.01,-0.263,-0.011
DVU0219,-0.345,0.059,-0.192,0.02,-0.297,0.044,-0.278,0.047
DVU0220,-0.384,-0.079,-0.23,-0.033,-0.295,-0.046,-0.324,-0.021
DVU0221,-0.361,-0.021,-0.26,-0.027,-0.326,-0.038,-0.34,0.01
DVU0222,-0.463,0.179,-0.239,0.1,-0.384,0.136,-0.389,0.138
DVU0223,-0.346,-0.03,-0.138,-0.025,-0.341,-0.02,-0.133,-0.003
DVU0224,-0.319,-0.029,-0.207,-0.046,-0.314,0.005,-0.245,-0.045
DVU0225,-0.416,0.046,-0.179,0.07,-0.358,0.046,-0.295,0.071
DVU0226,-0.356,-0.007,-0.213,0.005,-0.316,0.005,-0.293,-0.006
DVU0227,-0.357,-0.046,-0.226,0.05,-0.324,0.018,-0.249,0.012
DVU0228,-0.34,-0.116,-0.245,-0.025,-0.288,-0.009,-0.256,-0.082
DVU0229,-0.277,-0.003,-0.207,0.01,-0.231,-0.019,-0.254,0.023
DVU0230,-0.329,-0.006,-0.204,0.042,-0.251,-0.003,-0.297,0.089
DVU0231,-0.284,0.088,-0.164,0.05,-0.264,0.087,-0.213,0.077
DVU0232,-0.283,-0.029,-0.195,-0.002,-0.291,-0.013,-0.179,-0.013
DVU0233,-0.233,-0.011,-0.111,-0.066,-0.151,-0.047,-0.234,-0.006
DVU0234,-0.429,0.078,-0.183,0.012,-0.32,0.05,-0.304,0.066
DVU0235,-0.371,0,-0.174,0.022,-0.316,0.038,-0.249,0.003
DVU0236,-0.329,-0.041,-0.18,0.021,-0.273,-0.002,-0.255,-0.013
DVU0237,-0.283,-0.093,-0.176,-0.037,-0.242,-0.063,-0.231,-0.054
DVU0238,-0.315,0.057,-0.17,0.044,-0.21,0.051,-0.278,0.068
DVU0239,-0.358,0.045,-0.193,0.104,-0.288,0.032,-0.326,0.074
DVU0240,-0.373,0.031,-0.188,-0.02,-0.298,0.015,-0.257,0.006
DVU0241,-0.35,-0.003,-0.221,-0.009,-0.315,0.009,-0.271,0.001
DVU0242,-0.356,0.059,-0.167,0.071,-0.318,0.076,-0.253,0.04
DVU0243,-0.338,-0.03,-0.187,-0.019,-0.326,0.017,-0.236,-0.062
DVU0244,-0.395,0.045,-0.225,-0.005,-0.333,0.007,-0.323,0.046
DVU0245,-0.34,0.032,-0.168,0.022,-0.262,0.031,-0.243,0.035
DVU0246,-0.367,-0.013,-0.194,-0.013,-0.265,-0.011,-0.314,0.008
DVU0247,-0.385,-0.025,-0.182,-0.009,-0.297,0.025,-0.283,-0.026
DVU0249,-0.3,0.014,-0.151,0.012,-0.214,0.015,-0.255,0.021
DVU0250,-0.373,0.02,-0.192,-0.034,-0.278,-0.002,-0.303,0.008
DVU0251,-0.314,-0.063,-0.191,-0.042,-0.207,-0.068,-0.304,-0.008
DVU0252,-0.378,-0.001,-0.179,-0.033,-0.266,-0.054,-0.296,0.07
DVU0253,-0.355,0.009,-0.194,0.002,-0.269,0.018,-0.282,0.027
DVU0254,-0.339,0.034,-0.132,-0.04,-0.32,0.048,-0.183,-0.031
DVU0255,-0.472,0.118,-0.206,0.041,-0.35,0.054,-0.342,0.131
DVU0256,-0.361,0.018,-0.197,-0.012,-0.288,0.026,-0.29,-0.001
DVU0257,-0.381,0.017,-0.194,0.045,-0.309,0.054,-0.298,0.033
DVU0258,-0.352,-0.075,-0.206,-0.059,-0.265,-0.044,-0.274,-0.052
DVU0259,-0.358,-0.096,-0.186,-0.006,-0.268,-0.025,-0.288,-0.087
DVU0260,-0.368,-0.008,-0.183,0.003,-0.319,0.019,-0.258,-0.005
DVU0261,-0.337,0.008,-0.165,-0.034,-0.203,-0.036,-0.284,0.006
DVU0262,-0.337,-0.034,-0.168,-0.038,-0.314,0.018,-0.213,-0.028
DVU0263,-0.374,-0.025,-0.219,-0.038,-0.28,-0.035,-0.318,-0.014
DVU0264,-0.368,0.028,-0.209,0.01,-0.276,-0.002,-0.314,0.068
DVU0265,-0.35,0.023,-0.209,0.023,-0.314,0.047,-0.275,0.034
DVU0266,-0.404,0.024,-0.205,-0.01,-0.309,0.054,-0.297,-0.004
DVU0267,-0.413,0.049,-0.27,0.137,-0.349,0.041,-0.401,0.152
DVU0268,-0.366,0.038,-0.204,-0.002,-0.282,0.038,-0.235,-0.008
DVU0269,-0.375,-0.008,-0.19,0.009,-0.334,-0.007,-0.251,0.041
DVU0270,-0.354,-0.02,-0.194,-0.007,-0.279,0.002,-0.267,0.003
DVU0271,-0.363,-0.041,-0.192,-0.003,-0.315,0.006,-0.245,-0.019
DVU0272,-0.451,0.042,-0.157,-0.019,-0.403,0.02,-0.203,-0.018
DVU0273,-0.375,-0.015,-0.199,-0.001,-0.328,0.038,-0.247,-0.029
DVU0274,-0.234,-0.039,-0.107,-0.068,-0.144,-0.074,-0.161,-0.034
DVU0275,-0.384,0.033,-0.19,0.012,-0.285,0.032,-0.317,0.023
DVU0276,-0.336,0.006,-0.147,-0.005,-0.218,0.007,-0.241,0.038
DVU0277,-0.429,0.048,-0.199,0.015,-0.332,0.031,-0.329,0.048
DVU0278,-0.341,0.004,-0.147,-0.014,-0.256,-0.005,-0.258,0.038
DVU0279,-0.38,-0.004,-0.203,-0.015,-0.295,0.01,-0.296,-0.005
DVU0280,-0.369,0.048,-0.186,-0.006,-0.285,0.018,-0.296,0.03
DVU0281,-0.383,0.03,-0.212,0.013,-0.285,0.026,-0.325,0.025
DVU0282,-0.396,0.056,-0.209,0.003,-0.323,0.032,-0.323,0.04
DVU0283,-0.358,0.03,-0.193,-0.006,-0.264,0.007,-0.29,0.019
DVU0284,-0.365,-0.015,-0.201,0.034,-0.268,0.054,-0.283,0.024
DVU0285,-0.331,-0.034,-0.2,-0.049,-0.243,-0.077,-0.324,-0.004
DVU0286,-0.378,0.012,-0.205,0.007,-0.328,0.023,-0.274,0.024
DVU4017,-0.333,-0.008,-0.191,0.034,-0.307,0.012,-0.254,0.013
DVU0289,-0.342,0.039,-0.182,0.021,-0.233,-0.001,-0.296,0.05
DVU0290,-0.398,-0.033,-0.188,-0.031,-0.285,-0.006,-0.297,-0.048
DVU0291,-0.398,0.042,-0.212,0.018,-0.335,0.049,-0.303,0.012
DVU0292,-0.429,0.021,-0.239,0.008,-0.32,0.026,-0.356,0.027
DVU0293,-0.326,0.008,-0.18,-0.041,-0.336,0.004,-0.204,0.019
DVU0294,-0.4,0.059,-0.217,0.015,-0.331,0.051,-0.31,0.03
DVU0295,-0.381,0.076,-0.204,0.024,-0.341,0.063,-0.275,0.053
DVU0296,-0.352,-0.032,-0.217,-0.021,-0.307,0.019,-0.269,-0.032
DVU0297,-0.467,0.047,-0.232,0.073,-0.351,0.062,-0.412,0.042
DVU0298,-0.358,0.014,-0.187,0.017,-0.301,0.031,-0.261,0.034
DVU4004,-0.401,0.047,-0.23,-0.04,-0.372,0.058,-0.304,0.028
DVU0299,-0.342,-0.006,-0.185,-0.033,-0.237,-0.023,-0.277,-0.01
DVU0300,-0.335,0.063,-0.172,0.016,-0.256,0.056,-0.261,0.018
DVU0301,-0.352,0.071,-0.161,0.056,-0.232,0.037,-0.337,0.051
DVU0302,-0.378,-0.057,-0.204,-0.055,-0.237,-0.048,-0.327,-0.018
DVU0303,-0.34,0.085,-0.147,0.001,-0.239,0.051,-0.253,0.041
DVU0304,-0.452,0.079,-0.235,0.051,-0.325,0.084,-0.312,0.071
DVU0305,-0.397,0.104,-0.164,0.008,-0.285,0.013,-0.34,0.094
DVU0306,-0.301,0.041,-0.153,0.02,-0.254,0.017,-0.208,0.055
DVU0307,-0.352,-0.045,-0.207,-0.059,-0.278,-0.039,-0.278,-0.025
DVU0308,-0.439,0.027,-0.208,-0.022,-0.266,-0.04,-0.401,0.064
DVU0309,-0.308,-0.012,-0.19,-0.053,-0.3,-0.026,-0.23,-0.029
DVU0310,-0.329,-0.057,-0.197,-0.016,-0.274,-0.022,-0.256,-0.02
DVU0311,-0.364,0.04,-0.198,0,-0.303,0.028,-0.262,0.02
DVU0312,-0.288,0,-0.18,-0.006,-0.227,-0.017,-0.217,0.016
DVU0313,-0.32,-0.031,-0.18,-0.016,-0.211,-0.024,-0.256,-0.012
DVU0314,-0.31,-0.031,-0.18,-0.036,-0.191,-0.03,-0.254,-0.01
DVU0315,-0.412,0.021,-0.242,0.069,-0.311,0.025,-0.335,0.08
DVU0316,-0.318,-0.037,-0.181,0.04,-0.229,-0.011,-0.246,0.034
DVU0317,-0.37,0.05,-0.199,-0.006,-0.281,-0.013,-0.311,0.046
