kmer_2_AA,kmer_2_AC,kmer_2_AG,kmer_2_AT,kmer_2_CA,kmer_2_CC,kmer_2_CG,kmer_2_CT,kmer_2_GA,kmer_2_GC,kmer_2_GG,kmer_2_GT,kmer_2_TA,kmer_2_TC,kmer_2_TG,kmer_2_TT
DVU0071,23,59,44,36,58,99,146,66,72,144,142,68,9,67,94,33
DVU0072,36,60,45,29,58,58,90,39,60,78,59,40,15,49,44,19
DVU0073,31,75,44,30,75,107,131,69,53,137,115,58,20,63,74,24
DVU0074,8,30,18,17,28,51,59,18,28,54,41,23,8,21,29,10
DVU0075,30,68,51,37,79,129,145,63,63,148,81,57,14,71,72,25
DVU0076,22,69,40,27,58,101,147,61,66,128,81,56,11,69,64,37
DVU0077,16,52,43,46,76,89,131,69,52,150,108,55,13,74,83,25
DVU0078,4,16,11,17,21,26,37,22,14,42,43,21,8,22,30,7
DVU0079,10,34,26,25,40,63,91,53,36,95,101,56,9,55,70,39
DVU0080,41,77,52,52,99,127,147,82,69,175,155,80,13,76,125,36
DVU0081,62,126,83,71,126,171,198,98,127,184,150,68,27,112,98,29
DVU0082,41,103,55,62,99,190,186,104,93,180,150,67,28,106,99,29
DVU0083,7,19,18,17,19,35,45,20,28,42,51,33,6,23,41,15
DVU0084,39,82,31,47,79,102,141,47,66,126,83,50,15,59,70,15
DVU0085,38,76,52,57,91,120,124,71,74,120,122,68,20,90,86,35
DVU0086,11,13,11,7,17,24,19,14,11,22,21,6,3,15,9,18
DVU0087,15,29,25,18,32,36,45,38,29,46,46,29,12,40,34,20
DVU0088,17,69,45,68,96,113,149,103,60,159,160,106,26,120,131,65
DVU0089,39,58,36,46,62,76,78,44,56,62,64,36,21,64,41,20
DVU0090,33,64,47,39,68,60,107,50,63,100,106,56,18,61,66,33
DVU0091,39,53,42,30,54,49,72,48,53,73,48,28,17,48,41,27
DVU0092,105,252,150,127,276,323,382,192,211,378,253,130,41,220,188,89
DVU0093,73,202,95,93,210,261,274,148,138,276,180,97,42,154,142,65
DVU0094,61,123,106,63,124,156,290,102,146,287,249,126,21,106,164,38
DVU0095,56,81,58,34,76,100,107,69,77,100,66,45,19,71,58,20
DVU0096,13,43,21,29,52,76,81,73,27,85,52,47,13,78,58,25
DVU0097,23,46,27,31,64,77,94,82,28,118,69,44,11,76,70,27
DVU0098,50,78,54,44,82,96,138,56,81,121,79,53,13,77,63,21
DVU0099,52,95,65,27,105,150,132,42,71,140,106,45,11,44,59,16
DVU0100,65,172,90,61,138,164,224,104,135,171,186,108,49,123,101,58
DVU0101,23,91,53,48,88,136,200,74,92,200,180,87,12,71,126,45
DVU0102,21,48,41,37,57,85,122,50,59,129,116,60,10,52,85,20
DVU0103,20,44,28,32,53,93,121,48,42,117,110,64,8,61,75,25
DVU0104,5,26,27,20,36,80,89,64,29,105,100,70,9,58,87,31
DVU0105,33,46,42,29,54,71,74,35,53,72,67,36,9,45,46,22
DVU0106,16,30,25,34,53,61,76,53,25,82,54,26,10,70,33,23
DVU0107,45,44,43,27,55,68,79,45,47,70,53,40,11,65,36,21
DVU0108,8,7,2,9,10,10,10,5,6,13,5,1,3,5,8,5
DVU0109,38,66,60,42,87,101,131,85,74,142,113,65,8,95,89,36
DVU0110,38,91,74,57,96,143,176,73,105,171,132,59,20,83,86,26
DVU0111,26,54,42,37,64,59,85,40,62,75,70,46,7,60,56,23
DVU0112,29,93,66,45,91,148,180,70,90,190,129,72,23,58,106,34
DVU0113,16,18,26,20,24,33,30,22,32,37,35,16,8,21,29,13
DVU0114,35,59,42,31,61,88,96,51,59,88,76,50,11,61,60,13
DVU0115,21,44,28,31,50,79,107,46,46,111,108,64,7,48,86,29
DVU0116,15,58,30,36,55,101,136,61,54,138,120,66,15,56,92,43
DVU0117,23,65,34,31,58,109,117,48,57,102,82,47,14,56,56,18
DVU0118,50,91,71,39,96,128,165,87,90,171,106,55,14,86,81,34
DVU0119,44,126,63,67,137,169,219,81,98,206,130,68,22,105,89,40
DVU0120,27,69,32,29,62,115,121,57,55,112,78,37,13,59,51,21
DVU0121,13,28,28,17,30,40,54,22,33,58,34,17,9,20,27,13
DVU0122,3,2,5,3,6,12,12,8,2,6,2,10,1,18,2,6
DVU0123,35,37,45,44,85,101,106,80,33,123,88,69,8,111,74,43
DVU0124,8,8,8,10,11,12,9,11,11,8,15,19,4,15,21,18
DVU0125,26,47,49,32,53,99,154,47,71,152,140,78,4,55,98,28
DVU0126,62,185,135,96,181,268,423,216,197,422,457,230,38,213,291,101
DVU0127,18,56,35,39,69,89,122,71,48,124,141,79,12,82,95,32
DVU0128,16,41,29,36,65,94,120,76,32,149,123,63,8,71,96,39
DVU0129,33,77,60,51,78,97,165,63,89,154,157,88,21,75,106,44
DVU0130,16,38,26,29,44,64,67,40,37,75,74,30,12,38,49,23
DVU0131,10,10,6,6,12,12,8,3,3,10,6,9,8,3,7,9
DVU0132,32,55,37,50,88,89,116,74,32,113,113,79,22,110,71,43
DVU0133,47,40,44,35,46,53,61,45,59,62,53,38,13,50,55,21
DVU0134,28,78,30,28,64,119,138,69,61,123,86,46,12,70,61,24
DVU0135,40,69,44,25,74,97,91,67,53,93,64,37,11,70,48,28
DVU0136,12,17,14,6,21,28,21,13,12,22,11,10,3,16,10,2
DVU0137,10,7,4,10,11,11,14,4,6,15,8,4,4,7,7,3
DVU0138,21,29,25,14,23,24,39,25,39,31,23,19,6,27,25,10
DVU0139,56,97,90,67,136,128,181,82,97,198,176,104,21,104,128,47
DVU0140,11,22,19,17,12,18,52,25,42,49,53,18,4,18,38,15
DVU0141,15,32,10,31,48,63,65,57,19,70,66,44,6,68,58,22
DVU0142,44,66,55,37,69,108,104,57,74,96,62,46,14,68,58,31
DVU0143,16,51,39,26,44,68,86,56,58,88,63,37,13,47,59,25
DVU0144,13,38,22,18,39,56,67,35,35,61,63,44,4,42,51,14
DVU0145,18,34,11,17,21,36,57,30,36,47,30,10,5,27,25,3
DVU0146,24,46,35,29,53,60,100,46,46,98,74,53,11,55,62,17
DVU0147,12,22,14,4,19,27,23,21,16,20,15,15,5,21,14,12
DVU0148,36,51,39,32,54,60,52,34,52,47,33,21,15,42,30,13
DVU0149,34,47,38,60,85,92,109,68,38,113,92,62,21,102,67,24
DVU0150,10,18,9,18,24,22,34,21,17,30,19,15,3,31,20,5
DVU0151,74,136,146,120,186,241,307,164,167,334,290,157,48,187,206,110
DVU0152,66,152,108,114,178,194,289,129,159,278,234,165,38,166,204,87
DVU0153,11,28,14,15,21,31,41,28,28,38,29,24,7,24,36,8
DVU0154,5,6,7,11,15,9,17,8,5,19,19,11,4,15,11,5
DVU0155,33,95,29,39,76,155,173,92,75,168,133,71,12,78,112,47
DVU0156,59,139,107,65,145,214,259,128,126,266,187,112,40,127,138,47
DVU0157,16,56,41,26,47,90,119,59,66,120,96,59,10,49,85,32
DVU0158,20,62,37,31,64,104,120,64,54,120,109,51,11,66,69,16
DVU0159,22,38,28,13,38,45,66,22,33,67,43,33,7,21,40,5
DVU0160,22,76,35,29,71,102,126,61,57,117,94,47,11,65,61,21
DVU0161,63,89,60,65,106,110,161,88,82,153,106,60,25,113,75,32
DVU0162,118,223,158,136,247,347,378,180,225,341,230,138,44,241,169,58
DVU0163,24,30,20,42,42,29,44,28,39,51,52,34,12,33,59,21
DVU0164,15,37,43,58,62,54,91,51,55,99,85,62,20,68,83,25
DVU0165,37,70,38,44,88,110,110,63,50,104,65,52,13,87,59,23
DVU0166,32,58,53,41,76,91,117,60,67,114,66,47,8,81,59,16
DVU0167,23,39,31,43,63,83,101,73,34,106,72,49,15,92,58,38
DVU0168,28,51,32,54,79,87,99,67,41,92,72,57,16,102,60,40
DVU0169,83,123,91,62,145,181,150,82,107,148,89,60,24,106,74,37
DVU0170,80,102,133,87,135,113,227,83,158,237,257,120,28,106,156,47
DVU0171,29,82,47,46,87,113,137,65,71,135,121,56,17,72,78,25
DVU0172,30,53,44,29,69,138,127,46,51,138,68,56,6,51,74,21
DVU0173,71,159,91,80,178,219,263,119,120,252,196,108,31,149,127,38
DVU0174,3,9,3,8,11,2,6,6,6,8,11,7,3,6,12,6
DVU0175,49,104,73,65,127,170,182,85,98,183,145,78,17,107,104,44
DVU0176,24,68,21,31,64,117,109,50,49,101,74,45,6,54,66,20
DVU0177,27,53,40,22,61,95,98,50,45,100,57,34,8,56,42,21
DVU0179,26,71,69,35,79,108,177,77,82,179,170,90,14,83,105,32
DVU0180,22,50,22,29,48,68,93,44,47,87,84,35,6,48,54,24
DVU0181,7,30,18,26,43,62,78,53,25,91,88,38,6,53,58,25
DVU0182,49,82,50,42,81,82,88,55,75,76,58,33,18,66,46,22
DVU0183,82,116,117,86,167,140,193,67,132,218,143,59,20,93,99,37
DVU0184,26,15,19,34,25,15,20,20,22,30,43,34,21,20,47,28
DVU0186,49,48,42,33,55,73,64,52,54,73,44,40,13,50,62,27
DVU0187,42,68,42,56,82,87,96,85,64,103,79,52,20,92,81,42
DVU0188,6,6,13,9,8,8,13,4,19,12,21,7,1,7,12,3
DVU0189,68,100,98,59,104,141,185,109,128,189,127,83,24,109,118,43
DVU0190,9,14,8,17,17,11,15,12,14,17,13,10,7,13,19,16
DVU0191,45,79,81,39,105,164,170,92,76,207,168,79,18,81,111,44
DVU0192,47,84,61,59,80,103,134,86,100,140,141,69,24,76,114,40
DVU0193,44,43,60,27,52,50,60,43,68,83,59,27,10,29,58,18
DVU0194,77,113,107,85,134,168,203,107,128,219,169,95,43,112,132,66
DVU0195,14,10,11,12,12,6,19,13,13,21,22,12,8,13,16,16
DVU0196,19,27,19,10,26,36,44,25,22,44,27,21,8,24,24,19
DVU0197,38,93,82,49,115,171,188,109,88,204,180,85,21,115,107,55
DVU0198,41,73,73,43,86,155,153,71,87,178,122,44,15,59,84,35
DVU0199,11,22,15,16,28,40,55,19,19,50,28,19,5,30,19,7
DVU0200,35,65,57,24,59,119,111,74,71,110,76,39,15,69,53,27
DVU0201,14,20,18,7,13,40,34,17,28,35,34,15,4,9,26,6
DVU0202,14,20,18,11,23,43,51,40,21,58,43,36,5,36,46,23
DVU0203,9,25,18,21,31,54,64,41,28,73,52,26,5,38,45,18
DVU0204,10,26,22,14,27,43,46,24,27,49,37,21,8,22,29,5
DVU0205,5,10,10,3,8,15,20,10,13,19,14,12,2,9,14,3
DVU0206,26,29,41,25,36,46,60,32,48,56,65,31,11,43,34,10
DVU0207,8,20,19,10,25,30,32,21,22,41,29,15,2,17,27,8
DVU0208,10,42,20,18,33,66,70,38,40,61,46,24,7,38,35,9
DVU0209,5,13,13,5,14,29,18,10,15,24,13,7,1,5,16,3
DVU0210,44,102,61,48,115,161,157,85,73,187,136,67,23,68,109,27
DVU0211,14,22,27,11,29,20,47,15,26,44,36,21,5,25,17,6
DVU0212,8,19,18,8,21,29,22,15,20,26,20,12,3,13,19,7
DVU0213,62,79,89,58,99,93,154,82,98,167,174,78,28,89,101,39
DVU0214,12,60,49,35,60,129,165,63,64,162,119,75,20,66,87,33
DVU0215,30,56,64,39,74,103,143,52,73,153,117,59,12,60,78,20
DVU0216,11,47,27,17,45,68,79,34,40,70,73,30,6,41,34,16
DVU0217,11,26,19,7,22,46,58,34,27,64,57,25,3,24,39,14
DVU0218,17,51,47,28,61,117,134,55,51,147,125,62,13,52,80,21
DVU0219,15,33,26,19,38,73,70,38,31,89,69,27,8,24,52,14
DVU0220,42,79,46,34,88,90,112,48,52,119,103,45,18,50,59,31
DVU0221,13,26,20,20,31,50,44,22,25,57,43,18,9,14,37,14
DVU0222,8,17,20,12,23,27,33,20,15,47,27,19,12,12,28,9
DVU0223,31,15,14,8,13,6,11,7,17,6,20,8,7,10,6,3
DVU0224,19,23,24,16,21,26,38,33,27,39,29,19,15,30,23,13
DVU0225,18,14,5,11,13,3,9,11,9,9,15,8,7,10,13,21
DVU0226,64,69,73,57,94,85,96,51,69,114,110,54,35,58,69,41
DVU0227,51,47,30,36,41,26,33,26,48,31,25,20,24,22,36,34
DVU0228,3,8,0,7,7,9,11,9,6,11,6,1,2,8,7,3
DVU0229,23,11,5,9,8,4,7,13,3,11,12,10,15,6,12,27
DVU0230,15,19,31,23,34,30,50,27,30,59,37,23,8,33,32,13
DVU0231,9,10,15,11,17,15,20,13,16,29,21,9,3,11,19,6
DVU0232,12,9,20,12,18,9,17,14,18,32,26,12,5,8,25,11
DVU0233,14,13,22,17,21,22,22,19,24,20,25,10,8,29,10,26
DVU0234,7,20,30,15,30,17,31,13,27,33,33,17,7,21,17,5
DVU0235,18,32,26,30,35,44,59,37,43,64,47,22,10,35,44,17
DVU0236,43,70,69,46,84,94,92,88,73,117,91,48,27,77,78,45
DVU0237,64,87,71,42,92,117,130,79,90,131,99,52,18,83,72,47
DVU0238,17,28,14,17,27,50,43,22,26,41,23,14,6,23,24,14
DVU0239,26,18,11,13,23,14,11,12,8,16,15,11,12,12,12,22
DVU0240,23,36,21,26,38,34,49,27,37,41,32,28,9,37,35,24
DVU0241,20,16,20,18,28,24,38,18,22,47,33,22,4,21,33,13
DVU0242,19,31,30,14,25,40,56,28,38,56,46,26,12,22,34,11
DVU0243,16,29,41,26,37,51,64,36,49,72,80,44,10,36,60,17
DVU0244,21,54,33,26,58,86,115,43,44,119,91,41,12,43,55,16
DVU0245,26,75,38,27,64,132,138,80,66,133,96,50,10,74,73,27
DVU0246,50,159,72,63,155,275,302,135,118,268,183,109,22,165,120,38
DVU0247,14,24,22,21,25,21,43,17,34,37,30,15,8,24,21,3
DVU0249,34,70,39,36,65,124,111,60,63,102,72,35,18,64,49,29
DVU0250,20,39,21,25,44,57,63,42,31,65,44,23,10,45,35,23
DVU0251,33,45,36,34,63,101,96,87,35,95,75,56,17,106,54,29
DVU0252,22,20,11,9,19,16,9,12,16,11,12,8,5,9,15,15
DVU0253,116,203,131,97,222,276,311,174,173,308,215,128,36,196,167,72
DVU0254,7,10,9,9,10,13,13,6,14,13,10,5,3,6,11,7
DVU0255,12,36,25,20,32,40,59,30,38,51,53,42,10,34,48,24
DVU0256,94,254,145,107,254,354,405,191,200,404,278,148,51,192,203,85
DVU0257,9,24,28,27,30,23,39,28,33,43,51,26,16,30,35,22
DVU0258,78,149,113,75,161,152,219,105,151,196,149,94,25,140,109,57
DVU0259,24,31,19,19,27,34,46,18,31,27,24,20,10,33,14,12
DVU0260,16,27,14,18,23,34,51,23,30,49,40,15,6,21,29,5
DVU0261,47,59,60,31,76,76,95,54,57,90,67,53,16,76,46,23
DVU0262,12,35,22,20,31,38,63,41,38,61,63,27,8,39,41,15
DVU0263,22,30,19,10,32,45,41,22,20,47,20,16,6,18,24,8
DVU0264,61,92,69,67,125,106,127,67,82,141,113,57,20,86,85,21
DVU0265,13,36,16,27,43,59,68,55,25,83,62,30,11,47,54,30
DVU0266,33,92,52,39,94,110,142,69,73,121,122,79,15,92,80,43
DVU0267,10,11,6,13,14,8,11,6,9,13,13,7,7,7,12,8
DVU0268,13,1,8,11,8,2,4,4,9,7,7,16,4,8,20,18
DVU0269,18,32,25,22,30,35,50,27,40,52,49,25,8,23,43,18
DVU0270,92,142,115,92,176,171,265,106,145,240,210,125,28,165,130,68
DVU0271,39,83,57,45,72,105,182,88,100,187,179,89,12,72,138,42
DVU0272,5,8,0,3,5,11,9,5,7,5,10,7,0,6,9,5
DVU0273,57,103,68,54,92,129,163,89,105,139,144,89,27,102,103,53
DVU0274,22,25,29,11,21,37,36,20,41,29,29,13,3,23,18,14
DVU0275,21,52,27,25,57,90,78,48,35,82,37,27,12,49,39,16
DVU0276,18,29,14,15,34,42,38,27,22,44,31,16,2,26,30,10
DVU0277,26,47,46,57,63,81,90,53,62,99,92,61,25,60,87,31
DVU0278,15,30,17,15,30,46,43,29,28,43,35,17,4,29,28,13
DVU0279,41,102,61,73,123,142,175,111,89,178,153,102,24,129,133,70
DVU0280,35,71,50,54,83,104,123,67,72,121,90,57,19,81,78,34
DVU0281,39,102,44,67,105,142,156,106,76,147,80,69,33,118,92,63
DVU0282,36,78,45,54,87,128,120,65,69,129,80,42,21,65,75,27
DVU0283,82,134,98,58,145,181,250,101,116,227,176,107,29,135,102,44
DVU0284,22,44,28,20,42,45,48,27,41,40,35,25,8,33,31,17
DVU0285,16,39,34,28,54,62,63,34,36,71,67,31,11,41,41,13
DVU0286,26,45,37,45,56,55,88,35,53,77,80,45,17,57,51,12
DVU4017,56,25,48,54,50,15,35,30,47,43,37,46,30,47,53,70
DVU0289,27,49,31,25,54,72,76,27,44,68,52,21,7,40,26,7
DVU0290,25,53,25,20,50,69,67,35,39,68,37,27,9,31,42,11
DVU0291,19,78,35,29,63,110,138,67,63,129,97,53,17,61,71,34
DVU0292,25,96,36,33,76,120,143,65,68,125,71,58,20,63,73,34
DVU0293,22,20,21,16,18,33,38,18,32,35,21,15,6,19,24,3
DVU0294,42,117,68,58,122,204,271,130,96,296,201,139,25,110,192,73
DVU0295,42,80,57,61,87,96,159,71,83,152,139,73,28,85,92,44
DVU0296,40,75,39,44,71,95,139,54,71,123,91,51,15,66,68,28
DVU0297,5,20,11,13,24,43,39,22,14,39,19,25,6,26,29,12
DVU0298,24,33,33,39,45,53,81,41,50,91,93,46,10,43,73,30
DVU4004,11,9,7,11,14,5,14,9,6,16,17,8,6,12,10,3
DVU0299,99,172,103,70,165,182,220,132,136,195,144,84,43,150,93,57
DVU0300,34,42,35,29,47,67,75,55,47,82,58,29,12,53,48,24
DVU0301,13,6,6,12,9,11,6,11,8,11,5,6,7,9,13,16
DVU0302,23,32,27,27,52,40,40,16,26,37,41,24,7,39,21,15
DVU0303,12,16,26,14,29,32,23,18,21,39,25,10,5,15,22,10
DVU0304,17,24,13,9,25,16,31,15,17,25,18,22,4,22,20,3
DVU0305,12,7,16,14,14,17,13,7,16,16,12,12,6,11,16,5
DVU0306,18,24,36,19,33,36,72,37,40,89,73,30,6,29,51,24
DVU0307,59,120,76,54,143,116,148,70,87,159,165,66,20,82,88,43
DVU0308,6,27,12,21,30,46,45,38,19,43,19,24,11,43,29,21
DVU0309,15,40,45,21,40,74,105,59,53,121,137,53,13,43,77,24
DVU0310,35,85,46,47,97,156,156,73,71,152,124,60,10,89,81,31
DVU0311,24,44,42,29,44,70,98,29,64,92,78,35,7,35,51,10
DVU0312,64,54,68,44,72,88,111,47,87,103,82,45,7,73,56,15
DVU0313,83,107,111,53,139,137,163,94,112,172,124,71,20,117,81,32
DVU0314,17,23,28,14,33,29,27,19,27,33,21,13,4,23,19,5
DVU0315,19,38,21,19,37,44,51,18,31,46,32,19,9,22,25,6
DVU0316,31,25,30,20,39,29,35,16,32,36,31,21,4,29,24,8
DVU0317,12,10,9,7,16,11,8,7,8,17,6,1,3,4,9,9
DVU0318,25,32,27,27,34,49,61,37,38,59,47,25,13,41,35,13
DVU0319,31,82,44,24,77,94,131,66,55,121,72,55,17,71,57,28
DVU0320,6,21,6,6,15,38,39,16,15,36,9,13,2,13,20,5
DVU0321,20,48,26,21,41,69,100,51,47,93,62,50,7,51,64,38
DVU0322,53,92,64,51,97,139,154,77,93,136,104,49,16,100,61,27
DVU0323,25,52,30,25,50,102,108,47,45,100,80,52,11,53,60,20
DVU0324,1,3,1,4,2,18,10,10,3,12,2,6,4,7,9,6
DVU0325,37,59,41,40,74,96,126,64,52,126,102,72,15,79,82,32
DVU0326,23,61,47,36,69,98,120,62,64,117,103,52,10,73,67,23
DVU0327,40,86,43,52,88,124,145,85,68,128,90,73,24,104,82,33
DVU0328,30,62,54,43,89,134,139,50,60,137,100,62,10,79,66,30
DVU0329,1,5,6,5,13,10,8,8,4,17,15,5,0,7,11,4
DVU0330,29,94,43,45,100,133,138,78,66,145,94,56,16,77,86,38
DVU0331,91,208,121,113,228,300,353,169,186,338,232,116,28,204,166,68
DVU0332,6,7,10,6,12,17,14,6,10,18,9,11,2,7,15,8
DVU0333,16,46,22,28,50,68,79,32,34,81,75,27,12,34,41,11
DVU0334,23,53,36,26,55,94,111,60,48,114,91,44,11,59,60,26
DVU0335,37,76,51,53,80,135,199,88,83,202,195,109,16,89,145,34
DVU0336,34,107,47,36,99,149,175,76,74,167,118,58,17,76,77,30
DVU0337,58,136,67,63,132,234,238,126,109,261,154,74,26,99,139,54
DVU0338,26,47,24,18,33,54,86,39,48,65,46,37,8,46,40,24
DVU0339,30,64,35,30,68,95,118,58,53,117,76,31,8,63,48,11
DVU0340,15,40,15,16,41,49,89,23,21,73,67,45,8,40,36,15
DVU0341,39,54,46,42,71,79,76,29,61,74,40,38,9,48,52,12
DVU0342,34,69,46,40,69,73,107,45,62,97,73,47,23,55,54,20
DVU0343,20,66,22,31,59,89,113,37,46,96,63,27,14,47,34,18
DVU0344,59,157,101,67,172,201,233,90,130,217,139,84,24,121,96,37
DVU0345,3,19,9,14,30,25,10,9,5,17,8,11,8,13,13,6
DVU0346,30,80,48,49,102,140,162,132,50,196,144,82,25,120,118,60
DVU0347,11,52,16,28,62,63,90,37,29,85,61,29,5,52,37,14
DVU0348,40,143,62,47,134,204,203,116,90,207,134,67,28,103,99,47
DVU0349,47,83,51,39,87,117,122,56,75,107,69,44,10,75,54,22
DVU0350,15,57,22,20,43,85,88,46,41,74,55,31,15,46,36,9
DVU0351,54,134,59,55,123,154,210,91,104,182,122,81,21,108,98,38
DVU0352,48,92,52,46,97,111,135,66,75,124,85,51,17,82,64,36
DVU0353,41,87,49,40,87,111,117,65,66,109,69,52,22,73,62,23
DVU0354,30,59,37,30,59,162,132,46,48,111,99,71,19,67,61,27
DVU0355,57,148,80,68,150,183,197,104,125,184,164,73,20,119,106,45
DVU0356,13,32,28,17,30,51,70,29,39,58,62,37,8,39,36,26
DVU0357,17,60,29,35,56,94,100,62,53,109,86,44,16,49,76,31
DVU0358,26,50,31,40,52,56,82,41,54,68,53,34,15,57,43,41
DVU0359,13,14,14,15,21,36,33,18,17,33,30,17,5,25,20,15
DVU0360,41,101,70,71,134,188,193,82,89,195,164,84,19,113,105,42
DVU0361,9,16,18,14,21,27,37,18,25,41,29,15,2,19,26,6
DVU0362,17,68,19,22,55,91,95,60,40,95,56,34,14,47,55,11
