,SOCN_Schneider.lag1,SOCN_Schneider.lag2,SOCN_Schneider.lag3,SOCN_Schneider.lag4,SOCN_Schneider.lag5,SOCN_Schneider.lag6,SOCN_Schneider.lag7,SOCN_Schneider.lag8,SOCN_Schneider.lag9,SOCN_Schneider.lag10,SOCN_Schneider.lag11,SOCN_Schneider.lag12,SOCN_Schneider.lag13,SOCN_Schneider.lag14,SOCN_Schneider.lag15,SOCN_Schneider.lag16,SOCN_Schneider.lag17,SOCN_Schneider.lag18,SOCN_Schneider.lag19,SOCN_Schneider.lag20,SOCN_Schneider.lag21,SOCN_Schneider.lag22,SOCN_Schneider.lag23,SOCN_Schneider.lag24,SOCN_Schneider.lag25,SOCN_Schneider.lag26,SOCN_Schneider.lag27,SOCN_Schneider.lag28,SOCN_Schneider.lag29,SOCN_Schneider.lag30,SOCN_Grantham.lag1,SOCN_Grantham.lag2,SOCN_Grantham.lag3,SOCN_Grantham.lag4,SOCN_Grantham.lag5,SOCN_Grantham.lag6,SOCN_Grantham.lag7,SOCN_Grantham.lag8,SOCN_Grantham.lag9,SOCN_Grantham.lag10,SOCN_Grantham.lag11,SOCN_Grantham.lag12,SOCN_Grantham.lag13,SOCN_Grantham.lag14,SOCN_Grantham.lag15,SOCN_Grantham.lag16,SOCN_Grantham.lag17,SOCN_Grantham.lag18,SOCN_Grantham.lag19,SOCN_Grantham.lag20,SOCN_Grantham.lag21,SOCN_Grantham.lag22,SOCN_Grantham.lag23,SOCN_Grantham.lag24,SOCN_Grantham.lag25,SOCN_Grantham.lag26,SOCN_Grantham.lag27,SOCN_Grantham.lag28,SOCN_Grantham.lag29,SOCN_Grantham.lag30
DVU0019,76.731589,74.129347,67.738938,73.525352,78.148887,69.462594,73.962751,72.6267,68.052738,70.030845,74.900438,60.274755,64.345022,70.370975,59.075815,65.774532,65.241532,64.717945,68.912131,65.014031,64.848611,69.450865,64.977652,64.905277,61.664919,63.58728,64.089652,65.983282,57.64814,62.327529,2070861,2041443,1830647,2082374,2089576,1979974,1998528,2002704,2030174,1886401,2013604,1863305,1814954,1815134,1511349,1797563,1714769,1778665,1817120,1748384,1837063,1935367,1827726,1862509,1672183,1817874,1745547,1722204,1519453,1674298
DVU0020,10.64787,14.211208,13.024966,13.2504,12.057488,9.899944,11.441076,9.274052,10.203521,11.023004,9.535999,10.056926,9.604294,8.664952,9.897519,9.299728,7.2981,7.661635,7.183827,5.35965,8.625117,8.582298,7.856275,7.832241,7.198197,5.580668,6.843587,6.682003,6.393074,4.859073,452624,500320,465936,511531,372514,385938,402408,416330,402657,337163,369756,346039,360571,338781,387360,320065,291148,361513,345904,268897,292367,324111,268137,274864,294232,231612,253989,235905,207016,186547
DVU0021,130.433559,134.132985,129.956997,125.967219,137.759564,126.232002,123.389572,131.050092,123.505754,136.861831,134.881104,138.128904,133.763134,121.195937,124.111374,124.086084,126.744127,119.520563,128.432252,111.44727,121.960848,126.910906,112.94136,119.725346,118.841086,119.281931,115.436108,116.048813,122.948622,128.472354,3158187,3561941,3395502,3210425,3415772,3111482,3163974,3201693,2978347,3513203,3350268,3305523,3198469,3148377,3093488,3107030,3141661,3138375,3369549,3067801,3086427,3208024,3007021,3225460,3167209,3164787,3054204,2939049,3109771,3247081
DVU0022,282.104613,298.569487,281.014615,267.194279,288.056741,288.140322,277.806077,287.495376,280.833923,270.239243,273.06183,281.379534,279.427824,283.995856,275.764341,272.571302,268.968901,259.570879,272.111499,284.486833,280.983059,273.480071,262.537125,280.929999,274.294267,276.442021,273.119864,272.391332,272.49557,277.480218,7724430,7878968,7608080,7469403,8011250,7773432,7500909,7851593,7469276,7321855,7343600,7624604,7414995,7463129,7327326,7304575,7354732,7291685,7405362,7644204,7433260,7474870,7199488,7408814,7283344,7239377,7188325,7122269,7512407,7392737
DVU0023,24.394531,24.385974,23.723955,20.358698,22.679458,20.342768,26.634642,21.691322,17.017918,18.740164,19.9573,16.378658,18.851308,20.05636,19.560125,18.363936,16.521337,14.347675,18.492431,15.935889,14.634873,16.355209,13.688387,15.386459,16.270805,16.012541,12.990409,14.147648,10.931669,13.945689,801856,758510,739173,709261,746547,673540,843941,679482,645406,583391,672604,579537,645202,611146,618982,604598,520734,511776,537847,498509,487953,492127,419879,429114,514266,447089,369628,485415,370888,477738
DVU0024,23.388512,29.132576,17.697715,21.327604,23.956167,17.710153,17.318698,20.534673,16.791124,15.600746,18.135864,20.89575,14.232842,13.405452,20.659985,16.251221,12.651273,15.68257,15.722151,9.301061,12.75527,18.86616,12.922157,11.056682,16.585797,9.941283,7.738937,13.709546,11.887477,6.431278,611569,670141,528049,502216,557850,505758,436605,473181,382095,455969,427396,510904,377524,361087,489140,391965,348862,369424,405281,314103,349577,387719,315716,321014,373483,275847,268543,329613,284718,187067
DVU0025,253.797724,264.50618,248.054367,248.822005,270.992437,258.388189,247.98379,256.060488,253.474353,245.479783,246.291116,265.458121,249.992603,258.257802,249.282203,256.863945,239.807698,254.949623,261.553609,253.486857,259.537022,257.687482,244.310731,240.79581,257.278554,249.683616,233.421487,237.826609,266.471791,239.929517,7081582,7233742,6941310,6862451,7326240,7373837,6998044,7014577,7203430,7081121,6857112,7175691,6966200,7057749,6577438,6939691,6487261,7032066,6847008,6892656,7072758,6649334,6706553,6552721,6948896,6602911,6314827,6605481,7055112,6593390
DVU0026,71.025206,66.01242,68.744002,63.453845,66.34709,67.402915,61.516324,62.469244,61.195668,65.569741,62.815808,61.626367,58.73015,64.640951,57.746283,60.223798,54.822898,61.583984,51.821884,61.657632,54.742573,62.394842,58.369045,58.128177,52.249461,55.419782,56.105241,60.297528,59.493069,55.415228,2096073,2159093,1878358,1880321,2112961,2107551,1900597,1897673,1895142,1974281,1733757,1904903,1878270,1862197,1864738,1890587,1797256,1895518,1657510,1745625,1828474,1816022,1827474,1947371,1865877,1688563,1684989,1784424,1716697,1769858
DVU0027,115.626215,124.0945,118.372484,117.507121,124.550188,126.452083,122.474123,127.416288,129.014923,124.650298,123.322535,129.016807,130.042625,128.567559,126.977568,130.505623,127.665751,128.137646,123.251405,123.835407,127.678848,127.604744,126.598665,129.660837,128.219606,127.578332,129.011067,124.120154,125.125334,120.3634,4189635,4592338,4337793,4147724,4207018,4391177,4168189,4420609,4458006,4317622,4269427,4314734,4541844,4317395,4223145,4299613,4319278,4232893,4238306,4132491,4289531,4286421,4263072,4467289,4242105,4411570,4419199,4131799,4164699,4248706
DVU0028,49.69178,47.060526,49.268964,46.824308,42.484707,38.829174,46.745372,35.819031,41.706493,43.457759,40.320722,43.703839,37.331417,40.264666,41.372351,39.869415,36.221266,42.731587,36.213672,37.043682,34.274978,32.030835,41.88524,33.797237,38.331446,35.958899,32.917067,31.865056,36.638837,29.471088,1176537,1234939,1139639,1180417,1059022,1004071,1136592,994416,1052313,1005054,974611,1049186,1008675,1006533,1011232,977297,1029201,998023,912343,924725,907067,926762,992409,872921,913334,915130,858012,855419,931513,818205
DVU0029,189.826166,190.003802,197.150547,185.617824,189.11964,183.265399,181.507927,188.379096,184.490464,179.099944,188.146749,165.910846,180.088454,186.096323,180.845251,185.437977,182.98393,181.717951,175.622629,184.220556,176.582182,180.210468,183.409125,163.008276,168.272272,188.856208,178.548747,177.282143,179.163883,172.582587,5599519,5653719,5787013,5461779,5665334,5468838,5440351,5638367,5244957,5507963,5395590,5170527,5426968,5152109,5308056,5355942,5560385,5423687,5003324,5256315,5215399,5479891,5293735,5096220,5060236,5391795,5247775,5150131,5166010,4995614
DVU4013,30.830297,28.083825,25.589771,26.17953,27.49972,22.863105,27.421583,23.688353,23.637743,23.42925,29.231838,20.830176,23.509747,26.37093,20.637053,20.053053,21.069797,17.794975,21.588034,20.769766,16.442559,21.109822,18.299981,19.431599,15.639924,17.196782,18.852504,17.443415,16.742355,16.990826,700243,656922,512544,583741,653004,528179,604184,519644,507653,517873,622162,444118,489563,565509,432487,461829,423683,349264,476158,430338,364134,426866,379143,414249,349944,369453,373655,349052,392707,354175
DVU0030,181.571671,186.654756,170.127427,174.413402,184.176035,173.106422,172.80192,172.630811,174.218879,179.539962,174.588575,170.720827,176.878373,181.832588,167.205071,182.806186,181.183834,186.252872,182.97927,172.332512,171.699424,175.267022,173.773269,180.706973,169.273511,164.764816,170.208836,160.15584,166.421895,173.273872,4825980,5116228,4793370,4746668,4898176,4682216,4908434,4858711,4740851,4960538,4784489,4546604,4811161,4744274,4700113,5013694,4695759,4752055,4836437,4995577,4669306,4771159,4559120,4781992,4738832,4528873,4634729,4702031,4303169,4733487
DVU0031,94.24801,94.050046,96.981658,91.749739,86.751323,97.872003,95.352268,97.809268,94.485951,89.000607,92.79611,91.006009,91.594184,87.262834,85.139062,86.787245,95.704902,87.35001,84.402768,89.161812,84.18068,91.255676,88.770493,88.098664,85.339615,90.349959,93.41376,87.343478,87.159569,88.575724,3170259,3027283,3195637,3015708,2957316,3093638,2956601,3153591,2998330,2892802,2947608,2857051,2905558,2902479,2964157,2805860,3021263,2914998,2845788,3029353,3008293,3033859,2969875,2754338,2896731,2902528,3113226,2628442,3065525,2950243
DVU0032,25.54751,30.974244,30.094919,26.012969,25.29323,28.662985,26.615181,22.310162,22.730305,25.561755,28.876196,24.204572,24.573108,26.163575,24.202905,24.51267,21.393313,22.467066,24.86402,23.71292,22.68694,22.816471,24.092137,21.206671,21.181895,21.913037,20.950141,21.178838,22.123612,18.882801,868219,1071110,1038511,936864,882205,944607,919447,786253,742407,893383,1012514,764524,829180,840584,800244,773643,749782,783043,835136,818245,727825,715375,785407,751796,654103,652211,681039,794598,800865,627145
DVU0033,68.278788,62.509768,69.585278,69.796642,57.736932,64.008935,70.484711,63.002491,68.973227,64.322938,61.354725,67.416447,61.907784,61.516904,65.924884,59.595685,60.287781,57.442922,58.199398,67.266871,62.537983,61.158538,62.781393,60.33337,65.736895,59.763541,65.346087,56.13339,60.208416,58.396311,2015655,2029582,2083721,2124651,2002785,2088969,2057397,2008963,1972613,1989655,1995063,2068524,1958807,1991797,2029685,1798402,1875764,1899474,1857754,1995123,1874651,1758958,1948279,1863322,1968400,1878197,2059976,1743061,1683011,1850027
DVU0034,94.199131,100.858117,96.617479,88.144717,100.14369,97.90711,90.498926,94.389715,96.94848,103.785781,83.89581,88.052823,96.826629,92.639503,89.708227,94.939957,96.034212,95.360327,93.438694,98.770673,101.247355,90.663337,86.530762,98.560169,94.014266,91.730896,83.923695,96.243108,92.244711,84.629809,2306973,2530673,2358321,2302398,2472592,2549397,2278874,2313887,2399301,2469307,2247188,2260077,2329679,2319328,2230055,2330055,2457027,2279512,2241734,2351510,2326036,2277232,2172015,2228042,2209966,2247098,2189198,2354414,2175127,2055623
DVU0035,16.849795,16.720189,17.662644,13.835717,16.747117,16.446169,17.300652,15.819298,17.115252,14.459506,16.463947,14.871349,14.731868,15.20754,16.032449,15.642174,12.624739,14.360358,11.106129,12.791462,12.162985,12.291199,8.084573,12.073354,11.91628,11.378205,9.694251,11.252789,12.146972,10.625461,539294,550834,574773,412276,519010,469272,557317,499983,516128,416423,477213,383597,391298,455125,482615,451824,367204,415707,360203,388809,357616,326178,231077,357660,283494,311439,266652,327355,285764,272991
DVU0036,47.793379,50.153067,50.064069,43.160443,49.472664,46.04919,47.495508,47.360864,52.996116,47.596049,44.514465,49.563161,48.208981,45.52757,49.780961,49.404898,48.029278,45.656535,44.394258,47.505478,44.820364,42.99557,46.794046,41.611742,43.514672,41.703479,42.438046,47.246067,42.214023,42.781956,1300117,1349778,1354374,1156511,1306401,1263578,1233280,1272577,1399472,1237822,1082338,1241824,1305552,1166638,1180697,1309833,1252496,1133537,1149588,1345151,1159367,1182623,1220965,1230214,1055359,1038437,1208166,1232716,1123608,1093566
DVU0037,49.379389,50.528195,45.038614,45.057177,48.73608,47.332917,43.613366,40.648967,44.238989,42.321498,44.800855,47.707093,42.107235,45.254133,47.476482,40.909439,36.693122,45.540884,44.577006,41.111435,45.01509,39.046222,38.840175,38.250847,40.94638,33.452551,40.820906,38.108848,36.226731,37.432912,1469958,1536046,1523456,1488813,1459494,1519166,1460441,1332283,1376286,1437749,1302366,1351966,1412279,1282977,1470569,1380413,1274317,1404034,1368845,1281920,1353532,1243932,1369496,1233480,1155626,1200645,1347141,1193833,1159701,1200396
DVU0038,224.690258,231.606737,235.305469,213.659013,224.129688,221.743747,222.655896,229.616663,214.504838,230.961134,220.197651,217.293057,220.166774,218.230111,219.85196,218.639893,215.084102,221.377432,225.506951,221.585631,218.14375,213.54154,206.350362,220.390241,222.765311,198.39122,204.272804,216.142461,218.46949,212.371289,6017401,6191280,6113497,5939151,5905068,5907569,5586058,5841615,5831109,6182385,6071283,5673266,5657117,5806208,5704218,5800356,5712815,6109623,5849909,5731145,5451426,5756243,5548535,5705399,6005568,5434630,5550995,5602785,5870177,5720033
DVU0039,68.056833,73.689489,71.5658,65.510058,63.93827,64.756495,66.001195,67.076196,65.618994,58.973277,69.214871,60.485527,58.682189,60.109767,64.288301,66.603321,64.426065,64.098617,63.697078,61.599718,60.099752,62.076224,56.471636,63.649637,60.038154,52.841428,60.691921,60.182114,58.77957,61.922494,1941366,1945115,1744696,1816865,1801453,1880514,1886323,1725792,1847079,1771933,1966272,1774263,1697470,1831563,1823434,1707603,1917892,1717941,1867118,1641637,1619951,1682501,1585192,1747294,1545025,1550927,1691920,1532953,1515224,1635178
DVU0040,85.980267,72.870414,83.998119,83.482792,84.023802,70.433076,77.639829,76.742183,75.876129,79.194898,82.446183,73.042066,76.05686,70.235374,68.522437,77.456531,72.022318,69.456521,69.933055,61.864348,76.468071,65.830514,76.563701,67.035892,70.741979,62.485622,71.332571,68.83941,70.581131,63.502241,2252848,2186651,2306750,2182478,2251844,1958762,2118097,2098281,1896793,2248483,2149532,2001236,1994346,1932646,1806719,2178716,2020111,1839812,1941286,1823833,2036405,1823682,2000328,1834066,1971490,1797226,2031865,1942621,1912398,1846307
DVU0041,201.894417,205.572044,209.977054,210.059204,214.84259,205.506086,193.56559,206.571205,200.436916,208.198313,197.633717,219.418024,207.734123,202.128048,203.138529,216.9088,200.908499,201.408377,205.408516,203.148643,202.28038,211.358028,207.31472,204.538398,195.884382,210.706005,202.713047,203.035337,206.697599,205.575802,5222022,5008431,5172271,5477456,5338752,5102158,5186373,5236051,5247968,5128534,4961611,5269603,4988601,4909875,5518668,5359294,5028086,5186321,5046676,5006191,5210162,5199599,5231234,4963097,4910748,5201136,4954318,5086775,5221020,5064453
DVU0042,133.610588,141.60748,136.665175,140.3066,137.253895,133.757672,143.684525,136.722826,140.795735,129.496058,141.762542,130.53739,138.21172,137.009146,130.041113,142.884705,140.686937,138.114811,131.009207,127.406587,133.311947,135.400248,123.552071,137.106588,132.34946,136.535241,135.336102,131.75464,133.707429,134.291008,3432672,3651609,3496969,3613241,3601160,3378337,3604800,3385408,3714641,3357596,3517675,3348513,3371647,3306789,3389641,3369452,3468913,3351335,3308414,3289460,3224662,3337892,3218684,3186985,3369328,3355000,3229561,3344644,3306936,3346062
DVU0043,22.670849,21.950881,23.705623,18.441317,22.091033,19.538084,16.798835,17.912379,21.20186,19.839418,15.305433,20.167673,17.533232,17.898161,16.455571,19.30036,15.057058,13.401245,16.391824,16.467446,16.153352,14.929057,17.860154,12.83985,12.77037,15.034697,16.048654,14.788312,13.268161,14.998549,849409,704431,753832,578279,730306,648775,597828,596420,644148,663102,534558,696208,585822,562064,519321,714430,618813,478009,599346,574559,543370,484653,636008,458141,464606,508591,543599,500477,347387,493681
DVU0044,60.384073,56.93569,61.811289,60.320327,62.021948,62.538176,66.923895,67.617175,60.20661,64.362547,59.875021,62.311631,65.430351,61.614618,59.655517,57.564618,57.79467,58.24249,57.548644,59.758802,59.415808,59.465752,57.429091,60.448441,54.912695,61.146872,60.53132,60.87091,57.189619,62.315993,1876384,1794143,1976203,1696789,1739779,1859696,1940447,2040045,1805500,1888828,1742651,1870555,1873985,1852099,1824105,1659398,1720980,1784185,1616062,1627389,1612383,1740516,1651131,1660800,1697358,1793742,1790406,1753962,1611945,1757977
