C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
DVU0022,0.5915,0.1373,0.3282,0.251,0.183,0.517,41.06,0.779,0.641,764,793,0.065195,0.061791,NA
DVU0023,0.2909,0.2708,0.413,0.171,-0.104,0.361,58.7,0.574,0.538,61,65,-0.121539,0.076923,NA
DVU0024,0.4634,0.1739,0.4667,0.226,-0.019,0.407,35.21,0.741,0.601,54,56,-0.45,0.035714,NA
DVU0025,0.6041,0.1429,0.2994,0.265,0.227,0.547,41.63,0.771,0.645,687,719,-0.102921,0.062587,NA
DVU0026,0.432,0.1489,0.4412,0.296,0.173,0.519,48.12,0.719,0.646,185,190,0.128947,0.094737,NA
DVU0027,0.6811,0.0808,0.3193,0.329,0.331,0.593,32.33,0.872,0.64,447,474,0.863291,0.113924,NA
DVU0028,0.4038,0.1176,0.4845,0.227,0.073,0.442,40.48,0.742,0.643,120,125,-8e-04,0.088,NA
DVU0029,0.4882,0.0714,0.4295,0.235,0.114,0.47,42.31,0.795,0.689,551,570,0.369824,0.031579,NA
DVU4013,0.4821,0.16,0.4,0.217,0.145,0.5,46.37,0.734,0.651,64,65,-0.767692,0.138462,NA
DVU0030,0.614,0.1172,0.3883,0.27,0.31,0.589,34.75,0.851,0.681,482,500,-0.1518,0.06,NA
DVU0031,0.4475,0.0781,0.4791,0.22,0.104,0.473,39.09,0.819,0.711,315,328,0.387195,0.064024,NA
DVU0032,0.4078,0.1236,0.4651,0.294,0.32,0.571,37.02,0.781,0.664,105,111,1.089189,0.081081,NA
DVU0033,0.5,0.05,0.3987,0.267,0.115,0.472,36.59,0.774,0.665,195,204,0.211765,0.039216,NA
DVU0034,0.5911,0.0725,0.4631,0.283,0.138,0.486,37.27,0.846,0.635,253,261,-0.235632,0.065134,NA
DVU0035,0.75,0.1042,0.1429,0.307,0.417,0.655,37.17,0.818,0.649,55,57,0.450877,0.087719,NA
DVU0036,0.4876,0.1935,0.4068,0.276,0.251,0.571,40.99,0.728,0.634,147,151,-0.182119,0.033113,NA
DVU0037,0.55,0.1316,0.3241,0.196,0.102,0.463,45.76,0.743,0.664,136,138,0.152899,0.043478,NA
DVU0038,0.5735,0.1075,0.3536,0.252,0.238,0.538,38.44,0.81,0.69,599,616,-0.030844,0.069805,NA
DVU0039,0.5298,0.1295,0.3704,0.213,0.111,0.474,49.41,0.76,0.667,171,176,-0.371023,0.034091,NA
DVU0040,0.4793,0.0844,0.4595,0.184,0.054,0.431,42.04,0.793,0.668,188,204,0.009804,0.073529,NA
DVU0041,0.6556,0.0941,0.342,0.255,0.209,0.534,35.69,0.836,0.66,566,587,-0.391653,0.07155,NA
DVU0042,0.4749,0.1075,0.4181,0.25,0.239,0.551,42.32,0.761,0.701,376,383,-0.465274,0.044386,NA
DVU0043,0.5342,0.0972,0.4333,0.248,0.218,0.518,38.88,0.783,0.551,83,89,1.11236,0.101124,NA
DVU0044,0.6378,0.0718,0.4329,0.262,0.217,0.521,32.98,0.887,0.604,213,235,0.766383,0.085106,NA
DVU0045,0.5238,0.1087,0.3806,0.28,0.23,0.542,43.83,0.771,0.659,166,173,-0.043353,0.075145,NA
DVU0046,0.6129,0.1319,0.4485,0.313,0.238,0.551,35.74,0.82,0.637,167,170,-0.441765,0.041176,NA
DVU0047,0.5833,0.0897,0.4928,0.253,0.197,0.524,39.49,0.873,0.651,166,171,-0.066082,0.070175,NA
DVU0048,0.5238,0.1066,0.4249,0.228,0.193,0.508,45.37,0.807,0.663,238,246,-0.302845,0.04878,NA
DVU0049,0.5466,0.1452,0.3333,0.232,0.195,0.518,40.62,0.772,0.688,355,364,-0.327198,0.057692,NA
DVU0050,0.6762,0.0773,0.3651,0.255,0.23,0.531,34.72,0.876,0.657,241,252,0.354762,0.047619,NA
DVU0051,0.5228,0.1562,0.4432,0.258,0.134,0.485,42.08,0.787,0.656,235,242,-0.155372,0.053719,NA
DVU0052,0.6949,0.0816,0.4215,0.296,0.291,0.572,29.63,0.89,0.637,290,308,-0.130519,0.055195,NA
DVU0053,0.4657,0.0848,0.5095,0.282,0.237,0.547,37.46,0.826,0.678,660,678,0.35531,0.058997,NA
DVU0054,0.4667,0.1152,0.4031,0.265,0.191,0.526,40.44,0.749,0.675,399,419,-0.100477,0.066826,NA
DVU0055,0.4701,0.0996,0.5175,0.252,0.143,0.495,46.05,0.8,0.659,285,290,-0.101379,0.044828,NA
DVU0056,0.5984,0.1245,0.3991,0.256,0.188,0.515,38.61,0.797,0.607,305,317,-0.173502,0.056782,NA
DVU0057,0.4884,0.1132,0.4967,0.264,0.128,0.5,40.69,0.779,0.635,204,213,-0.19108,0.089202,NA
DVU0058,0.4337,0.0898,0.4788,0.234,0.12,0.469,37.96,0.801,0.708,377,383,-0.016971,0.02611,NA
DVU0059,0.471,0.0797,0.499,0.242,0.164,0.497,39.19,0.825,0.675,1186,1236,0.132362,0.067961,NA
DVU0060,0.6324,0.059,0.3746,0.255,0.125,0.482,34.75,0.844,0.67,384,394,-0.044416,0.045685,NA
DVU0061,0.6292,0.0517,0.4403,0.309,0.266,0.567,34.4,0.879,0.632,991,1046,0.321797,0.09369,NA
DVU0062,0.5202,0.092,0.415,0.214,0.055,0.45,38.76,0.798,0.684,489,504,-0.208135,0.053571,NA
DVU0063,0.4911,0.1417,0.4643,0.246,0.178,0.5,33.35,0.775,0.632,138,146,-0.186301,0.054795,NA
DVU0064,0.6602,0.0556,0.3043,0.349,0.335,0.618,32.72,0.821,0.641,285,302,-0.222517,0.135762,NA
DVU0065,0.4098,0.1239,0.4419,0.196,0.071,0.436,44.6,0.759,0.688,257,265,0.394339,0.064151,NA
DVU0066,0.5621,0.097,0.4882,0.281,0.26,0.571,40.05,0.836,0.64,177,189,-0.205291,0.100529,NA
DVU0067,0.5281,0.2346,0.2625,0.198,0.129,0.485,46.79,0.687,0.647,99,102,-0.328431,0.04902,NA
DVU0068,0.5756,0.1234,0.3799,0.232,0.134,0.486,39.58,0.812,0.678,496,511,-0.131115,0.052838,NA
DVU0069,0.5788,0.1485,0.3292,0.248,0.16,0.508,38.98,0.785,0.703,1439,1467,-0.233129,0.027948,NA
DVU0070,0.6384,0.0992,0.3412,0.246,0.172,0.507,35.76,0.847,0.703,438,451,-0.014856,0.037694,NA
DVU0071,0.4697,0.0759,0.5016,0.217,0.161,0.495,37.35,0.831,0.686,372,386,-0.169948,0.064767,NA
DVU0072,0.7385,0.0611,0.4518,0.378,0.327,0.616,30.45,0.905,0.62,242,259,-0.522394,0.119691,NA
DVU0073,0.6414,0.059,0.4496,0.325,0.286,0.589,31.42,0.894,0.675,348,368,-0.159511,0.116848,NA
DVU0074,0.608,0.0734,0.495,0.273,0.292,0.574,32.64,0.894,0.685,141,147,-0.334694,0.088435,NA
DVU0075,0.6606,0.0738,0.3587,0.32,0.264,0.569,33.55,0.854,0.676,369,377,0.070822,0.068966,NA
DVU0076,0.619,0.0562,0.4412,0.265,0.251,0.563,38.21,0.878,0.674,327,345,-0.212464,0.113043,NA
DVU0077,0.5472,0.0667,0.4407,0.26,0.212,0.529,38.9,0.839,0.675,342,360,0.241111,0.069444,NA
DVU0078,0.4343,0.0556,0.5476,0.188,0.126,0.462,37.61,0.84,0.667,106,113,0.467257,0.070796,NA
DVU0079,0.4323,0.0741,0.5048,0.181,0.033,0.418,42.06,0.823,0.667,249,267,0.82397,0.089888,NA
DVU0080,0.452,0.0946,0.4722,0.247,0.184,0.512,42.12,0.781,0.665,447,468,0.096154,0.040598,NA
DVU0081,0.5631,0.1508,0.4188,0.239,0.166,0.502,39.83,0.806,0.649,558,576,-0.226736,0.048611,NA
DVU0082,0.5839,0.1538,0.3333,0.213,0.196,0.511,39.94,0.793,0.672,503,530,-0.03566,0.069811,NA
DVU0083,0.3277,0.1455,0.4771,0.218,0.029,0.414,44.42,0.684,0.655,133,139,-0.279137,0.064748,NA
DVU0084,0.6238,0.107,0.3618,0.323,0.273,0.574,35.67,0.827,0.661,336,350,0.007143,0.06,NA
DVU0085,0.5594,0.0698,0.4122,0.263,0.149,0.508,36.4,0.795,0.636,396,414,0.009903,0.072464,NA
DVU0086,0.3281,0.2167,0.3559,0.152,0.01,0.423,61,0.592,0.607,71,73,-0.69589,0.082192,NA
DVU0087,0.469,0.1983,0.3017,0.231,0.092,0.478,56.45,0.656,0.61,157,164,0.008537,0.128049,NA
DVU0088,0.4819,0.0823,0.4032,0.236,0.154,0.484,45.18,0.781,0.636,465,495,0.928081,0.092929,NA
DVU0089,0.5946,0.1809,0.3389,0.242,0.199,0.531,41.9,0.754,0.597,256,267,-0.299251,0.108614,NA
DVU0090,0.5074,0.107,0.4629,0.259,0.161,0.511,42.51,0.781,0.63,311,323,-0.104954,0.086687,NA
DVU0091,0.5825,0.1389,0.4142,0.266,0.136,0.509,37.97,0.789,0.59,232,240,-0.282917,0.095833,NA
DVU0092,0.5838,0.1429,0.3474,0.257,0.238,0.546,40.6,0.781,0.647,1068,1105,-0.227783,0.052489,NA
DVU0093,0.6149,0.1452,0.3655,0.267,0.229,0.547,36.68,0.814,0.647,786,816,-0.135294,0.08701,NA
DVU0094,0.4618,0.124,0.4362,0.246,0.122,0.486,40.17,0.776,0.685,693,720,0.035694,0.031944,NA
DVU0095,0.7299,0.056,0.4316,0.324,0.268,0.572,30.89,0.92,0.618,327,345,-0.173913,0.110145,NA
DVU0096,0.6026,0.0402,0.4378,0.263,0.232,0.525,34.09,0.905,0.639,242,257,0.922179,0.11284,NA
DVU0097,0.59,0.0568,0.4785,0.312,0.361,0.604,33.72,0.907,0.651,280,295,0.858644,0.122034,NA
DVU0098,0.6533,0.086,0.4475,0.321,0.315,0.594,32.92,0.871,0.639,357,368,-0.27663,0.067935,NA
DVU0099,0.4909,0.2018,0.3467,0.214,0.057,0.457,42.63,0.733,0.682,374,386,-0.609067,0.028497,NA
DVU0100,0.6284,0.098,0.3973,0.311,0.263,0.58,36.56,0.834,0.632,622,649,-0.389676,0.130971,NA
DVU0101,0.5011,0.0974,0.4211,0.279,0.204,0.537,39.28,0.785,0.693,484,508,-0.120079,0.059055,NA
DVU0102,0.4626,0.1185,0.4154,0.226,0.04,0.433,42.24,0.763,0.684,312,330,0.167273,0.039394,NA
DVU0103,0.4838,0.0824,0.4449,0.207,0.158,0.493,41.35,0.805,0.69,302,313,0.035144,0.057508,NA
DVU0104,0.438,0.0789,0.4932,0.191,0.081,0.442,39.82,0.831,0.686,267,278,1.202878,0.093525,NA
DVU0105,0.5959,0.0833,0.4859,0.298,0.255,0.556,32.84,0.859,0.631,234,244,-0.117213,0.053279,NA
DVU0106,0.6198,0.0851,0.3554,0.294,0.249,0.545,37.66,0.836,0.643,213,223,0.705381,0.089686,NA
DVU0107,0.7917,0.0579,0.3446,0.344,0.232,0.556,29.85,0.891,0.612,239,249,0.073092,0.104418,NA
DVU0108,0.4138,0.3077,0.3043,0.088,-0.277,0.242,41.48,0.576,0.562,33,35,-0.705714,0.114286,NA
DVU0109,0.4886,0.1009,0.4528,0.24,0.182,0.5,42.3,0.787,0.648,400,410,0.068293,0.05122,NA
DVU0110,0.6224,0.0879,0.4206,0.28,0.269,0.564,35.29,0.861,0.669,459,476,-0.206093,0.054622,NA
DVU0111,0.5794,0.0788,0.5272,0.303,0.232,0.543,37.63,0.857,0.622,258,268,-0.086194,0.067164,NA
DVU0112,0.5187,0.1073,0.4506,0.24,0.187,0.52,39.2,0.81,0.682,448,474,-0.386498,0.086498,NA
DVU0113,0.5859,0.1222,0.3488,0.258,0.1,0.492,39.29,0.746,0.603,118,126,-0.318254,0.095238,NA
DVU0114,0.6245,0.0672,0.4306,0.292,0.235,0.539,31.94,0.866,0.647,284,293,-0.027645,0.054608,NA
DVU0115,0.4275,0.0826,0.4744,0.237,0.157,0.497,41.71,0.774,0.676,288,301,0.038538,0.066445,NA
DVU0116,0.3944,0.1233,0.4069,0.207,0.115,0.476,45.86,0.706,0.68,347,358,0.152235,0.055866,NA
DVU0117,0.5894,0.1491,0.3409,0.229,0.155,0.502,42.65,0.796,0.678,289,305,-0.300656,0.085246,NA
DVU0118,0.6193,0.1281,0.3931,0.287,0.287,0.573,34.93,0.828,0.659,443,454,-0.15815,0.059471,NA
DVU0119,0.5946,0.1198,0.3896,0.281,0.264,0.563,37.66,0.828,0.666,535,554,-0.154693,0.057762,NA
DVU0120,0.5824,0.116,0.4093,0.247,0.219,0.533,35.62,0.837,0.679,306,312,-0.115705,0.073718,NA
DVU0121,0.6167,0.1217,0.3364,0.285,0.237,0.55,35.7,0.793,0.653,140,147,-0.266667,0.047619,NA
DVU0122,0.8148,0,0.3043,0.254,0.123,0.484,24,0.935,0.604,31,32,0.871875,0.15625,NA
DVU0123,0.6513,0.0521,0.384,0.331,0.296,0.579,33.36,0.874,0.634,342,360,1.017778,0.102778,NA
DVU0124,0.22,0.2083,0.3191,0.188,0.053,0.421,58.26,0.456,0.516,57,62,0.17258,0.064516,NA
DVU0125,0.3945,0.0836,0.478,0.227,0.086,0.457,42.27,0.764,0.701,368,377,-0.065252,0.023873,NA
DVU0126,0.3961,0.097,0.5117,0.216,0.147,0.485,40.86,0.788,0.681,1133,1171,0.125619,0.057216,NA
DVU0127,0.5093,0.0405,0.5393,0.229,0.199,0.507,35.58,0.903,0.669,349,370,0.658649,0.086486,NA
DVU0128,0.481,0.1145,0.4203,0.242,0.206,0.515,40.74,0.798,0.684,336,352,1.041761,0.079545,NA
DVU0129,0.4156,0.1294,0.4551,0.211,0.094,0.453,44.18,0.733,0.656,439,452,-0.227434,0.048673,NA
DVU0130,0.5053,0.1429,0.3395,0.246,0.173,0.507,45.48,0.732,0.652,205,220,0.103182,0.068182,NA
DVU0131,0.3824,0.3667,0.3103,0.168,0.007,0.41,58.34,0.564,0.525,39,40,-0.2575,0.05,NA
DVU0132,0.6677,0.0374,0.3852,0.404,0.393,0.644,31.95,0.889,0.627,360,374,0.979412,0.128342,NA
DVU0133,0.6222,0.0782,0.4398,0.381,0.234,0.567,33.17,0.826,0.579,224,240,0.15,0.1,NA
DVU0134,0.6146,0.1333,0.3484,0.231,0.205,0.523,38.06,0.816,0.681,331,345,-0.146087,0.081159,NA
DVU0135,0.6944,0.1031,0.3396,0.284,0.235,0.558,34.47,0.84,0.633,294,303,-0.19637,0.09901,NA
DVU0136,0.6786,0.1231,0.3226,0.236,0.202,0.5,27.25,0.829,0.639,70,72,-0.229167,0.013889,NA
DVU0137,0.4857,0.25,0.3103,0.212,0.212,0.538,48.65,0.667,0.585,39,41,-0.434146,0.02439,NA
DVU0138,0.55,0.1373,0.4681,0.299,0.249,0.548,37.54,0.798,0.587,124,126,0.049206,0.055556,NA
DVU0139,0.5243,0.0983,0.4729,0.269,0.204,0.527,38.62,0.819,0.644,548,570,0.137018,0.057895,NA
DVU0140,0.3929,0.1028,0.5238,0.242,0.174,0.515,36.99,0.762,0.652,130,137,-0.183212,0.058394,NA
DVU0141,0.5926,0.0671,0.3529,0.242,0.258,0.535,39.66,0.83,0.641,200,224,0.6875,0.116071,NA
DVU0142,0.6628,0.1074,0.3712,0.322,0.298,0.588,35.03,0.818,0.624,313,329,-0.467477,0.097264,NA
DVU0143,0.5687,0.0934,0.4722,0.283,0.242,0.557,37.52,0.833,0.646,246,258,-0.372093,0.108527,NA
DVU0144,0.4699,0.1,0.4342,0.239,0.134,0.48,41.56,0.768,0.665,198,200,0.0395,0.045,NA
DVU0145,0.6696,0.1667,0.2737,0.264,0.319,0.588,32.13,0.786,0.657,131,135,-0.324444,0.02963,NA
DVU0146,0.6106,0.149,0.3316,0.298,0.253,0.553,35.51,0.802,0.656,253,269,0.137918,0.081784,NA
DVU0147,0.6438,0.2031,0.2344,0.186,0.082,0.446,34.48,0.747,0.601,83,86,-0.023256,0.104651,NA
DVU0148,0.6753,0.1081,0.4403,0.353,0.293,0.589,32.81,0.849,0.58,192,203,-0.351724,0.083744,NA
DVU0149,0.7509,0.0766,0.2573,0.352,0.351,0.611,29.19,0.856,0.628,319,350,0.793714,0.102857,NA
DVU0150,0.6747,0.0667,0.3281,0.266,0.224,0.522,35.62,0.856,0.619,90,98,0.792857,0.071429,NA
DVU0151,0.4618,0.1018,0.4319,0.22,0.129,0.485,45.59,0.753,0.643,927,957,-0.088088,0.07001,NA
DVU0152,0.4925,0.0919,0.4504,0.26,0.2,0.523,42.74,0.782,0.635,813,853,-0.01313,0.066823,NA
DVU0153,0.5962,0.1333,0.3371,0.259,0.14,0.492,35.42,0.767,0.63,120,127,0.026772,0.094488,NA
DVU0154,0.4091,0.1707,0.3158,0.196,0.112,0.479,59.93,0.625,0.624,48,55,-0.310909,0.072727,NA
DVU0155,0.5238,0.1008,0.4104,0.248,0.218,0.527,40.24,0.808,0.68,448,462,0.042641,0.073593,NA
DVU0156,0.5484,0.0803,0.4954,0.281,0.242,0.547,34.56,0.855,0.666,708,719,-0.238804,0.082058,NA
DVU0157,0.519,0.102,0.4226,0.27,0.247,0.551,38.42,0.799,0.676,314,323,0.131579,0.065015,NA
DVU0158,0.4894,0.0956,0.4297,0.238,0.166,0.494,38.81,0.792,0.689,318,332,-0.08253,0.033133,NA
DVU0159,0.5175,0.1583,0.4338,0.268,0.199,0.521,41.04,0.796,0.669,167,173,-0.287283,0.023121,NA
DVU0160,0.6259,0.1004,0.3506,0.315,0.322,0.596,34.54,0.84,0.68,324,331,0.115408,0.039275,NA
DVU0161,0.6623,0.1066,0.4272,0.334,0.336,0.613,34.59,0.856,0.625,452,462,-0.075325,0.090909,NA
DVU0162,0.7118,0.0673,0.3919,0.328,0.293,0.586,30.51,0.896,0.646,1034,1077,-0.111235,0.067781,NA
DVU0163,0.3558,0.1866,0.3871,0.264,0.077,0.475,54.26,0.592,0.57,179,186,-0.14785,0.05914,NA
DVU0164,0.4237,0.1218,0.4424,0.208,0.041,0.417,48.47,0.714,0.617,290,302,0.410596,0.05298,NA
DVU0165,0.6702,0.0888,0.346,0.326,0.356,0.615,35.67,0.834,0.635,325,337,-0.168546,0.05638,NA
DVU0166,0.6506,0.0494,0.4515,0.308,0.311,0.589,32.5,0.892,0.648,316,328,0.065854,0.036585,NA
DVU0167,0.6174,0.0535,0.422,0.267,0.281,0.559,32.75,0.879,0.633,290,306,0.705556,0.107843,NA
DVU0168,0.6703,0.0717,0.371,0.283,0.247,0.544,32.66,0.87,0.609,307,325,0.729231,0.116923,NA
DVU0169,0.7756,0.0374,0.3947,0.372,0.307,0.604,28.87,0.91,0.617,490,520,-0.362115,0.1,NA
DVU0170,0.4623,0.1305,0.4596,0.239,0.118,0.489,46.18,0.762,0.643,650,689,-0.193614,0.040639,NA
DVU0171,0.55,0.1611,0.3554,0.229,0.148,0.492,42.7,0.781,0.665,370,393,0.05369,0.068702,NA
DVU0172,0.6376,0.1055,0.3484,0.282,0.198,0.525,36.78,0.832,0.693,322,333,0.099399,0.033033,NA
DVU0173,0.6619,0.0996,0.376,0.288,0.23,0.552,34.75,0.861,0.662,698,733,-0.178445,0.087312,NA
DVU0174,0.2258,0.2917,0.375,0.212,-0.153,0.333,56.87,0.485,0.533,33,35,0.048571,0.114286,NA
DVU0175,0.6167,0.1233,0.3499,0.266,0.202,0.525,36.08,0.807,0.656,522,543,0.032228,0.058932,NA
DVU0176,0.5693,0.1299,0.3394,0.258,0.241,0.544,38.21,0.791,0.679,287,299,-0.054181,0.043478,NA
DVU0177,0.6368,0.1086,0.3286,0.246,0.045,0.445,35.47,0.833,0.669,263,269,0.228996,0.070632,NA
DVU0179,0.424,0.1163,0.4855,0.214,0.083,0.451,42.51,0.785,0.689,455,465,-0.015484,0.047312,NA
DVU0180,0.4844,0.1407,0.4709,0.235,0.227,0.533,40.34,0.805,0.665,246,253,-0.137154,0.071146,NA
DVU0181,0.5049,0.0798,0.4667,0.205,0.158,0.486,37.04,0.862,0.682,218,233,0.78927,0.098712,NA
DVU0182,0.687,0.0981,0.4184,0.304,0.219,0.55,36.36,0.863,0.594,291,307,-0.465472,0.104235,NA
DVU0183,0.5398,0.1761,0.3629,0.28,0.098,0.49,42.11,0.742,0.633,565,589,-0.129542,0.027165,NA
DVU0184,0.1967,0.3204,0.3814,0.195,-0.03,0.386,52.91,0.462,0.501,132,139,0.368345,0.107914,NA
DVU0186,0.6482,0.0978,0.3815,0.385,0.298,0.598,33.17,0.799,0.586,244,259,-0.250193,0.096525,NA
DVU0187,0.5852,0.1298,0.346,0.244,0.222,0.531,44.43,0.774,0.594,341,363,0.397245,0.101928,NA
DVU0188,0.3,0.2,0.5526,0.078,-0.162,0.311,49.56,0.733,0.619,45,49,-0.389796,0.040816,NA
DVU0189,0.5521,0.0967,0.4455,0.265,0.166,0.511,40.85,0.8,0.633,536,561,-0.354189,0.081996,NA
DVU0190,0.2586,0.3333,0.375,0.214,-0.081,0.388,56.47,0.493,0.519,67,70,-0.241429,0.114286,NA
DVU0191,0.5047,0.1071,0.4025,0.261,0.201,0.528,42.37,0.767,0.681,494,519,-0.323699,0.077071,NA
DVU0192,0.4613,0.1374,0.4121,0.236,0.089,0.461,46.8,0.727,0.628,425,452,-0.17677,0.070796,NA
DVU0193,0.4222,0.1354,0.5291,0.264,0.02,0.43,43.94,0.743,0.605,237,243,-0.711523,0.053498,NA
DVU0194,0.4962,0.1224,0.4527,0.286,0.213,0.541,42.96,0.754,0.625,619,652,-0.549847,0.101227,NA
DVU0195,0.3934,0.2,0.4082,0.154,0.035,0.435,61,0.638,0.542,69,72,-0.493056,0.097222,NA
DVU0196,0.4312,0.1619,0.4257,0.243,0.249,0.551,46.76,0.709,0.623,127,131,-0.38626,0.076336,NA
DVU0197,0.5726,0.0621,0.4106,0.283,0.291,0.583,39.67,0.819,0.671,540,566,-0.306007,0.091873,NA
DVU0198,0.5754,0.0944,0.3699,0.266,0.16,0.517,37.69,0.799,0.68,418,439,-0.117768,0.061503,NA
DVU0199,0.5727,0.0952,0.38,0.301,0.22,0.545,34.46,0.821,0.677,123,127,0.302362,0.047244,NA
DVU0200,0.6741,0.0496,0.4206,0.274,0.162,0.509,32.14,0.889,0.658,324,334,-0.193114,0.098802,NA
DVU0201,0.4886,0.1136,0.4138,0.287,0.148,0.505,42.34,0.752,0.676,105,106,-0.461321,0.009434,NA
DVU0202,0.5827,0.0684,0.4464,0.269,0.206,0.526,37.79,0.862,0.646,152,162,0.685185,0.148148,NA
DVU0203,0.6013,0.036,0.3561,0.307,0.281,0.575,35.38,0.816,0.674,174,182,-0.051099,0.071429,NA
DVU0204,0.6174,0.0385,0.4554,0.251,0.118,0.489,38.13,0.893,0.672,131,136,-0.063971,0.058824,NA
DVU0205,0.5556,0.0435,0.4889,0.249,0.166,0.481,38.28,0.87,0.667,54,55,-0.138182,0.018182,NA
DVU0206,0.4713,0.0783,0.526,0.224,0.074,0.45,39.89,0.812,0.631,191,197,-0.408629,0.071066,NA
DVU0207,0.6364,0.1098,0.3766,0.334,0.335,0.612,30.93,0.825,0.66,103,108,-0.253704,0.092593,NA
DVU0208,0.5915,0.0685,0.3885,0.257,0.177,0.511,38.76,0.83,0.679,182,185,-0.110811,0.037838,NA
DVU0209,0.4717,0.1509,0.4118,0.188,0.135,0.467,32.72,0.767,0.688,60,63,-0.538095,0.015873,NA
DVU0210,0.5943,0.0686,0.4206,0.296,0.237,0.555,35.34,0.857,0.671,467,487,0.06345,0.071869,NA
DVU0211,0.6667,0.06,0.4574,0.255,0.045,0.454,31.76,0.899,0.653,119,121,-0.160331,0.066116,NA
DVU0212,0.6324,0.1,0.3529,0.258,0.327,0.593,31.89,0.827,0.64,81,86,-0.111628,0.034884,NA
DVU0213,0.5323,0.0982,0.442,0.256,0.122,0.498,42.84,0.797,0.635,464,496,-0.168145,0.090726,NA
DVU0214,0.5014,0.0772,0.4182,0.225,0.114,0.475,38.45,0.806,0.699,387,399,-0.135589,0.052632,NA
DVU0215,0.5469,0.1044,0.4167,0.251,0.145,0.497,38.96,0.812,0.684,362,377,-0.187533,0.045093,NA
DVU0216,0.5914,0.0479,0.4074,0.237,0.133,0.495,34.92,0.854,0.689,206,212,-0.178302,0.051887,NA
DVU0217,0.5368,0.0703,0.432,0.254,0.2,0.516,40.19,0.83,0.703,153,158,-0.038608,0.075949,NA
DVU0218,0.4708,0.0822,0.4595,0.22,0.095,0.456,39.88,0.817,0.71,344,353,0.112748,0.042493,NA
DVU0219,0.4743,0.1163,0.4405,0.264,0.222,0.537,38.01,0.781,0.697,201,208,-0.161058,0.067308,NA
DVU0220,0.4966,0.1575,0.3992,0.29,0.19,0.538,44.29,0.763,0.648,329,338,0.135207,0.068047,NA
DVU0221,0.3937,0.1613,0.4068,0.252,0.048,0.448,46.1,0.685,0.658,143,147,0.261905,0.047619,NA
DVU0222,0.4831,0.1071,0.4937,0.202,0.198,0.51,46.03,0.788,0.642,104,109,-0.557798,0.110092,NA
DVU0223,0.4872,0.3265,0.4222,0.202,0.058,0.456,33.74,0.667,0.489,57,60,-0.803333,0.05,NA
